candidate,subject_id,outer_fold,wavelength_nm,signed_residual,log_residual,band_role
V2R-0,p004,1,400,-0.21076012519215775,-0.7652008601705027,edge_diagnostic
V2R-0,p004,1,410,-0.132811404550771,-0.5521028078595396,edge_diagnostic
V2R-0,p004,1,420,-0.05398762381537553,-0.26433077585247733,fit
V2R-0,p004,1,430,-0.024149949290802886,-0.1266664058993081,fit
V2R-0,p004,1,440,-0.017954186126011046,-0.09398722566921447,fit
V2R-0,p004,1,450,-0.004463816439982893,-0.02255820594015967,fit
V2R-0,p004,1,460,-0.004238674242466545,-0.01989563574542097,fit
V2R-0,p004,1,470,0.0017505943421752268,0.007939287445270393,fit
V2R-0,p004,1,480,0.01394612546997212,0.06237808877687678,fit
V2R-0,p004,1,490,0.01321228712878697,0.057469210037459195,fit
V2R-0,p004,1,500,0.016021595322415122,0.06863505750362275,fit
V2R-0,p004,1,510,0.023258122337705966,0.10038410030261424,fit
V2R-0,p004,1,520,0.014562894301144519,0.06314567484413613,fit
V2R-0,p004,1,530,0.003999845738151903,0.01826650602603186,fit
V2R-0,p004,1,540,-0.00701774791207499,-0.03297644788088583,fit
V2R-0,p004,1,550,-0.041123387372835746,-0.17596282837917632,fit
V2R-0,p004,1,560,-0.016544052623633815,-0.07187595274942327,fit
V2R-0,p004,1,570,-0.03617923636109871,-0.1562705756642404,fit
V2R-0,p004,1,580,-0.03986013349603143,-0.1730890519357806,fit
V2R-0,p004,1,590,0.016270814931223176,0.06250318661476806,fit
V2R-0,p004,1,600,0.04061638847708332,0.12620046835003973,fit
V2R-0,p004,1,610,0.016943078674313994,0.045372198550998166,fit
V2R-0,p004,1,620,0.03528231795962028,0.08969985205809661,fit
V2R-0,p004,1,630,0.03369748946051776,0.08104478159779471,fit
V2R-0,p004,1,640,0.045635016152802355,0.10703308649340326,fit
V2R-0,p004,1,650,0.010712398635982556,0.023382557023978512,fit
V2R-0,p004,1,660,0.054357428949626696,0.12104815065600871,fit
V2R-0,p004,1,670,0.014926216580296803,0.0310092280210873,fit
V2R-0,p004,1,680,0.0782903819019713,0.17013285005739676,fit
V2R-0,p004,1,690,0.0025775605970538296,0.005053532616459133,edge_diagnostic
V2R-0,p004,1,700,0.061005259749915164,0.12474181557996644,edge_diagnostic
V2R-0,p006,1,400,-0.21189216038505485,-0.8227532709330873,edge_diagnostic
V2R-0,p006,1,410,-0.1320379516927541,-0.590994956576606,edge_diagnostic
V2R-0,p006,1,420,-0.05665981352970789,-0.2990611560370071,fit
V2R-0,p006,1,430,-0.026975857923154045,-0.1535231915490043,fit
V2R-0,p006,1,440,-0.010733189644956675,-0.06317011947587714,fit
V2R-0,p006,1,450,-0.006149526355117951,-0.0347237688233033,fit
V2R-0,p006,1,460,-0.008443378156759357,-0.04447561635794939,fit
V2R-0,p006,1,470,-0.0037955572300319984,-0.01937707355874596,fit
V2R-0,p006,1,480,0.0052364521194090685,0.026319932919135924,fit
V2R-0,p006,1,490,0.009539305235013312,0.04727780990214625,fit
V2R-0,p006,1,500,0.009275828291585075,0.04500024672319003,fit
V2R-0,p006,1,510,0.013352670492006058,0.06488835994872755,fit
V2R-0,p006,1,520,0.00682520808033793,0.03338181073137392,fit
V2R-0,p006,1,530,-0.001830852374045261,-0.009405099790924965,fit
