Blind Case ID,Panel reviewed,A usability,B usability,A face completeness,B face completeness,A geometry alignment,B geometry alignment,A appearance cleanliness,B appearance cleanliness,A relighting identity preservation,B relighting identity preservation,A overall technical usability,B overall technical usability,A primary failure tag,B primary failure tag,Pairwise preference,Preference confidence,Comments
BR01,Overview + relighting,,,,,,,,,,,,,,,,,
BR02,Overview + relighting,,,,,,,,,,,,,,,,,
BR03,Overview + relighting,,,,,,,,,,,,,,,,,
BR04,Overview + relighting,,,,,,,,,,,,,,,,,
BR05,Overview + relighting,,,,,,,,,,,,,,,,,
BR06,Overview + relighting,,,,,,,,,,,,,,,,,
BR07,Overview + relighting,,,,,,,,,,,,,,,,,
BR08,Overview + relighting,,,,,,,,,,,,,,,,,
BR09,Overview + relighting,,,,,,,,,,,,,,,,,
BR10,Overview + relighting,,,,,,,,,,,,,,,,,
BR11,Overview + relighting,,,,,,,,,,,,,,,,,
BR12,Overview + relighting,,,,,,,,,,,,,,,,,
