albedo_finite_fraction,alpha_coverage_physics_core,audit_id,bbox,input_mode,normal_finite_fraction,output_dir,reconstruction_finite_fraction,reconstruction_mae_physics_core,relighting_finite,runtime_seconds,status
1.0,0.9997200709153681,P0B-001,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-001,1.0,0.037448450922966,True,1.0411938730001111,passed
1.0,1.0,P0B-001,"[16, 0, 223, 224]",mask_bbox_crop,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/mask_bbox_crop/P0B-001,1.0,0.03634390980005264,True,0.9820692869999448,passed
1.0,1.0,P0B-002,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-002,1.0,0.048147860914468765,True,0.8132756439999866,passed
1.0,1.0,P0B-002,"[24, 0, 202, 224]",mask_bbox_crop,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/mask_bbox_crop/P0B-002,1.0,0.049617934972047806,True,2.120014840999943,passed
1.0,0.9985800496982605,P0B-003,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-003,1.0,0.04299524426460266,True,1.0827461690000746,passed
1.0,1.0,P0B-003,"[13, 0, 191, 224]",mask_bbox_crop,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/mask_bbox_crop/P0B-003,1.0,0.04166632890701294,True,0.9812911340000028,passed
1.0,1.0,P0B-004,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-004,1.0,0.04118668660521507,True,0.7596880580000516,passed
1.0,1.0,P0B-004,"[12, 0, 214, 224]",mask_bbox_crop,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/mask_bbox_crop/P0B-004,1.0,0.042720407247543335,True,0.7750707370000782,passed
1.0,1.0,P0B-005,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-005,1.0,0.04386290907859802,True,0.7878445179999289,passed
1.0,1.0,P0B-005,"[18, 0, 196, 224]",mask_bbox_crop,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/mask_bbox_crop/P0B-005,1.0,0.045499976724386215,True,0.9778630620000968,passed
1.0,1.0,P0B-006,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-006,1.0,0.06364955753087997,True,0.7498946810000007,passed
1.0,1.0,P0B-006,"[21, 0, 192, 224]",mask_bbox_crop,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/mask_bbox_crop/P0B-006,1.0,0.06270415335893631,True,1.4553371639999568,passed
1.0,1.0,P0B-007,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-007,1.0,0.06265658885240555,True,0.7510106339999538,passed
1.0,1.0,P0B-007,"[21, 0, 206, 224]",mask_bbox_crop,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/mask_bbox_crop/P0B-007,1.0,0.06297486275434494,True,0.8115160550000837,passed
1.0,1.0,P0B-008,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-008,1.0,0.07657699286937714,True,0.8780900589999874,passed
1.0,1.0,P0B-008,"[16, 0, 209, 224]",mask_bbox_crop,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/mask_bbox_crop/P0B-008,1.0,0.08109375089406967,True,0.8800721659999908,passed
1.0,1.0,P0B-009,,direct_p0_aligned,1.0,/mnt/e/projects/face2/data/processed/P0B_DECA_Pilot12_v1/input_mode_comparison/direct_p0_aligned/P0B-009,1.0,0.04690055176615715,True,0.899920388000055,passed
