metric,mean,std
macro_auc,0.7130965280401391,0.033116853849714585
accuracy,0.5120000000000001,0.06379655163094633
macro_precision,0.4483127753675073,0.08157500717541372
macro_recall,0.5095330083185358,0.03479480863776203
macro_f1,0.44349463791961413,0.05783341016180196
balanced_accuracy,0.5095330083185358,0.03479480863776203
auc_normal,0.8510446075663467,0.03854845827775819
auc_mild,0.6388312990869695,0.035449919543795755
auc_severe,0.6494136774671014,0.05694317602237972
precision_normal,0.5099726402188782,0.10701140187520675
precision_mild,0.5786126821622188,0.053335048551196446
precision_severe,0.2563530037214247,0.23746299073390542
recall_normal,0.7652173913043478,0.20531685135856687
recall_mild,0.6215425531914894,0.2569477920436853
recall_severe,0.1418390804597701,0.1442966000494709
f1_normal,0.5874237777726149,0.06183203692414948
f1_mild,0.5624812516042441,0.15301045909925656
f1_severe,0.1805788843819832,0.1773853324205373
ordinal_mae,0.5660000000000001,0.11216059914247963
qwk,0.30971457430432603,0.05119546034871339
severe_recall,0.1418390804597701,0.1442966000494709
normal_to_severe_count,0.4,0.894427190999916
severe_to_normal_count,7.4,5.727128425310541
two_step_error_count,7.8,5.310367218940701
two_step_error_rate,0.078,0.053103672189407015
multiclass_brier_score,0.6797979155988587,0.07281361241017639
ece_15_equal_width,0.26442357110977166,0.05275180121599865
nll,1.1936110019539528,0.20809766319318235
