experiment,fold,best_epoch,macro_auc,accuracy,macro_f1,balanced_accuracy,patient_sensitivity,control_specificity,predicted_control_count,predicted_patient_count
p1_a,0,7,0.5894974590626765,0.67,0.4528270601890233,0.4655561829474872,0.8441558441558441,0.0869565217391304,14,86
p1_a,1,9,0.6792772444946359,0.68,0.5841995841995842,0.5940146809712027,0.7532467532467533,0.4347826086956521,29,71
p1_a,2,1,0.6329757199322418,0.72,0.6162280701754386,0.6199887069452287,0.8051948051948052,0.4347826086956521,25,75
p1_a,3,5,0.64257481648786,0.56,0.5280995280995281,0.5923207227555054,0.5324675324675324,0.6521739130434783,51,49
p1_a,4,8,0.67871259175607,0.67,0.511183528366168,0.5112930547713157,0.8051948051948052,0.217391304347826,20,80
p1_l,0,50,0.7656691134952004,0.6,0.5796553173602353,0.6792772444946358,,,55,45
p1_l,1,50,0.7865612648221343,0.72,0.6727442730247779,0.7267080745341614,,,39,61
p1_l,2,50,0.790513833992095,0.78,0.7209538305428715,0.7504234895539243,,,31,69
p1_l,3,46,0.8080180688876342,0.75,0.7150997150997151,0.7919254658385093,,,42,58
p1_l,4,50,0.7899491812535291,0.67,0.6296711929076422,0.694240542066629,,,44,56
p1_n,0,1,0.6132128740824393,0.65,0.5507637017070979,0.5592885375494071,0.7272727272727273,0.391304347826087,30,70
p1_n,1,10,0.6109542631281762,0.72,0.4509803921568627,0.4827780914737436,0.922077922077922,0.0434782608695652,7,93
p1_n,2,7,0.7317899491812534,0.76,0.5016611295681063,0.5239977413890458,0.961038961038961,0.0869565217391304,5,95
p1_n,3,14,0.6126482213438735,0.74,0.4901960784313725,0.5110107284020328,0.935064935064935,0.0869565217391304,7,93
p1_n,4,1,0.6612083568605308,0.38,0.3790064102564102,0.5669113495200452,0.2207792207792207,0.9130434782608696,81,19
p1_r,0,4,0.8249576510446076,0.73,0.6754417598269022,0.7179559570863918,0.7402597402597403,0.6956521739130435,36,64
p1_r,1,1,0.8543195934500282,0.76,0.6881496881496881,0.7069452286843592,0.8051948051948052,0.6086956521739131,29,71
p1_r,2,31,0.9141727837380011,0.82,0.71875,0.7001693958215698,0.922077922077922,0.4782608695652174,17,83
p1_r,3,5,0.8610954263128177,0.8,0.7333333333333334,0.7481648785996612,0.8441558441558441,0.6521739130434783,27,73
p1_r,4,7,0.867871259175607,0.79,0.7566909975669099,0.8331451157538114,0.7532467532467533,0.9130434782608696,40,60
p1_rgb_a,0,31,0.8114059853190287,0.76,0.4318181818181818,0.4935064935064935,0.987012987012987,0.0,1,99
p1_rgb_a,1,3,0.8763410502540937,0.83,0.7702392215164211,0.7828910220214568,0.8701298701298701,0.6956521739130435,26,74
p1_rgb_a,2,12,0.8543195934500283,0.77,0.7235244620747686,0.7744212309429701,0.7662337662337663,0.782608695652174,36,64
p1_rgb_a,3,15,0.8678712591756069,0.78,0.4791666666666667,0.5217391304347826,1.0,0.0434782608695652,1,99
p1_rgb_a,4,1,0.841897233201581,0.78,0.7428705002337541,0.8114059853190287,0.7532467532467533,0.8695652173913043,39,61
p1_s,0,11,0.8204404291360814,0.73,0.6970037032880709,0.7789384528514963,0.6883116883116883,0.8695652173913043,44,56
p1_s,1,8,0.8520609824957651,0.82,0.71875,0.7001693958215698,0.922077922077922,0.4782608695652174,17,83
p1_s,2,2,0.8373800112930548,0.75,0.6932891669733775,0.7309429700734049,0.7662337662337663,0.6956521739130435,34,66
p1_s,3,3,0.8639186900056466,0.83,0.7562724014336918,0.7523997741389046,0.8961038961038961,0.6086956521739131,22,78
p1_s,4,1,0.9136081309994354,0.76,0.7362637362637363,0.8441558441558441,0.6883116883116883,1.0,47,53
