Input,Model,Fold,Fold_AUC,Fold_Mean_AUC,Fold_SD_AUC,Pooled_OOF_AUC
Whole-face,ResNet-18,0,0.823264,0.835573,0.029652,0.820666
Whole-face,ResNet-18,1,0.810841,0.835573,0.029652,0.820666
Whole-face,ResNet-18,2,0.881423,0.835573,0.029652,0.820666
Whole-face,ResNet-18,3,0.848673,0.835573,0.029652,0.820666
Whole-face,ResNet-18,4,0.813665,0.835573,0.029652,0.820666
Whole-face,ResNet-34,0,0.775268,0.829701,0.036350,0.797990
Whole-face,ResNet-34,1,0.819311,0.829701,0.036350,0.797990
Whole-face,ResNet-34,2,0.866177,0.829701,0.036350,0.797990
Whole-face,ResNet-34,3,0.859401,0.829701,0.036350,0.797990
Whole-face,ResNet-34,4,0.828346,0.829701,0.036350,0.797990
Whole-face,ResNet-50,0,0.783738,0.835347,0.038121,0.823286
Whole-face,ResNet-50,1,0.822699,0.835347,0.038121,0.823286
Whole-face,ResNet-50,2,0.888763,0.835347,0.038121,0.823286
Whole-face,ResNet-50,3,0.834557,0.835347,0.038121,0.823286
Whole-face,ResNet-50,4,0.846979,0.835347,0.038121,0.823286
Eye,ResNet-18,0,0.814229,0.826087,0.039139,0.817685
Eye,ResNet-18,1,0.788820,0.826087,0.039139,0.817685
Eye,ResNet-18,2,0.876341,0.826087,0.039139,0.817685
Eye,ResNet-18,3,0.793337,0.826087,0.039139,0.817685
Eye,ResNet-18,4,0.857708,0.826087,0.039139,0.817685
Eye,ResNet-34,0,0.752682,0.813665,0.039683,0.773710
Eye,ResNet-34,1,0.840203,0.813665,0.039683,0.773710
Eye,ResNet-34,2,0.843591,0.813665,0.039683,0.773710
Eye,ResNet-34,3,0.793902,0.813665,0.039683,0.773710
Eye,ResNet-34,4,0.837945,0.813665,0.039683,0.773710
Eye,ResNet-50,0,0.776962,0.817617,0.044475,0.811564
Eye,ResNet-50,1,0.845850,0.817617,0.044475,0.811564
Eye,ResNet-50,2,0.834557,0.817617,0.044475,0.811564
Eye,ResNet-50,3,0.764540,0.817617,0.044475,0.811564
Eye,ResNet-50,4,0.866177,0.817617,0.044475,0.811564
Cheek,ResNet-18,0,0.853755,0.825071,0.052125,0.806505
Cheek,ResNet-18,1,0.836251,0.825071,0.052125,0.806505
Cheek,ResNet-18,2,0.883117,0.825071,0.052125,0.806505
Cheek,ResNet-18,3,0.746471,0.825071,0.052125,0.806505
Cheek,ResNet-18,4,0.805759,0.825071,0.052125,0.806505
Cheek,ResNet-34,0,0.748730,0.817165,0.062162,0.809147
Cheek,ResNet-34,1,0.815923,0.817165,0.062162,0.809147
Cheek,ResNet-34,2,0.880294,0.817165,0.062162,0.809147
Cheek,ResNet-34,3,0.762281,0.817165,0.062162,0.809147
Cheek,ResNet-34,4,0.878600,0.817165,0.062162,0.809147
Cheek,ResNet-50,0,0.819311,0.834783,0.026987,0.826765
Cheek,ResNet-50,1,0.808018,0.834783,0.026987,0.826765
Cheek,ResNet-50,2,0.876341,0.834783,0.026987,0.826765
Cheek,ResNet-50,3,0.824393,0.834783,0.026987,0.826765
Cheek,ResNet-50,4,0.845850,0.834783,0.026987,0.826765
Lip,ResNet-18,0,0.757764,0.797741,0.043002,0.782383
Lip,ResNet-18,1,0.792208,0.797741,0.043002,0.782383
Lip,ResNet-18,2,0.849802,0.797741,0.043002,0.782383
Lip,ResNet-18,3,0.833427,0.797741,0.043002,0.782383
Lip,ResNet-18,4,0.755505,0.797741,0.043002,0.782383
Lip,ResNet-34,0,0.762846,0.799435,0.034553,0.786087
Lip,ResNet-34,1,0.797854,0.799435,0.034553,0.786087
Lip,ResNet-34,2,0.812535,0.799435,0.034553,0.786087
Lip,ResNet-34,3,0.850367,0.799435,0.034553,0.786087
Lip,ResNet-34,4,0.773574,0.799435,0.034553,0.786087
Lip,ResNet-50,0,0.745906,0.794353,0.043479,0.748436
Lip,ResNet-50,1,0.812535,0.794353,0.043479,0.748436
Lip,ResNet-50,2,0.844720,0.794353,0.043479,0.748436
Lip,ResNet-50,3,0.817053,0.794353,0.043479,0.748436
Lip,ResNet-50,4,0.751553,0.794353,0.043479,0.748436
