Input,Model,Fold,Fold_AUC
Whole-face,ResNet-18,1,0.823264
Whole-face,ResNet-18,2,0.810841
Whole-face,ResNet-18,3,0.881423
Whole-face,ResNet-18,4,0.848673
Whole-face,ResNet-18,5,0.813665
Whole-face,ResNet-34,1,0.775268
Whole-face,ResNet-34,2,0.819311
Whole-face,ResNet-34,3,0.866177
Whole-face,ResNet-34,4,0.859401
Whole-face,ResNet-34,5,0.828346
Whole-face,ResNet-50,1,0.783738
Whole-face,ResNet-50,2,0.822699
Whole-face,ResNet-50,3,0.888763
Whole-face,ResNet-50,4,0.834557
Whole-face,ResNet-50,5,0.846979
Eye,ResNet-18,1,0.814229
Eye,ResNet-18,2,0.788820
Eye,ResNet-18,3,0.876341
Eye,ResNet-18,4,0.793337
Eye,ResNet-18,5,0.857708
Eye,ResNet-34,1,0.752682
Eye,ResNet-34,2,0.840203
Eye,ResNet-34,3,0.843591
Eye,ResNet-34,4,0.793902
Eye,ResNet-34,5,0.837945
Eye,ResNet-50,1,0.776962
Eye,ResNet-50,2,0.845850
Eye,ResNet-50,3,0.834557
Eye,ResNet-50,4,0.764540
Eye,ResNet-50,5,0.866177
Cheek,ResNet-18,1,0.853755
Cheek,ResNet-18,2,0.836251
Cheek,ResNet-18,3,0.883117
Cheek,ResNet-18,4,0.746471
Cheek,ResNet-18,5,0.805759
Cheek,ResNet-34,1,0.748730
Cheek,ResNet-34,2,0.815923
Cheek,ResNet-34,3,0.880294
Cheek,ResNet-34,4,0.762281
Cheek,ResNet-34,5,0.878600
Cheek,ResNet-50,1,0.819311
Cheek,ResNet-50,2,0.808018
Cheek,ResNet-50,3,0.876341
Cheek,ResNet-50,4,0.824393
Cheek,ResNet-50,5,0.845850
Lip,ResNet-18,1,0.757764
Lip,ResNet-18,2,0.792208
Lip,ResNet-18,3,0.849802
Lip,ResNet-18,4,0.833427
Lip,ResNet-18,5,0.755505
Lip,ResNet-34,1,0.762846
Lip,ResNet-34,2,0.797854
Lip,ResNet-34,3,0.812535
Lip,ResNet-34,4,0.850367
Lip,ResNet-34,5,0.773574
Lip,ResNet-50,1,0.745906
Lip,ResNet-50,2,0.812535
Lip,ResNet-50,3,0.844720
Lip,ResNet-50,4,0.817053
Lip,ResNet-50,5,0.751553
