trainability_strategy,label_smoothing_alpha,loss,source_experiment_dir,source_config,input_height,input_width,backbone,input_view,model_display_name,model_id,fold,best_epoch,macro_auc,balanced_accuracy,macro_f1,sensitivity,specificity
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,cheek_roi,Cheek ROI ResNet18,cheek_roi_resnet18,0,5,0.8537549407114625,0.7221908526256353,0.69558599695586,0.7922077922077922,0.6521739130434783
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,cheek_roi,Cheek ROI ResNet18,cheek_roi_resnet18,1,2,0.8362507058159232,0.7117447769621683,0.6224786970121885,0.5974025974025974,0.8260869565217391
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,cheek_roi,Cheek ROI ResNet18,cheek_roi_resnet18,2,10,0.8831168831168832,0.7219085262563523,0.7392238073324129,0.922077922077922,0.5217391304347826
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,cheek_roi,Cheek ROI ResNet18,cheek_roi_resnet18,3,1,0.7464709203839638,0.6939582156973462,0.6702181633688482,0.7792207792207793,0.6086956521739131
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,cheek_roi,Cheek ROI ResNet18,cheek_roi_resnet18,4,3,0.805759457933371,0.7094861660079052,0.6349153667441089,0.6363636363636364,0.782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,cheek_roi,Cheek ROI ResNet34,cheek_roi_resnet34,0,21,0.7487295313382271,0.6439864483342744,0.6277756385573097,0.7662337662337663,0.5217391304347826
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,cheek_roi,Cheek ROI ResNet34,cheek_roi_resnet34,1,14,0.8159232072275551,0.6874647092038397,0.6614420062695925,0.7662337662337663,0.6086956521739131
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,cheek_roi,Cheek ROI ResNet34,cheek_roi_resnet34,2,8,0.880293619424054,0.7874082439299831,0.7423629002576371,0.7922077922077922,0.782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,cheek_roi,Cheek ROI ResNet34,cheek_roi_resnet34,3,9,0.7622811970638059,0.653020892151327,0.5906626839252129,0.6103896103896104,0.6956521739130435
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,cheek_roi,Cheek ROI ResNet34,cheek_roi_resnet34,4,4,0.8785996612083569,0.841897233201581,0.7512437810945274,0.7272727272727273,0.9565217391304348
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,cheek_roi,Cheek ROI ResNet50,cheek_roi_resnet50,0,2,0.8193111236589498,0.7247317899491812,0.6396986570586308,0.6233766233766234,0.8260869565217391
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,cheek_roi,Cheek ROI ResNet50,cheek_roi_resnet50,1,5,0.8080180688876341,0.7221908526256353,0.69558599695586,0.7922077922077922,0.6521739130434783
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,cheek_roi,Cheek ROI ResNet50,cheek_roi_resnet50,2,2,0.8763410502540937,0.8224167137210616,0.7234207323819006,0.6883116883116883,0.9565217391304348
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,cheek_roi,Cheek ROI ResNet50,cheek_roi_resnet50,3,5,0.8243929983060417,0.7504234895539243,0.7209538305428715,0.8051948051948052,0.6956521739130435
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,cheek_roi,Cheek ROI ResNet50,cheek_roi_resnet50,4,7,0.8458498023715415,0.7549407114624507,0.6961196820944366,0.7272727272727273,0.782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,eye_roi,Eye ROI ResNet18,eye_roi_resnet18,0,3,0.8142292490118577,0.6852060982495765,0.6710093433346493,0.8051948051948052,0.5652173913043478
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,eye_roi,Eye ROI ResNet18,eye_roi_resnet18,1,3,0.7888198757763976,0.7134387351778657,0.6973285958678774,0.8181818181818182,0.6086956521739131
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,eye_roi,Eye ROI ResNet18,eye_roi_resnet18,2,16,0.8763410502540937,0.7744212309429701,0.7235244620747686,0.7662337662337663,0.782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,eye_roi,Eye ROI ResNet18,eye_roi_resnet18,3,3,0.7933370976849238,0.6832298136645962,0.6428571428571428,0.7142857142857143,0.6521739130434783
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,eye_roi,Eye ROI ResNet18,eye_roi_resnet18,4,14,0.857707509881423,0.7134387351778657,0.6973285958678774,0.8181818181818182,0.6086956521739131
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,eye_roi,Eye ROI ResNet34,eye_roi_resnet34,0,3,0.7526821005081874,0.6261998870694523,0.6456413890857547,0.948051948051948,0.3043478260869565
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,eye_roi,Eye ROI ResNet34,eye_roi_resnet34,1,6,0.8402032749858837,0.7374364765669114,0.7023809523809523,0.7792207792207793,0.6956521739130435
