model_id,model_display_name,input_view,backbone,input_width,input_height,source_config,source_experiment_dir,loss,label_smoothing_alpha,trainability_strategy,n_folds,macro_auc_mean,macro_auc_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.8250705815923206,0.052124818933621336,0.7118577075098814,0.01155228997871047,0.6724844062826837,0.04718307613050567,0.7454545454545454,0.13071155989699876,0.6782608695652174,0.12525965470337333
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.8171654432523997,0.0621623427650846,0.7227555053642011,0.08758945261145437,0.6746974020208559,0.07049318947491989,0.7324675324675326,0.07207499701564474,0.7130434782608696,0.16726420923192475
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.8347826086956521,0.026987211253896904,0.7549407114624507,0.0404924325257237,0.6951557798067398,0.033693670116857886,0.7272727272727273,0.07516777209604045,0.782608695652174,0.11907012119677525
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.8260869565217392,0.03913862261288053,0.7139469226425749,0.03683488239483063,0.6864096280004631,0.03061840278692586,0.7844155844155846,0.04461185464238357,0.6434782608695653,0.08363210461596238
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.813664596273292,0.0396826760718557,0.6774703557312253,0.057047604194838564,0.643081776894274,0.09273139309654313,0.7636363636363637,0.23257271073446573,0.5913043478260869,0.2451803857368989
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.8176171654432525,0.04447514097688361,0.7340485601355167,0.06196468898180286,0.6845880100188897,0.052155919347912166,0.7376623376623377,0.06647524099776483,0.7304347826086957,0.13541227393389074
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7977413890457369,0.04300155925278183,0.6990965556182946,0.026862133760267384,0.6848305393245556,0.05288724918324834,0.8155844155844155,0.13256935226155683,0.5826086956521739,0.12525965470337336
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7994353472614343,0.03455333368137564,0.7084133258046301,0.02360035679705012,0.6626078707433438,0.04380455489234581,0.7298701298701298,0.14119457584339623,0.6869565217391305,0.16383864070797194
lip_roi_resnet50,Lip ROI ResNet50,lip_roi,resnet50,224,224,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7943534726143422,0.04347899417862607,0.6842461885940148,0.012538279029929397,0.6158737422805943,0.07928998726431644,0.6467532467532467,0.21406915464041082,0.7217391304347827,0.20531685135856687
whole_face_sh93_resnet18,Whole-face SH93 ResNet18,whole_face_sh93,resnet18,256,320,config\train\R3DPR\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,weighted_ce_label_smoothing,0.05,full_finetune,5,0.8355731225296441,0.02965206533487779,0.7413325804630153,0.0319274801091963,0.7085633770629842,0.04577646945770998,0.787012987012987,0.08836896538287796,0.6956521739130435,0.08695652173913043
