Input,Backbone,Fold,Outer_Test_Macro_AUC,Selected_Epoch
Whole-face,ResNet-18,1,0.778656,9
Whole-face,ResNet-18,2,0.815923,5
Whole-face,ResNet-18,3,0.886505,10
Whole-face,ResNet-18,4,0.796160,1
Whole-face,ResNet-18,5,0.827216,9
Whole-face,ResNet-34,1,0.745342,7
Whole-face,ResNet-34,2,0.783173,1
Whole-face,ResNet-34,3,0.784867,8
Whole-face,ResNet-34,4,0.807453,3
Whole-face,ResNet-34,5,0.815359,16
Whole-face,ResNet-50,1,0.793337,3
Whole-face,ResNet-50,2,0.835121,1
Whole-face,ResNet-50,3,0.950311,2
Whole-face,ResNet-50,4,0.817617,8
Whole-face,ResNet-50,5,0.805195,3
Eye,ResNet-18,1,0.762846,23
Eye,ResNet-18,2,0.792208,14
Eye,ResNet-18,3,0.813665,23
Eye,ResNet-18,4,0.645398,4
Eye,ResNet-18,5,0.792208,9
Eye,ResNet-34,1,0.826652,24
Eye,ResNet-34,2,0.800113,4
Eye,ResNet-34,3,0.701299,14
Eye,ResNet-34,4,0.741954,10
Eye,ResNet-34,5,0.717674,4
Eye,ResNet-50,1,0.748730,8
Eye,ResNet-50,2,0.803501,8
Eye,ResNet-50,3,0.777527,2
Eye,ResNet-50,4,0.734049,4
Eye,ResNet-50,5,0.771880,4
Cheek,ResNet-18,1,0.807453,7
Cheek,ResNet-18,2,0.766234,1
Cheek,ResNet-18,3,0.756070,5
Cheek,ResNet-18,4,0.688876,8
Cheek,ResNet-18,5,0.731225,8
Cheek,ResNet-34,1,0.678713,4
Cheek,ResNet-34,2,0.756070,4
Cheek,ResNet-34,3,0.775833,2
Cheek,ResNet-34,4,0.728402,2
Cheek,ResNet-34,5,0.818746,2
Cheek,ResNet-50,1,0.744212,7
Cheek,ResNet-50,2,0.823828,3
Cheek,ResNet-50,3,0.826087,11
Cheek,ResNet-50,4,0.798984,8
Cheek,ResNet-50,5,0.792772,2
Lip,ResNet-18,1,0.697911,7
Lip,ResNet-18,2,0.671372,5
Lip,ResNet-18,3,0.739130,13
Lip,ResNet-18,4,0.801242,2
Lip,ResNet-18,5,0.785997,3
Lip,ResNet-34,1,0.756070,14
Lip,ResNet-34,2,0.794466,13
Lip,ResNet-34,3,0.713156,2
Lip,ResNet-34,4,0.776398,12
Lip,ResNet-34,5,0.725014,3
Lip,ResNet-50,1,0.696217,10
Lip,ResNet-50,2,0.731225,4
Lip,ResNet-50,3,0.843591,6
Lip,ResNet-50,4,0.817617,8
Lip,ResNet-50,5,0.754376,18
