model_id,model_display_name,input_view,backbone,input_width,input_height,source_config,source_experiment_dir,loss,label_smoothing_alpha,trainability_strategy,fold,protocol,selected_epoch,inner_best_macro_auc,macro_auc,balanced_accuracy,macro_f1,sensitivity,specificity
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,7,0.8507333908541845,0.8074534161490683,0.7919254658385093,0.7150997150997151,0.7142857142857143,0.8695652173913043
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,1,0.8006902502157033,0.7662337662337663,0.7052512704686618,0.6138996138996139,0.5844155844155844,0.8260869565217391
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,2,outer_5fold_inner_holdout_direct_test,5,0.7825711820534944,0.7560700169395822,0.6134952004517222,0.6080551425868361,0.7922077922077922,0.4347826086956521
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,3,outer_5fold_inner_holdout_direct_test,8,0.7989646246764452,0.6888763410502541,0.5372670807453416,0.538143016403886,0.8571428571428571,0.217391304347826
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,4,outer_5fold_inner_holdout_direct_test,8,0.8610871440897325,0.7312252964426877,0.6140598531902879,0.5413333333333333,0.5324675324675324,0.6956521739130435
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,4,0.8705780845556513,0.67871259175607,0.6487859966120835,0.570999570999571,0.5584415584415584,0.7391304347826086
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,4,0.8481449525452978,0.7560700169395822,0.7049689440993789,0.6579785352046232,0.7142857142857143,0.6956521739130435
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,2,outer_5fold_inner_holdout_direct_test,2,0.7842968075927523,0.7758328627893846,0.67871259175607,0.6621621621621622,0.7922077922077922,0.5652173913043478
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,3,outer_5fold_inner_holdout_direct_test,2,0.822260569456428,0.7284020327498588,0.6414455110107284,0.6612466124661247,0.935064935064935,0.3478260869565217
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,4,outer_5fold_inner_holdout_direct_test,2,0.8515962036238136,0.8187464709203839,0.7117447769621683,0.6224786970121885,0.5974025974025974,0.8260869565217391
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,7,0.8723037100949094,0.7442123094297007,0.7134387351778657,0.6973285958678774,0.8181818181818182,0.6086956521739131
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,3,0.7911993097497843,0.823828345567476,0.7182382834556748,0.6310763888888888,0.6103896103896104,0.8260869565217391
