model_id,model_display_name,input_view,backbone,input_width,input_height,source_config,source_experiment_dir,protocol,loss,label_smoothing_alpha,trainability_strategy,n_folds,macro_auc_mean,macro_auc_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7499717673630718,0.04384593051424007,0.6523997741389046,0.09810676810079319,0.6033061642646769,0.07197124354794553,0.6961038961038961,0.13670334926691707,0.608695652173913,0.2766939578556056
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.751552795031056,0.05236069630691927,0.6771315640880858,0.031829465356895306,0.6349731155689339,0.03939389269388403,0.7194805194805195,0.15217543204604705,0.6347826086956522,0.185993475097456
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7971767363071711,0.033068120043600796,0.7166572557876907,0.03172788209798456,0.6711125074256721,0.027490415946973126,0.7376623376623377,0.10118208405601276,0.6956521739130435,0.1474419561548971
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7612648221343873,0.0672463245523266,0.6727272727272728,0.05799398715197617,0.6439359585855382,0.07252987696767868,0.7454545454545455,0.15546490651060174,0.5999999999999999,0.14222110638083588
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7575381140598532,0.05381499049244722,0.6946922642574818,0.03633113677229723,0.6897511073014293,0.040910838977292974,0.8415584415584416,0.06583787976954063,0.5478260869565218,0.07275304578557183
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7671372106154716,0.026862875576600043,0.6509316770186335,0.04500542682553761,0.6303076456701252,0.035700336830809566,0.7714285714285715,0.0874094476387732,0.5304347826086956,0.15494373635830835
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7391304347826088,0.05555304911961574,0.6095426312817616,0.024589151881067407,0.6052009593488301,0.0347277710140955,0.8103896103896104,0.12476998570883584,0.408695652173913,0.12142817429364301
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.753020892151327,0.03408463946612687,0.6547713156408809,0.05700665088473206,0.6398292852240642,0.0372168488705532,0.8051948051948052,0.07737906031047391,0.5043478260869565,0.18084029863552542
lip_roi_resnet50,Lip ROI ResNet50,lip_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7686053077357424,0.06096079459952167,0.6923771880293619,0.050989658640807546,0.645533416828374,0.0546939736960968,0.7064935064935065,0.10373363920891358,0.6782608695652174,0.12897736499296802
whole_face_sh93_resnet18,Whole-face SH93 ResNet18,whole_face_sh93,resnet18,256,320,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.820892151326934,0.041125562660727664,0.7436476566911349,0.0367290222027891,0.6873357151738041,0.053076117963426074,0.7220779220779221,0.10000843276975821,0.7652173913043477,0.10009447333235945
whole_face_sh93_resnet34,Whole-face SH93 ResNet34,whole_face_sh93,resnet34,256,320,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.7872388481084134,0.027280383497110757,0.7309429700734048,0.07419841005780223,0.6851775252433724,0.04540239167057949,0.7662337662337663,0.09183204950474647,0.6956521739130435,0.22800192351525037
whole_face_sh93_resnet50,Whole-face SH93 ResNet50,whole_face_sh93,resnet50,256,320,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,5,0.8403162055335966,0.0634065050959056,0.7142292490118576,0.12320665824300286,0.6925897132267049,0.10229952816468174,0.8545454545454547,0.07483044306954767,0.5739130434782609,0.2987054615185682
