model_id,model_display_name,input_view,backbone,input_width,input_height,source_config,source_experiment_dir,protocol,loss,label_smoothing_alpha,trainability_strategy,tn,fp,fn,tp,n_samples
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,70,45,117,268,500
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,73,42,108,277,500
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,80,35,101,284,500
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,69,46,98,287,500
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,63,52,61,324,500
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,61,54,88,297,500
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,47,68,73,312,500
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,58,57,75,310,500
lip_roi_resnet50,Lip ROI ResNet50,lip_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,78,37,113,272,500
whole_face_sh93_resnet18,Whole-face SH93 ResNet18,whole_face_sh93,resnet18,256,320,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,88,27,107,278,500
whole_face_sh93_resnet34,Whole-face SH93 ResNet34,whole_face_sh93,resnet34,256,320,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,80,35,90,295,500
whole_face_sh93_resnet50,Whole-face SH93 ResNet50,whole_face_sh93,resnet50,256,320,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,66,49,56,329,500
