model_id,model_display_name,input_view,backbone,input_width,input_height,source_config,source_experiment_dir,protocol,loss,label_smoothing_alpha,trainability_strategy,n_oof_samples,macro_auc,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,sensitivity,specificity
cheek_roi_resnet18,Cheek ROI ResNet18,cheek_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7278825522303783,0.676,0.6152807913755104,0.6523997741389046,0.6157422341979923,0.6523997741389046,0.6961038961038961,0.6086956521739131
cheek_roi_resnet34,Cheek ROI ResNet34,cheek_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7370525127046865,0.7,0.6358267375604011,0.6771315640880858,0.6400875307125308,0.6771315640880858,0.7194805194805195,0.6347826086956522
cheek_roi_resnet50,Cheek ROI ResNet50,cheek_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_cheek_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7879390175042349,0.728,0.6661355409688425,0.7166572557876906,0.6736793611793612,0.7166572557876906,0.7376623376623377,0.6956521739130435
eye_roi_resnet18,Eye ROI ResNet18,eye_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7430378317334839,0.712,0.6375177572782363,0.6727272727272727,0.6444022995317964,0.6727272727272727,0.7454545454545455,0.6
eye_roi_resnet34,Eye ROI ResNet34,eye_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7634556747600226,0.774,0.6848833218943033,0.6946922642574815,0.6893539111167315,0.6946922642574815,0.8415584415584415,0.5478260869565217
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7541953698475438,0.716,0.6277749096541043,0.6509316770186335,0.6345932147562582,0.6509316770186335,0.7714285714285715,0.5304347826086957
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7273856578204405,0.718,0.606359649122807,0.6095426312817618,0.607843137254902,0.6095426312817618,0.8103896103896104,0.40869565217391307
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7477357425183513,0.736,0.640388437032636,0.6547713156408809,0.646105010295127,0.6547713156408809,0.8051948051948052,0.5043478260869565
lip_roi_resnet50,Lip ROI ResNet50,lip_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.7610841332580462,0.7,0.6443179315135803,0.6923771880293619,0.646832796519184,0.6923771880293619,0.7064935064935065,0.6782608695652174
whole_face_sh93_resnet18,Whole-face SH93 ResNet18,whole_face_sh93,resnet18,256,320,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_relight_neutral_front_fullbaseline_ls005_nested_direct_5fold,outer_5fold_inner_holdout_direct_test,weighted_ce_label_smoothing,0.05,full_finetune,500,0.8182721626199888,0.732,0.6813787305590584,0.743647656691135,0.6867695184665732,0.743647656691135,0.7220779220779221,0.7652173913043478
