camera_name,illuminant_name,matrix_rank,condition_number,matrix_3x3,training_deltae00_median,training_deltae00_p95,loocv_deltae00_median,loocv_deltae00_p95,negative_linear_srgb_rate,out_of_gamut_rate,finite,qualification_status,failure_reasons
Canon 1DMarkIII,D65,3,9.83171809557,0.705623966515 0.309903364835 0.0680562324532 0.0746794773524 0.82379575934 -0.273379195414 0.161973648921 -0.139976041938 1.2822295113,0.818870635025,1.89103359254,0.952504292039,2.12056808336,0.0138888888889,0.0138888888889,True,PASS,
Canon 20D,D65,3,10.0030664146,0.691714227682 0.273203573186 0.0947466461985 0.104958228543 0.854497350291 -0.344835930956 0.14374820159 -0.132704726018 1.31971708156,1.07604504169,2.80291949977,1.25572996557,3.19399203114,0.0138888888889,0.0138888888889,True,PASS,
Canon 300D,D65,3,10.5722672859,0.650812481946 0.28386780358 0.0641010766279 0.167291469174 0.952630678771 -0.343234073134 0.127172697411 -0.242958135929 1.36715928593,0.589866741898,1.64037436164,0.70950623909,1.86230533596,0.0138888888889,0.0138888888889,True,PASS,
Canon 40D,D65,3,10.3932437017,0.681409410498 0.272333316998 0.0773747695932 0.112439786737 0.885348207037 -0.379413500181 0.144567682916 -0.164735682081 1.37418777224,1.05911500951,2.2257720151,1.2512811666,2.52297772328,0.0138888888889,0.0138888888889,True,PASS,
Canon 500D,D65,3,13.8366891495,0.86709096636 0.319227157965 0.0464341959486 -0.131165712029 0.921723162435 -0.558934072329 0.206949046898 -0.247552090258 1.59190465596,0.663451771127,1.73841702103,0.818525847131,1.89533528384,0.0138888888889,0.0138888888889,True,PASS,
Canon 50D,D65,3,12.9111430374,0.826452026684 0.303769958463 0.0381111610451 -0.0646535760956 0.915055178878 -0.501528509791 0.180035177176 -0.225812581194 1.54273659561,0.670635050321,1.85074829802,0.810928945633,2.04595385727,0.0138888888889,0.0138888888889,True,PASS,
Canon 5DMarkII,D65,3,11.0962012693,0.761588872755 0.297990011414 0.0813479265374 0.00542570187792 0.854842014505 -0.34249934929 0.174930247318 -0.159067812397 1.33877901088,0.76819314858,1.90713814083,0.893758039095,2.10885912648,0.0138888888889,0.0138888888889,True,PASS,
Canon 600D,D65,3,11.5356256379,0.726536783944 0.273435887645 0.0773878454296 0.0540047528987 0.921646803541 -0.420306130541 0.160406898902 -0.201441119155 1.41785099726,0.784520240031,1.75492854987,0.963779311321,1.94038596279,0.0138888888889,0.0138888888889,True,PASS,
Canon 60D,D65,3,11.1861480827,0.722627436319 0.277433322491 0.0622388759242 0.0638133277864 0.909581451998 -0.372129276124 0.155477131149 -0.193577510474 1.38949778314,0.700931856916,1.63871210628,0.816463365679,1.80734590936,0.0138888888889,0.0138888888889,True,PASS,
Hasselblad H2,D65,3,9.07664190128,0.636920146719 0.269092352448 0.0643275577834 0.218482099525 0.85992264734 -0.427931425507 0.0823255876476 -0.136205831961 1.4488145286,1.68698589914,3.7945906095,1.94461353889,4.17226784353,0.0,0.0,True,PASS,
Nikon D3X,D65,3,9.56278755885,0.665181346174 0.281030758201 0.0558467017692 0.205380358496 0.924267266507 -0.265181126399 0.072421828644 -0.210267505669 1.287194368,0.788096160573,1.87231300553,0.871464986556,2.0638693547,0.0138888888889,0.0138888888889,True,PASS,
Nikon D200,D65,3,8.75725268817,0.670051933222 0.295970668521 0.0530842842503 0.201501091574 0.868480146878 -0.182531711451 0.0700380528087 -0.170208281396 1.20438410889,0.982428368943,1.87520266638,1.05434224817,2.11480178208,0.0138888888889,0.0138888888889,True,PASS,
