effect,observation_space,m,h,camera_name,illuminant_name,max_abs_error,relative_error
exposure,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,8.67361737988e-19,1.23273320998e-16
exposure,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,1.11022302463e-16,1.93155858056e-16
exposure,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,1.66533453694e-16,3.66799995399e-16
exposure,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,3.33066907388e-16,4.72820710321e-16
exposure,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
exposure,spectral_radiance,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,cie_xyz,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,camera_rgb_raw,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,camera_rgb_wb,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,spectral_radiance,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,cie_xyz,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,camera_rgb_raw,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,camera_rgb_wb,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,spectral_radiance,0.2,0.2,Canon 20D,D65,8.67361737988e-19,1.23273320998e-16
exposure,cie_xyz,0.2,0.2,Canon 20D,D65,1.11022302463e-16,1.93155858056e-16
exposure,camera_rgb_raw,0.2,0.2,Canon 20D,D65,5.55111512313e-17,1.22164257608e-16
exposure,camera_rgb_wb,0.2,0.2,Canon 20D,D65,1.11022302463e-16,1.57920996471e-16
exposure,spectral_radiance,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,cie_xyz,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,camera_rgb_raw,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,camera_rgb_wb,0.2,0.2,Canon 20D,D65,0.0,0.0
exposure,spectral_radiance,0.2,0.2,Canon 300D,D65,0.0,0.0
exposure,cie_xyz,0.2,0.2,Canon 300D,D65,0.0,0.0
exposure,camera_rgb_raw,0.2,0.2,Canon 300D,D65,0.0,0.0
exposure,camera_rgb_wb,0.2,0.2,Canon 300D,D65,0.0,0.0
exposure,spectral_radiance,0.2,0.2,Canon 300D,D65,0.0,0.0
