camera_name,illuminant_name,camera_light_qualified,m,h,observation_space,sigma_max,sigma_min,sigma_ratio,condition_number,numerical_rank,finite,status
Phase One,D65,True,0.8,0.8,camera_rgb_wb,0.25368821829,0.00206557736882,0.00814218879675,122.817098076,2,True,PASS
Phase One,D65,True,0.65,0.8,camera_rgb_wb,0.360119772276,0.00312115322386,0.00866698655319,115.380356698,2,True,PASS
Canon 500D,D65,True,0.5,0.8,camera_rgb_wb,0.537737761552,0.0046750813964,0.00869398009712,115.022117469,2,True,PASS
Phase One,FL2,True,0.8,0.8,camera_rgb_wb,0.253406199069,0.00223313980775,0.00881249083864,113.475295272,2,True,PASS
Canon 500D,D65,True,0.65,0.8,camera_rgb_wb,0.372649310832,0.00330808180721,0.00887719824256,112.648154595,2,True,PASS
Phase One,D65,True,0.8,0.65,camera_rgb_wb,0.261964951135,0.00233952631105,0.00893068443282,111.973500746,2,True,PASS
Canon 500D,D65,True,0.35,0.8,camera_rgb_wb,0.801478849394,0.00724794923705,0.00904321959653,110.580085922,2,True,PASS
Canon 50D,D65,True,0.5,0.8,camera_rgb_wb,0.543337114406,0.00501640403641,0.00923258121597,108.312071847,2,True,PASS
Canon 50D,D65,True,0.35,0.8,camera_rgb_wb,0.806867057397,0.00745462678829,0.00923897774727,108.237082863,2,True,PASS
Phase One,D65,True,0.65,0.65,camera_rgb_wb,0.372381481827,0.00352034623135,0.00945360175826,105.779789076,2,True,PASS
Canon 500D,D65,True,0.8,0.8,camera_rgb_wb,0.265054927811,0.00250913974732,0.00946648971232,105.635777399,2,True,PASS
Canon 500D,D65,True,0.5,0.65,camera_rgb_wb,0.555420395383,0.00527336107687,0.00949435980512,105.325690255,2,True,PASS
Canon 500D,FL2,True,0.65,0.8,camera_rgb_wb,0.367162052588,0.00349622516627,0.00952229442456,105.016706627,2,True,PASS
Canon 50D,D65,True,0.2,0.8,camera_rgb_wb,1.24595153601,0.011872401646,0.00952878286423,104.94519754,2,True,PASS
Canon 500D,FL2,True,0.8,0.8,camera_rgb_wb,0.262373322465,0.00251472267037,0.00958452119579,104.334893687,2,True,PASS
Canon 500D,D65,True,0.2,0.8,camera_rgb_wb,1.2416227307,0.011916402714,0.00959744245924,104.194425155,2,True,PASS
Phase One,FL2,True,0.8,0.65,camera_rgb_wb,0.262866069051,0.00252640630141,0.00961100194684,104.047424559,2,True,PASS
Canon 50D,D65,True,0.65,0.8,camera_rgb_wb,0.377922376117,0.00365868681537,0.00968105369405,103.294541235,2,True,PASS
Canon 500D,D65,True,0.65,0.65,camera_rgb_wb,0.384236965999,0.00374383587986,0.00974355986318,102.631893686,2,True,PASS
Phase One,FL2,True,0.65,0.8,camera_rgb_wb,0.357036067884,0.00348313106556,0.00975568402991,102.504344845,2,True,PASS
Pentax Q,D65,True,0.2,0.8,camera_rgb_wb,1.25627201447,0.0122949578622,0.00978685962958,102.17782188,2,True,PASS
Phase One,D65,True,0.5,0.8,camera_rgb_wb,0.524405428715,0.00513404207472,0.00979021534407,102.142799199,2,True,PASS
Canon 500D,D65,True,0.35,0.65,camera_rgb_wb,0.829300464468,0.00813950323449,0.00981490253923,101.885881801,2,True,PASS
Phase One,D65,True,0.8,0.5,camera_rgb_wb,0.271288617604,0.00268688547491,0.0099041585255,100.967689221,2,True,PASS
Canon 50D,D65,True,0.35,0.65,camera_rgb_wb,0.834401447766,0.00838488557902,0.0100489825389,99.5125622052,2,True,PASS
Canon 50D,D65,True,0.5,0.65,camera_rgb_wb,0.560818480635,0.00567136990257,0.0101126658596,98.8858935794,2,True,PASS
Canon 500D,FL2,True,0.5,0.8,camera_rgb_wb,0.523595981878,0.005309976214,0.0101413616563,98.6060880079,2,True,PASS
Canon 50D,FL2,True,0.65,0.8,camera_rgb_wb,0.372730327119,0.00382654118797,0.0102662458876,97.406589609,2,True,PASS
Canon 50D,D65,True,0.2,0.65,camera_rgb_wb,1.29099922965,0.0132774478115,0.0102846287639,97.2324838311,2,True,PASS
Canon 500D,D65,True,0.2,0.65,camera_rgb_wb,1.28706481874,0.0133226897437,0.0103512189516,96.6069797839,2,True,PASS
Canon 50D,D65,True,0.8,0.8,camera_rgb_wb,0.269737644644,0.00279821713656,0.0103738472999,96.3962521421,2,True,PASS
Canon 500D,FL2,True,0.65,0.65,camera_rgb_wb,0.380422634155,0.00395066081597,0.0103849257675,96.2934182091,2,True,PASS
Phase One,D65,True,0.65,0.5,camera_rgb_wb,0.386207043217,0.00402449689207,0.0104205683525,95.9640555265,2,True,PASS
Canon 500D,D65,True,0.8,0.65,camera_rgb_wb,0.272837403216,0.00284484831367,0.0104268999783,95.9057823591,2,True,PASS
Canon 500D,D65,True,0.5,0.5,camera_rgb_wb,0.575334891796,0.00602670437004,0.0104751240642,95.4642631312,2,True,PASS
Canon 500D,FL2,True,0.8,0.65,camera_rgb_wb,0.271546353848,0.00284763497684,0.0104867361925,95.3585540479,2,True,PASS
Canon 50D,FL2,True,0.5,0.8,camera_rgb_wb,0.529700719127,0.00555635628742,0.0104896143931,95.3323890203,2,True,PASS
Canon 50D,FL2,True,0.8,0.8,camera_rgb_wb,0.267238340872,0.00282790434788,0.0105819559374,94.5004879929,2,True,PASS
Phase One,FL2,True,0.65,0.65,camera_rgb_wb,0.370714515235,0.00392593671839,0.0105901888301,94.4270226004,2,True,PASS
Phase One,FL2,True,0.8,0.5,camera_rgb_wb,0.273585068712,0.00289850353632,0.0105945238531,94.3883853458,2,True,PASS
Phase One,D65,True,0.5,0.65,camera_rgb_wb,0.542999747647,0.00576895300345,0.0106242277799,94.1244879829,2,True,PASS
Canon 50D,D65,True,0.65,0.65,camera_rgb_wb,0.389371765213,0.0041500306374,0.0106582731676,93.8238290831,2,True,PASS
Pentax Q,D65,True,0.2,0.65,camera_rgb_wb,1.29782075098,0.0139136929617,0.0107208125245,93.2765121777,2,True,PASS
Canon 500D,D65,True,0.35,0.5,camera_rgb_wb,0.860675867397,0.00925788841467,0.0107565330519,92.9667575204,2,True,PASS
SONY NEX-5N,D65,True,0.2,0.8,camera_rgb_wb,1.23259281447,0.0133163406185,0.0108035195907,92.5624276055,2,True,PASS
Canon 500D,D65,True,0.65,0.5,camera_rgb_wb,0.397270751166,0.00429356292055,0.0108076492114,92.5270593486,2,True,PASS
Canon 60D,D65,True,0.35,0.8,camera_rgb_wb,0.80648883926,0.00874558522693,0.0108440251138,92.216680569,2,True,PASS
Canon 600D,D65,True,0.5,0.8,camera_rgb_wb,0.549670418115,0.00597331298123,0.0108670810442,92.0210308487,2,True,PASS
Canon 600D,D65,True,0.35,0.8,camera_rgb_wb,0.812292245468,0.00882977486533,0.0108701947047,91.9946723283,2,True,PASS
Pentax Q,D65,True,0.35,0.8,camera_rgb_wb,0.832130635025,0.00905502294058,0.0108817324582,91.8971316235,2,True,PASS
Canon 500D,A,True,0.2,0.8,camera_rgb_wb,1.24288476417,0.0135645138432,0.0109137341081,91.6276674966,2,True,PASS
Phase One,A,True,0.5,0.8,camera_rgb_wb,0.567849882412,0.00639399778154,0.0112600142742,88.8098341309,2,True,PASS
Phase One,A,True,0.35,0.8,camera_rgb_wb,0.824278401662,0.00936968703728,0.0113671388434,87.9728851542,2,True,PASS
Canon 50D,A,True,0.2,0.8,camera_rgb_wb,1.24784639295,0.0142688969875,0.0114348184745,87.4521971844,2,True,PASS
Canon 500D,A,True,0.35,0.8,camera_rgb_wb,0.842709900997,0.00971318356563,0.0115261296374,86.7593920473,2,True,PASS
Phase One,A,True,0.65,0.8,camera_rgb_wb,0.401085932992,0.00462698658232,0.0115361477472,86.6840492956,2,True,PASS
Phase One,A,True,0.2,0.8,camera_rgb_wb,1.23305120964,0.0145875047838,0.0118304127759,84.527904389,2,True,PASS
Canon 500D,A,True,0.2,0.65,camera_rgb_wb,1.2846295496,0.0153086914987,0.0119168140757,83.9150458881,2,True,PASS
Phase One,A,True,0.8,0.8,camera_rgb_wb,0.289073974004,0.00346814117463,0.0119974175696,83.351270738,2,True,PASS
