index,m,h,shading,specular,exposure,illuminant_name,camera_name
0,0.0,0.0,0.5,0.0,0.5,D65,Canon 5DMarkII
1,0.0,0.0,0.5,0.0,0.5,D65,Nokia N900
2,0.0,0.0,0.5,0.0,0.5,D65,Point Grey Grasshopper 50S5C
3,0.0,0.0,0.5,0.0,0.5,D65,Canon 1DMarkIII
4,0.0,0.0,0.5,0.0,0.5,D65,SONY NEX-5N
5,0.0,0.0,0.5,0.0,0.5,A,Canon 5DMarkII
6,0.0,0.0,0.5,0.0,0.5,A,Nokia N900
7,0.0,0.0,0.5,0.0,0.5,A,Point Grey Grasshopper 50S5C
8,0.0,0.0,0.5,0.0,0.5,A,Canon 1DMarkIII
9,0.0,0.0,0.5,0.0,0.5,A,SONY NEX-5N
10,0.0,0.0,0.5,0.0,0.5,FL2,Canon 5DMarkII
11,0.0,0.0,0.5,0.0,0.5,FL2,Nokia N900
12,0.0,0.0,0.5,0.0,0.5,FL2,Point Grey Grasshopper 50S5C
13,0.0,0.0,0.5,0.0,0.5,FL2,Canon 1DMarkIII
14,0.0,0.0,0.5,0.0,0.5,FL2,SONY NEX-5N
15,0.0,0.0,0.5,0.0,0.5,FL11,Canon 5DMarkII
16,0.0,0.0,0.5,0.0,0.5,FL11,Nokia N900
17,0.0,0.0,0.5,0.0,0.5,FL11,Point Grey Grasshopper 50S5C
18,0.0,0.0,0.5,0.0,0.5,FL11,Canon 1DMarkIII
19,0.0,0.0,0.5,0.0,0.5,FL11,SONY NEX-5N
20,0.0,0.0,0.5,0.0,1.0,D65,Canon 5DMarkII
21,0.0,0.0,0.5,0.0,1.0,D65,Nokia N900
22,0.0,0.0,0.5,0.0,1.0,D65,Point Grey Grasshopper 50S5C
23,0.0,0.0,0.5,0.0,1.0,D65,Canon 1DMarkIII
24,0.0,0.0,0.5,0.0,1.0,D65,SONY NEX-5N
25,0.0,0.0,0.5,0.0,1.0,A,Canon 5DMarkII
26,0.0,0.0,0.5,0.0,1.0,A,Nokia N900
27,0.0,0.0,0.5,0.0,1.0,A,Point Grey Grasshopper 50S5C
28,0.0,0.0,0.5,0.0,1.0,A,Canon 1DMarkIII
29,0.0,0.0,0.5,0.0,1.0,A,SONY NEX-5N
30,0.0,0.0,0.5,0.0,1.0,FL2,Canon 5DMarkII
31,0.0,0.0,0.5,0.0,1.0,FL2,Nokia N900
32,0.0,0.0,0.5,0.0,1.0,FL2,Point Grey Grasshopper 50S5C
33,0.0,0.0,0.5,0.0,1.0,FL2,Canon 1DMarkIII
34,0.0,0.0,0.5,0.0,1.0,FL2,SONY NEX-5N
35,0.0,0.0,0.5,0.0,1.0,FL11,Canon 5DMarkII
36,0.0,0.0,0.5,0.0,1.0,FL11,Nokia N900
37,0.0,0.0,0.5,0.0,1.0,FL11,Point Grey Grasshopper 50S5C
38,0.0,0.0,0.5,0.0,1.0,FL11,Canon 1DMarkIII
39,0.0,0.0,0.5,0.0,1.0,FL11,SONY NEX-5N
40,0.0,0.0,0.5,0.0,2.0,D65,Canon 5DMarkII
41,0.0,0.0,0.5,0.0,2.0,D65,Nokia N900
42,0.0,0.0,0.5,0.0,2.0,D65,Point Grey Grasshopper 50S5C
43,0.0,0.0,0.5,0.0,2.0,D65,Canon 1DMarkIII
44,0.0,0.0,0.5,0.0,2.0,D65,SONY NEX-5N
45,0.0,0.0,0.5,0.0,2.0,A,Canon 5DMarkII
46,0.0,0.0,0.5,0.0,2.0,A,Nokia N900
47,0.0,0.0,0.5,0.0,2.0,A,Point Grey Grasshopper 50S5C
48,0.0,0.0,0.5,0.0,2.0,A,Canon 1DMarkIII
49,0.0,0.0,0.5,0.0,2.0,A,SONY NEX-5N
50,0.0,0.0,0.5,0.0,2.0,FL2,Canon 5DMarkII
51,0.0,0.0,0.5,0.0,2.0,FL2,Nokia N900
52,0.0,0.0,0.5,0.0,2.0,FL2,Point Grey Grasshopper 50S5C
53,0.0,0.0,0.5,0.0,2.0,FL2,Canon 1DMarkIII
54,0.0,0.0,0.5,0.0,2.0,FL2,SONY NEX-5N
55,0.0,0.0,0.5,0.0,2.0,FL11,Canon 5DMarkII
56,0.0,0.0,0.5,0.0,2.0,FL11,Nokia N900
57,0.0,0.0,0.5,0.0,2.0,FL11,Point Grey Grasshopper 50S5C
58,0.0,0.0,0.5,0.0,2.0,FL11,Canon 1DMarkIII
