camera_name,illuminant_name,relative_rgb_error_median,relative_rgb_error_p95,relative_rgb_error_max,chromaticity_l1_p95,finite_fraction
Canon 1DMarkIII,A,0.000330099826032,0.00126568513321,0.00160931169684,0.000375785281085,1.0
Canon 1DMarkIII,D65,0.000460085281458,0.000851932240399,0.000994578881329,0.000324517843084,1.0
Canon 1DMarkIII,FL11,0.00136869195196,0.00277110388357,0.00309450253816,0.0013556542681,1.0
Canon 1DMarkIII,FL2,0.000663817945564,0.00178143650825,0.00215639991796,0.000616194997714,1.0
Canon 20D,A,0.000344572576553,0.00111697588124,0.00142762895209,0.000380129074729,1.0
Canon 20D,D65,0.000395539247566,0.000991133800062,0.00118023111967,0.000330772311135,1.0
Canon 20D,FL11,0.00127043330115,0.00210724913448,0.0023954873956,0.00120407395068,1.0
Canon 20D,FL2,0.000402813705974,0.00126916112019,0.00160612982031,0.000417377616377,1.0
Canon 300D,A,0.000340919650322,0.00104132908405,0.0013911039059,0.000349094823162,1.0
Canon 300D,D65,0.000342434067435,0.000823459998997,0.000993395715059,0.000278142704297,1.0
Canon 300D,FL11,0.00123999462538,0.00213304046075,0.00254328177007,0.00148883783907,1.0
Canon 300D,FL2,0.000312448720838,0.00120601298952,0.00162621640644,0.000357645436448,1.0
Canon 40D,A,0.000305129906964,0.00090463008295,0.00112057752135,0.000343446670784,1.0
Canon 40D,D65,0.000382836186898,0.000949474188036,0.00113240348142,0.000307272607886,1.0
Canon 40D,FL11,0.00126969038544,0.00243676288092,0.00272508477922,0.00128588724073,1.0
Canon 40D,FL2,0.000386426617944,0.00124968180704,0.00146292132914,0.000395629804877,1.0
Canon 500D,A,0.000280887851436,0.000697475547854,0.000858176751801,0.000243277942072,1.0
Canon 500D,D65,0.000209225186924,0.000684186394807,0.000835551682979,0.000249214909762,1.0
Canon 500D,FL11,0.00122068896235,0.0020004886065,0.00232985859753,0.00107920424891,1.0
Canon 500D,FL2,0.000236101414913,0.000527530283781,0.000578162211952,0.000278755888324,1.0
Canon 50D,A,0.000250081356575,0.000644555678546,0.000767767483358,0.000263675575849,1.0
Canon 50D,D65,0.000285336378082,0.000735933492613,0.000899200218204,0.000256692045612,1.0
Canon 50D,FL11,0.00090933000713,0.00137852061609,0.00149886571466,0.000964683778661,1.0
Canon 50D,FL2,0.000166804201167,0.00063385723952,0.000759234580978,0.000264065725358,1.0
Canon 5DMarkII,A,0.000289394202427,0.000971291419951,0.00122343134813,0.000336276973844,1.0
Canon 5DMarkII,D65,0.000351747181945,0.000809613416366,0.000974406771683,0.000280691464918,1.0
Canon 5DMarkII,FL11,0.00205018147845,0.00406727020343,0.00490432457295,0.00157362916098,1.0
Canon 5DMarkII,FL2,0.000327477652277,0.00107459888558,0.00131949874873,0.000297676545552,1.0
Canon 600D,A,0.000289567435788,0.000819976739641,0.000992829488438,0.000311471838898,1.0
Canon 600D,D65,0.000345706283723,0.000901184361818,0.00107967015667,0.000292268895248,1.0
Canon 600D,FL11,0.00100180299956,0.0017846441098,0.00198618260187,0.0012854064856,1.0
Canon 600D,FL2,0.000260252084101,0.000976641863486,0.00113127483441,0.000257154863812,1.0
Canon 60D,A,0.000290396026016,0.00083516562087,0.00101044491951,0.000318249399265,1.0
Canon 60D,D65,0.000334364152158,0.000791364915616,0.000961508599205,0.000284747394516,1.0
Canon 60D,FL11,0.000906916107824,0.00137236416599,0.00149442191401,0.00101335928517,1.0
Canon 60D,FL2,0.000233331143306,0.000812329456934,0.000913953589313,0.000308818797815,1.0
Hasselblad H2,A,0.000488378963607,0.000906024025197,0.00115233458462,0.000494511273622,1.0
Hasselblad H2,D65,0.000618428043944,0.000890408536062,0.000981623581565,0.000486685487078,1.0
Hasselblad H2,FL11,0.0014722031935,0.00240529086768,0.00290529956204,0.00163342662812,1.0
Hasselblad H2,FL2,0.00108771565387,0.00153776334067,0.00160644319456,0.000941537538669,1.0
Nikon D200,A,0.00037365623969,0.00152324982756,0.00190868405915,0.000442588491056,1.0
Nikon D200,D65,0.000510049390312,0.00109442252284,0.00130960419821,0.000375378074302,1.0
Nikon D200,FL11,0.00130482547033,0.00211192092931,0.00253167847003,0.00100660263781,1.0
Nikon D200,FL2,0.000542891872838,0.00135550130652,0.00176204093364,0.00054095041887,1.0
Nikon D3,A,0.000377420378351,0.00143274177639,0.00178858903202,0.000444094458246,1.0
Nikon D3,D65,0.000473508412018,0.00104027192123,0.00124542281318,0.000372487731365,1.0
Nikon D3,FL11,0.00150098687959,0.00256930305539,0.00300740291878,0.00111306045752,1.0
Nikon D3,FL2,0.000453252880193,0.00153029280064,0.00190283722665,0.00048477036729,1.0
Nikon D300s,A,0.000352348711338,0.0011209132756,0.00139837417354,0.000409727857836,1.0
Nikon D300s,D65,0.000407917985141,0.000816010768842,0.000969036598568,0.000332182634263,1.0
Nikon D300s,FL11,0.00143400227472,0.00240576982103,0.00276813269375,0.00125855736844,1.0
Nikon D300s,FL2,0.000477870198046,0.0016937599579,0.00202292703087,0.000535256692848,1.0
Nikon D3X,A,0.000369855532248,0.00117593524321,0.00145679770642,0.000433521623629,1.0
Nikon D3X,D65,0.000487300879196,0.000874175001116,0.00105316026676,0.000358735120866,1.0
Nikon D3X,FL11,0.0017274694135,0.00305978760573,0.00380953522352,0.000995757761113,1.0
Nikon D3X,FL2,0.000556399367997,0.00105027602541,0.00119848986137,0.000478560348844,1.0
Nikon D40,A,0.00036920938489,0.00142341448263,0.00176149208894,0.000416329227798,1.0
Nikon D40,D65,0.000407349138525,0.000985649707392,0.00114901607692,0.000335310251185,1.0
Nikon D40,FL11,0.00143949783734,0.00249561490476,0.00308884750082,0.00115022631368,1.0
Nikon D40,FL2,0.000371875356764,0.00123438229646,0.00142284479141,0.000427302788697,1.0
Nikon D50,A,0.000394142563034,0.00136123914108,0.00171361752611,0.000451606620678,1.0
Nikon D50,D65,0.000490788769008,0.000970740993401,0.00115740095568,0.000388333916024,1.0
Nikon D50,FL11,0.0016331277834,0.00287094508218,0.00358730012292,0.00134560688418,1.0
Nikon D50,FL2,0.000575457888386,0.00140491441817,0.00178017640917,0.000571365460552,1.0
Nikon D5100,A,0.000331640967096,0.00108746358244,0.0013384591377,0.000383053064627,1.0
Nikon D5100,D65,0.000473738134397,0.00105965219985,0.00126216197072,0.000336014268653,1.0
Nikon D5100,FL11,0.00150951435491,0.00269457572193,0.00311597236522,0.00113235709705,1.0
Nikon D5100,FL2,0.000468596790545,0.00184062517089,0.00213410935025,0.000507576912084,1.0
Nikon D700,A,0.000386763429746,0.00147820199674,0.00183247679035,0.00044987491603,1.0
Nikon D700,D65,0.000463501207395,0.000996429152967,0.00119570105691,0.000375285471854,1.0
Nikon D700,FL11,0.00157426212626,0.00266772930493,0.00329268884133,0.00107448136684,1.0
Nikon D700,FL2,0.000433343601582,0.00136266502072,0.0017344284593,0.000460196307657,1.0
Nikon D80,A,0.000378361916693,0.0015483730434,0.00193880605412,0.00045075698009,1.0
Nikon D80,D65,0.000458611528701,0.000960480661057,0.00115377828922,0.000362348260844,1.0
Nikon D80,FL11,0.00208635018299,0.00392837012828,0.00503630664582,0.00133798588166,1.0
Nikon D80,FL2,0.000502901826491,0.00134828134514,0.00158964011472,0.000507684718589,1.0
Nikon D90,A,0.000373433991729,0.00114354992672,0.00142199736338,0.000437688798083,1.0
Nikon D90,D65,0.000496944469794,0.00086254809763,0.00103717026665,0.000376068060189,1.0
Nikon D90,FL11,0.00122668904101,0.00198534820456,0.00226229026607,0.00120936119015,1.0
Nikon D90,FL2,0.000675385273796,0.0012660266067,0.00159704946793,0.000638381069578,1.0
Nokia N900,A,0.000330364788216,0.000532477574821,0.000609715152205,0.000281365397491,1.0
Nokia N900,D65,0.000505740336021,0.000722985136222,0.000785231751199,0.000356705181309,1.0
Nokia N900,FL11,0.00129638019115,0.00309383481182,0.00381816126064,0.00187239924963,1.0
