camera_name,light_name,allowlist_role,observed_count,split_count,acquisition_role_count,covered
Canon 1DMarkIII,A,CAMERA_OOD,5,2,2,True
Canon 1DMarkIII,D65,CAMERA_OOD,3,2,2,True
Canon 1DMarkIII,FL2,CAMERA_OOD,4,2,2,True
Nikon D5100,A,CAMERA_OOD,3,2,2,True
Nikon D5100,D65,CAMERA_OOD,4,2,2,True
Nikon D5100,FL2,CAMERA_OOD,5,2,2,True
Canon 5DMarkII,A,ID,19,6,5,True
Canon 5DMarkII,D65,ID,20,6,5,True
Canon 5DMarkII,FL2,ID,12,5,5,True
Nikon D80,A,ID,9,4,5,True
Nikon D80,D65,ID,11,4,5,True
Nikon D80,FL2,ID,23,6,5,True
Nokia N900,A,ID,23,6,5,True
Nokia N900,D65,ID,12,5,5,True
Nokia N900,FL2,ID,21,6,5,True
Olympus E-PL2,A,ID,9,4,5,True
Olympus E-PL2,D65,ID,9,4,5,True
Olympus E-PL2,FL2,ID,20,6,5,True
Pentax Q,A,ID,9,4,5,True
Pentax Q,D65,ID,20,6,5,True
Pentax Q,FL2,ID,9,4,5,True
SONY NEX-5N,A,ID,20,6,5,True
SONY NEX-5N,D65,ID,9,4,5,True
SONY NEX-5N,FL2,ID,9,4,5,True
Canon 1DMarkIII,FL11,JOINT_OOD,4,1,1,True
Nikon D5100,FL11,JOINT_OOD,4,1,1,True
Canon 5DMarkII,FL11,LIGHT_OOD,5,2,2,True
Nikon D80,FL11,LIGHT_OOD,4,2,2,True
Nokia N900,FL11,LIGHT_OOD,6,2,2,True
Olympus E-PL2,FL11,LIGHT_OOD,3,2,2,True
Pentax Q,FL11,LIGHT_OOD,3,2,2,True
SONY NEX-5N,FL11,LIGHT_OOD,3,2,2,True
