pair_id,latent_id,latent_split,reference_sample_id,variant_sample_id,pair_role,changed_camera,changed_light,changed_appearance,reference_camera,variant_camera,reference_light,variant_light,reference_appearance,variant_appearance,m_hash_equal,h_hash_equal,mask_hash_equal,appearance_hash_equal_expected,rgb_mad_valid,rgb_rmse_valid,rgb_max_abs_valid,luminance_mad_valid
L000_A0_A1,L000,train_like_id,L000_A0,L000_A1,camera,True,False,False,Canon 5DMarkII,Nokia N900,D65,D65,appearance0,appearance0,True,True,True,True,0.0207700356841087,0.022626681253314,0.0321465134620666,0.0026479561347514
L000_A0_A2,L000,train_like_id,L000_A0,L000_A2,light,False,True,False,Canon 5DMarkII,Canon 5DMarkII,D65,A,appearance0,appearance0,True,True,True,True,0.0358311831951141,0.0379481799900531,0.0572525858879089,0.0015113684348762
L000_A0_A3,L000,train_like_id,L000_A0,L000_A3,appearance,False,False,True,Canon 5DMarkII,Canon 5DMarkII,D65,D65,appearance0,appearance1,True,True,True,False,0.0314795039594173,0.0378838777542114,0.1049661636352539,0.0313670225441455
L000_A0_A4,L000,train_like_id,L000_A0,L000_A4,joint,True,True,True,Canon 5DMarkII,Nokia N900,D65,A,appearance0,appearance2,True,True,True,False,0.0552926324307918,0.0702952593564987,0.2688814997673034,0.0464469976723194
L001_A0_A1,L001,train_like_id,L001_A0,L001_A1,camera,True,False,False,Nokia N900,Nikon D80,A,A,appearance0,appearance0,True,True,True,True,0.0123511161655187,0.0181369483470916,0.0338650941848754,0.0003163804067298
L001_A0_A2,L001,train_like_id,L001_A0,L001_A2,light,False,True,False,Nokia N900,Nokia N900,A,FL2,appearance0,appearance0,True,True,True,True,0.0373565480113029,0.0428243391215801,0.0595167875289917,0.0089139500632882
L001_A0_A3,L001,train_like_id,L001_A0,L001_A3,appearance,False,False,True,Nokia N900,Nokia N900,A,A,appearance0,appearance1,True,True,True,False,0.0419317595660686,0.049180794507265,0.1314882636070251,0.0419876500964164
L001_A0_A4,L001,train_like_id,L001_A0,L001_A4,joint,True,True,True,Nokia N900,Nikon D80,A,FL2,appearance0,appearance2,True,True,True,False,0.1222759336233139,0.133423626422882,0.3044718503952026,0.1105689629912376
L002_A0_A1,L002,train_like_id,L002_A0,L002_A1,camera,True,False,False,Nikon D80,Pentax Q,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0166221354156732,0.0214420370757579,0.0393447875976562,0.0062324185855686
L002_A0_A2,L002,train_like_id,L002_A0,L002_A2,light,False,True,False,Nikon D80,Nikon D80,FL2,D65,appearance0,appearance0,True,True,True,True,0.0158484615385532,0.0187131501734256,0.0301643013954162,0.0052816653624176
L002_A0_A3,L002,train_like_id,L002_A0,L002_A3,appearance,False,False,True,Nikon D80,Nikon D80,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0597716718912124,0.07398122549057,0.2210824489593505,0.0609164908528327
L002_A0_A4,L002,train_like_id,L002_A0,L002_A4,joint,True,True,True,Nikon D80,Pentax Q,FL2,D65,appearance0,appearance2,True,True,True,False,0.0868900865316391,0.0933989807963371,0.1730767488479614,0.083800584077835
L003_A0_A1,L003,train_like_id,L003_A0,L003_A1,camera,True,False,False,Pentax Q,SONY NEX-5N,D65,D65,appearance0,appearance0,True,True,True,True,0.0095661347731947,0.0097535904496908,0.0141468048095703,0.0070247361436486
L003_A0_A2,L003,train_like_id,L003_A0,L003_A2,light,False,True,False,Pentax Q,Pentax Q,D65,A,appearance0,appearance0,True,True,True,True,0.0309872925281524,0.0323993638157844,0.0469511151313781,0.0020223190076649
L003_A0_A3,L003,train_like_id,L003_A0,L003_A3,appearance,False,False,True,Pentax Q,Pentax Q,D65,D65,appearance0,appearance1,True,True,True,False,0.1094445660710334,0.1193137317895889,0.2929605841636657,0.1116790696978569
L003_A0_A4,L003,train_like_id,L003_A0,L003_A4,joint,True,True,True,Pentax Q,SONY NEX-5N,D65,A,appearance0,appearance2,True,True,True,False,0.0626084059476852,0.07468993216753,0.1970213055610656,0.0402005389332771
L004_A0_A1,L004,train_like_id,L004_A0,L004_A1,camera,True,False,False,SONY NEX-5N,Olympus E-PL2,A,A,appearance0,appearance0,True,True,True,True,0.0066236783750355,0.0067208930850028,0.0093536972999572,0.0021510845981538
L004_A0_A2,L004,train_like_id,L004_A0,L004_A2,light,False,True,False,SONY NEX-5N,SONY NEX-5N,A,FL2,appearance0,appearance0,True,True,True,True,0.0480758771300315,0.0545015931129455,0.0872491002082824,0.0098547860980033
L004_A0_A3,L004,train_like_id,L004_A0,L004_A3,appearance,False,False,True,SONY NEX-5N,SONY NEX-5N,A,A,appearance0,appearance1,True,True,True,False,0.0414814762771129,0.0533563867211341,0.212428867816925,0.0411820486187934
L004_A0_A4,L004,train_like_id,L004_A0,L004_A4,joint,True,True,True,SONY NEX-5N,Olympus E-PL2,A,FL2,appearance0,appearance2,True,True,True,False,0.0874288082122802,0.1050441861152648,0.2996951341629028,0.0683581307530403
L005_A0_A1,L005,train_like_id,L005_A0,L005_A1,camera,True,False,False,Olympus E-PL2,Canon 5DMarkII,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0085738226771354,0.0097273169085383,0.0182664394378662,0.0014510503970086
L005_A0_A2,L005,train_like_id,L005_A0,L005_A2,light,False,True,False,Olympus E-PL2,Olympus E-PL2,FL2,D65,appearance0,appearance0,True,True,True,True,0.0207294654101133,0.0248758438974618,0.0417049527168273,0.0062359627336263
L005_A0_A3,L005,train_like_id,L005_A0,L005_A3,appearance,False,False,True,Olympus E-PL2,Olympus E-PL2,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0379018597304821,0.0474147461354732,0.1430474519729614,0.0389885380864143
L005_A0_A4,L005,train_like_id,L005_A0,L005_A4,joint,True,True,True,Olympus E-PL2,Canon 5DMarkII,FL2,D65,appearance0,appearance2,True,True,True,False,0.0902039706707,0.1023478433489799,0.2598366737365722,0.0841942504048347
L006_A0_A1,L006,train_like_id,L006_A0,L006_A1,camera,True,False,False,Canon 5DMarkII,Nokia N900,A,A,appearance0,appearance0,True,True,True,True,0.0124467303976416,0.0161951705813407,0.0305891335010528,0.0027801501564681
L006_A0_A2,L006,train_like_id,L006_A0,L006_A2,light,False,True,False,Canon 5DMarkII,Canon 5DMarkII,A,FL2,appearance0,appearance0,True,True,True,True,0.0496090240776538,0.0551326796412467,0.0889476537704467,0.0071786572225391
L006_A0_A3,L006,train_like_id,L006_A0,L006_A3,appearance,False,False,True,Canon 5DMarkII,Canon 5DMarkII,A,A,appearance0,appearance1,True,True,True,False,0.1469184756278991,0.1579442769289016,0.3289592266082763,0.1494947671890258
L006_A0_A4,L006,train_like_id,L006_A0,L006_A4,joint,True,True,True,Canon 5DMarkII,Nokia N900,A,FL2,appearance0,appearance2,True,True,True,False,0.0999253317713737,0.1125378906726837,0.2692257761955261,0.0683648884296417
L007_A0_A1,L007,train_like_id,L007_A0,L007_A1,camera,True,False,False,Nokia N900,Nikon D80,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0183453541249036,0.0267953537404537,0.0511045455932617,0.0011355262249708
L007_A0_A2,L007,train_like_id,L007_A0,L007_A2,light,False,True,False,Nokia N900,Nokia N900,FL2,D65,appearance0,appearance0,True,True,True,True,0.0224140025675296,0.0253445971757173,0.0402150154113769,0.0039202477782964
L007_A0_A3,L007,train_like_id,L007_A0,L007_A3,appearance,False,False,True,Nokia N900,Nokia N900,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0350011400878429,0.0418875589966774,0.1236903071403503,0.0367410778999328
L007_A0_A4,L007,train_like_id,L007_A0,L007_A4,joint,True,True,True,Nokia N900,Nikon D80,FL2,D65,appearance0,appearance2,True,True,True,False,0.0467357337474823,0.0574802346527576,0.1631996631622314,0.043637566268444
L008_A0_A1,L008,train_like_id,L008_A0,L008_A1,camera,True,False,False,Nikon D80,Pentax Q,D65,D65,appearance0,appearance0,True,True,True,True,0.018218008801341,0.0222972724586725,0.0387788414955139,0.008353030309081
L008_A0_A2,L008,train_like_id,L008_A0,L008_A2,light,False,True,False,Nikon D80,Nikon D80,D65,A,appearance0,appearance0,True,True,True,True,0.0244228634983301,0.0294959899038076,0.0474180579185485,0.0086136646568775
L008_A0_A3,L008,train_like_id,L008_A0,L008_A3,appearance,False,False,True,Nikon D80,Nikon D80,D65,D65,appearance0,appearance1,True,True,True,False,0.0465751513838768,0.0549289844930172,0.1542150974273681,0.0474358759820461
L008_A0_A4,L008,train_like_id,L008_A0,L008_A4,joint,True,True,True,Nikon D80,Pentax Q,D65,A,appearance0,appearance2,True,True,True,False,0.0439334511756897,0.0567763485014438,0.2183268070220947,0.0417785346508026
L009_A0_A1,L009,train_like_id,L009_A0,L009_A1,camera,True,False,False,Pentax Q,SONY NEX-5N,A,A,appearance0,appearance0,True,True,True,True,0.005025140941143,0.0062152184545993,0.0116757750511169,0.0011102347634732
L009_A0_A2,L009,train_like_id,L009_A0,L009_A2,light,False,True,False,Pentax Q,Pentax Q,A,FL2,appearance0,appearance0,True,True,True,True,0.0526376441121101,0.0581474006175994,0.0925925374031066,0.006684061139822
L009_A0_A3,L009,train_like_id,L009_A0,L009_A3,appearance,False,False,True,Pentax Q,Pentax Q,A,A,appearance0,appearance1,True,True,True,False,0.0758107155561447,0.0900460705161094,0.2813577055931091,0.077054850757122
L009_A0_A4,L009,train_like_id,L009_A0,L009_A4,joint,True,True,True,Pentax Q,SONY NEX-5N,A,FL2,appearance0,appearance2,True,True,True,False,0.1109345331788063,0.1300689876079559,0.3238068222999573,0.0863567516207695
L010_A0_A1,L010,train_like_id,L010_A0,L010_A1,camera,True,False,False,SONY NEX-5N,Olympus E-PL2,FL2,FL2,appearance0,appearance0,True,True,True,True,0.01006321888417,0.010394143871963,0.0146442800760269,0.0013273559743538
L010_A0_A2,L010,train_like_id,L010_A0,L010_A2,light,False,True,False,SONY NEX-5N,SONY NEX-5N,FL2,D65,appearance0,appearance0,True,True,True,True,0.0271343067288398,0.0304377097636461,0.0538082718849182,0.001162527827546
L010_A0_A3,L010,train_like_id,L010_A0,L010_A3,appearance,False,False,True,SONY NEX-5N,SONY NEX-5N,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0572203509509563,0.0724569857120513,0.2218561768531799,0.060615062713623
L010_A0_A4,L010,train_like_id,L010_A0,L010_A4,joint,True,True,True,SONY NEX-5N,Olympus E-PL2,FL2,D65,appearance0,appearance2,True,True,True,False,0.0435263365507125,0.0552894212305545,0.1500636339187622,0.055142693221569
L011_A0_A1,L011,train_like_id,L011_A0,L011_A1,camera,True,False,False,Olympus E-PL2,Canon 5DMarkII,D65,D65,appearance0,appearance0,True,True,True,True,0.0067675346508622,0.0070013706572353,0.0121014714241027,0.0027315847110003
L011_A0_A2,L011,train_like_id,L011_A0,L011_A2,light,False,True,False,Olympus E-PL2,Olympus E-PL2,D65,A,appearance0,appearance0,True,True,True,True,0.0267924778163433,0.0314259231090545,0.0427722930908203,0.0085291415452957
L011_A0_A3,L011,train_like_id,L011_A0,L011_A3,appearance,False,False,True,Olympus E-PL2,Olympus E-PL2,D65,D65,appearance0,appearance1,True,True,True,False,0.0623799301683902,0.070975124835968,0.1862669587135315,0.0641651973128318
L011_A0_A4,L011,train_like_id,L011_A0,L011_A4,joint,True,True,True,Olympus E-PL2,Canon 5DMarkII,D65,A,appearance0,appearance2,True,True,True,False,0.0268388539552688,0.0335840955376625,0.1204270720481872,0.0275203585624694
L012_A0_A1,L012,train_like_id,L012_A0,L012_A1,camera,True,False,False,Canon 5DMarkII,Nokia N900,FL2,FL2,appearance0,appearance0,True,True,True,True,0.0175094977021217,0.0232735332101583,0.0439435988664627,0.0031624054536223
L012_A0_A2,L012,train_like_id,L012_A0,L012_A2,light,False,True,False,Canon 5DMarkII,Canon 5DMarkII,FL2,D65,appearance0,appearance0,True,True,True,True,0.0237857438623905,0.0262771230190992,0.0425103902816772,0.0010588446166366
L012_A0_A3,L012,train_like_id,L012_A0,L012_A3,appearance,False,False,True,Canon 5DMarkII,Canon 5DMarkII,FL2,FL2,appearance0,appearance1,True,True,True,False,0.0659546926617622,0.074675440788269,0.2043036818504333,0.0703378468751907
L012_A0_A4,L012,train_like_id,L012_A0,L012_A4,joint,True,True,True,Canon 5DMarkII,Nokia N900,FL2,D65,appearance0,appearance2,True,True,True,False,0.0343077220022678,0.0420391112565994,0.1889625191688537,0.0313927121460437
L013_A0_A1,L013,train_like_id,L013_A0,L013_A1,camera,True,False,False,Nokia N900,Nikon D80,D65,D65,appearance0,appearance0,True,True,True,True,0.0134663088247179,0.0209636259824037,0.0421440005302429,0.0010201204568147
L013_A0_A2,L013,train_like_id,L013_A0,L013_A2,light,False,True,False,Nokia N900,Nokia N900,D65,A,appearance0,appearance0,True,True,True,True,0.0203703884035348,0.024917347356677,0.0387120246887207,0.0094342976808547
