ID,status,failure_code,warning_codes,roll_angle_degrees,residual_roll_degrees,aligned_face_width_fraction,aligned_face_height_fraction,skin_fraction,hair_fraction_in_face_region,source_valid_fraction,top_border_skin_pixel_count,top_border_skin_fraction,skin_touching_top_border,nostril_exclusion_area_ratio,nostril_dilation_radius_px
100037382,success,,,-2.7184296692865733,0.0,0.9267656803131104,0.8964328765869141,0.6182060241699219,0.01660338950372545,1.0,456,0.4453125,True,0.008010101318359376,3
200887343-1,success,,,3.14487741393365,0.0,0.9048875570297241,0.8983369827270508,0.5940818786621094,0.008505268341729166,1.0,472,0.4609375,True,0.0105712890625,5
201885444,success,,,1.0194177996033618,0.0,0.9287973642349243,0.8970627784729004,0.6199241638183594,0.00686921200084475,1.0,504,0.4921875,True,0.009629058837890624,6
203214852,success,,,-1.5634633917368213,0.0,0.9239711761474609,0.8964755058288574,0.6063873291015625,0.0029677801851171488,1.0,542,0.529296875,True,0.010231781005859374,5
204238693,success,,,-2.783228456913521,0.0,0.8803750276565552,0.8980429649353028,0.6036689758300782,0.006479461352208864,1.0,556,0.54296875,True,0.009011077880859374,4
205200934-1,success,,,7.802730280704148,0.0,0.9090955257415771,0.8972881317138672,0.6444587707519531,0.004445659960223645,1.0,686,0.669921875,True,0.0094757080078125,4
206248971,success,,,1.9263838260055235,0.0,0.9139485955238342,0.9030679702758789,0.6301895141601562,0.009967629353219529,1.0,456,0.4453125,True,0.0093536376953125,4
9300198023,success,,high_skin_fraction;face_near_canvas_border,-1.6547715886843768,0.0,0.9455736875534058,0.8946998596191407,0.6624465942382812,0.009936138098220327,1.0,456,0.4453125,True,0.008358001708984375,3
9300800427,success,,,-5.29313708570944,0.0,0.9258489012718201,0.8955901145935059,0.6334358215332031,0.012667709750767907,1.0,518,0.505859375,True,0.009622955322265625,5
A000104693,success,,face_near_canvas_border,0.9904121805736764,0.0,0.9465276002883911,0.8871275901794433,0.6431533813476562,0.011907913313567697,1.0,0,0.0,False,0.007572174072265625,3
A000477213,success,,,-0.4014681755567034,0.0,0.8954423069953918,0.8963525772094727,0.6281715393066406,0.0,1.0,562,0.548828125,True,0.0094390869140625,4
A001093486,success,,face_near_canvas_border,3.3658745769310663,0.0,0.9549548029899597,0.8968522071838378,0.5984535217285156,0.011706265034016023,1.0,530,0.517578125,True,0.01050262451171875,6
A001393665,success,,,4.6540126810758595,0.0,0.9343906044960022,0.8970208168029785,0.6463233947753906,0.009237380342678785,1.0,480,0.46875,True,0.0089447021484375,4
A001560256,success,,,4.465441061906383,0.0,0.9273024797439575,0.8961355209350585,0.6307861328125,0.01198309259817614,1.0,706,0.689453125,True,0.00968017578125,5
A001604824,success,,,-2.9849935232359215,0.0,0.8784846663475037,0.8974523544311523,0.5677978515625,0.0017505475660495977,1.0,454,0.443359375,True,0.010382080078125,6
A001613504,success,,,-1.6434571144136552,0.0,0.8965972065925598,0.8981627464294434,0.6348960876464844,0.009950041491346493,1.0,542,0.529296875,True,0.008994293212890626,4
A001627943,success,,,-9.381178342968756,0.0,0.9080638885498047,0.8971704483032227,0.6301925659179688,0.0012621217233489063,1.0,628,0.61328125,True,0.009972381591796874,5
A001636890,success,,,-0.9006407785925198,0.0,0.9387449026107788,0.8961654663085937,0.5481376647949219,0.09062178491206442,1.0,210,0.205078125,True,0.010166168212890625,5
A001647049,success,,,5.094983937912588,0.0,0.873418927192688,0.897154426574707,0.5652778625488282,0.004784916290686337,1.0,326,0.318359375,True,0.01016693115234375,5
A001670882,success,,face_near_canvas_border,0.10978028240918396,0.0,0.9466274380683899,0.8529388427734375,0.5644256591796875,0.026093183651145328,1.0,342,0.333984375,True,0.00957794189453125,6
A001698538,success,,,-5.449943412575187,0.0,0.9173945784568787,0.8971060752868653,0.6073753356933593,0.005342803248588699,1.0,502,0.490234375,True,0.01008453369140625,5
A001758297,success,,,-6.4430915458752045,0.0,0.9299619793891907,0.8965167045593262,0.6062942504882812,0.011625636648648045,1.0,292,0.28515625,True,0.00929412841796875,4
A001813366,success,,high_skin_fraction;face_near_canvas_border,0.9077573568793965,0.0,0.9446551203727722,0.8853298187255859,0.7068130493164062,0.001547396444950216,1.0,776,0.7578125,True,0.008155059814453126,3
A001866164,success,,,1.138421725307376,0.0,0.9031987190246582,0.8975537300109864,0.6415214538574219,0.017858800147587776,1.0,562,0.548828125,True,0.008077239990234375,4
A001906652,success,,,2.2872078845367487,0.0,0.8752394914627075,0.8978584289550782,0.601910400390625,0.01877773780253852,1.0,496,0.484375,True,0.009217071533203124,4
A001923658,success,,,-3.018163517535735,0.0,0.9068478345870972,0.8989645957946777,0.5897933959960937,0.03684615149459983,1.0,208,0.203125,True,0.009304046630859375,5
A001970601,success,,,-3.2284065620588858,0.0,0.8668703436851501,0.898154354095459,0.5714012145996094,0.01650269981605649,1.0,450,0.439453125,True,0.010071563720703124,5
A002012347,success,,bottom_invalid_area,-5.7512395373067395,0.0,0.8777958154678345,0.899545955657959,0.5060317993164063,0.025148188375796954,0.9926483154296875,0,0.0,False,0.011228179931640625,6
A002081031,success,,,2.6277946371292678,0.0,0.9247304201126099,0.8973844528198243,0.6026473999023437,0.02951990521590637,1.0,372,0.36328125,True,0.0094696044921875,4
A002145202-1,success,,,-0.40388019625801,0.0,0.9038252234458923,0.8984162330627441,0.6005668640136719,0.017030305618020172,1.0,604,0.58984375,True,0.008586883544921875,4
A002337238,success,,high_skin_fraction;face_near_canvas_border,-1.0470404273825384,0.0,0.9481812119483948,0.8802919387817383,0.6913330078125,0.0002712113621870843,1.0,758,0.740234375,True,0.009685516357421875,4
A002366013,success,,,-1.7369847932187263,0.0,0.9143580198287964,0.8975285530090332,0.6278518676757813,0.0014912970919126437,1.0,722,0.705078125,True,0.009337615966796876,5
