ID,base_top_border_skin_pixel_count,revA_top_border_skin_pixel_count,base_top_border_skin_fraction,revA_top_border_skin_fraction,base_skin_touching_top_border,revA_skin_touching_top_border,base_aligned_face_width_fraction,revA_aligned_face_width_fraction,base_aligned_face_height_fraction,revA_aligned_face_height_fraction,base_skin_fraction,revA_skin_fraction,revA_nostril_exclusion_area_ratio,revA_nostril_dilation_radius_px,hair_fraction_in_face_region
100037382,530,456,0.517578125,0.4453125,True,True,0.9441330432891846,0.9267656803131104,0.9132317543029785,0.8964328765869141,0.6317520141601562,0.6182060241699219,0.008010101318359376,3,0.01660338950372545
200887343-1,652,472,0.63671875,0.4609375,True,True,0.963901937007904,0.9048875570297241,0.9569241523742675,0.8983369827270508,0.6364982604980469,0.5940818786621094,0.0105712890625,5,0.008505268341729166
201885444,628,504,0.61328125,0.4921875,True,True,0.9645196199417114,0.9287973642349243,0.9315644264221191,0.8970627784729004,0.6464561462402344,0.6199241638183594,0.009629058837890624,6,0.00686921200084475
203214852,682,542,0.666015625,0.529296875,True,True,0.9605148434638977,0.9239711761474609,0.9319316864013671,0.8964755058288574,0.6278739929199219,0.6063873291015625,0.010231781005859374,5,0.0029677801851171488
204238693,706,556,0.689453125,0.54296875,True,True,0.9377907514572144,0.8803750276565552,0.9566109657287598,0.8980429649353028,0.6438148498535157,0.6036689758300782,0.009011077880859374,4,0.006479461352208864
205200934-1,780,686,0.76171875,0.669921875,True,True,0.9503455758094788,0.9090955257415771,0.9380023956298829,0.8972881317138672,0.668450927734375,0.6444587707519531,0.0094757080078125,4,0.004445659960223645
206248971,684,456,0.66796875,0.4453125,True,True,0.9735538363456726,0.9139485955238342,0.9619636535644531,0.9030679702758789,0.6777633666992188,0.6301895141601562,0.0093536376953125,4,0.009967629353219529
9300198023,456,456,0.4453125,0.4453125,True,True,0.9455736875534058,0.9455736875534058,0.8946998596191407,0.8946998596191407,0.6605278015136719,0.6624465942382812,0.008358001708984375,3,0.009936138098220327
9300800427,588,518,0.57421875,0.505859375,True,True,0.9459744691848755,0.9258489012718201,0.9150579452514649,0.8955901145935059,0.6470756530761719,0.6334358215332031,0.009622955322265625,5,0.012667709750767907
A000104693,0,0,0.0,0.0,False,False,0.9465276002883911,0.9465276002883911,0.8871275901794433,0.8871275901794433,0.641436767578125,0.6431533813476562,0.007572174072265625,3,0.011907913313567697
A000477213,808,562,0.7890625,0.548828125,True,True,0.9407496452331543,0.8954423069953918,0.9417059898376465,0.8963525772094727,0.6622230529785156,0.6281715393066406,0.0094390869140625,4,0.0
A001093486,554,530,0.541015625,0.517578125,True,True,0.9640011787414551,0.9549548029899597,0.9053481101989747,0.8968522071838378,0.5994216918945312,0.5984535217285156,0.01050262451171875,6,0.011706265034016023
A001393665,544,480,0.53125,0.46875,True,True,0.9426586627960205,0.9343906044960022,0.9049581527709961,0.8970208168029785,0.6518440246582031,0.6463233947753906,0.0089447021484375,4,0.009237380342678785
A001560256,786,706,0.767578125,0.689453125,True,True,0.9595840573310852,0.9273024797439575,0.9273321151733398,0.8961355209350585,0.6462577819824219,0.6307861328125,0.00968017578125,5,0.01198309259817614
A001604824,716,454,0.69921875,0.443359375,True,True,0.9357771873474121,0.8784846663475037,0.9559819221496582,0.8974523544311523,0.6102088928222656,0.5677978515625,0.010382080078125,6,0.0017505475660495977
A001613504,728,542,0.7109375,0.529296875,True,True,0.9497018456459045,0.8965972065925598,0.9513601303100586,0.8981627464294434,0.6757278442382812,0.6348960876464844,0.008994293212890626,4,0.009950041491346493
A001627943,776,628,0.7578125,0.61328125,True,True,0.9595962166786194,0.9080638885498047,0.948084545135498,0.8971704483032227,0.6619499206542969,0.6301925659179688,0.009972381591796874,5,0.0012621217233489063
A001636890,198,210,0.193359375,0.205078125,True,True,0.9436662197113037,0.9387449026107788,0.9008636474609375,0.8961654663085937,0.5483024597167969,0.5481376647949219,0.010166168212890625,5,0.09062178491206442
A001647049,620,326,0.60546875,0.318359375,True,True,0.9303810000419617,0.873418927192688,0.9556645393371582,0.897154426574707,0.6134414672851562,0.5652778625488282,0.01016693115234375,5,0.004784916290686337
A001670882,342,342,0.333984375,0.333984375,True,True,0.9466274380683899,0.9466274380683899,0.8529388427734375,0.8529388427734375,0.5606071472167968,0.5644256591796875,0.00957794189453125,6,0.026093183651145328
A001698538,680,502,0.6640625,0.490234375,True,True,0.962158739566803,0.9173945784568787,0.9408801078796387,0.8971060752868653,0.6392532348632812,0.6073753356933593,0.01008453369140625,5,0.005342803248588699
A001758297,442,292,0.431640625,0.28515625,True,True,0.9487478733062744,0.9299619793891907,0.9146269798278809,0.8965167045593262,0.6248275756835937,0.6062942504882812,0.00929412841796875,4,0.011625636648648045
A001813366,776,776,0.7578125,0.7578125,True,True,0.9446551203727722,0.9446551203727722,0.8853298187255859,0.8853298187255859,0.7055351257324218,0.7068130493164062,0.008155059814453126,3,0.001547396444950216
A001866164,704,562,0.6875,0.548828125,True,True,0.9556260704994202,0.9031987190246582,0.9496533393859863,0.8975537300109864,0.6798973083496094,0.6415214538574219,0.008077239990234375,4,0.017858800147587776
A001906652,662,496,0.646484375,0.484375,True,True,0.9323204159736633,0.8752394914627075,0.9564144134521484,0.8978584289550782,0.6446624755859375,0.601910400390625,0.009217071533203124,4,0.01877773780253852
A001923658,522,208,0.509765625,0.203125,True,True,0.9497643113136292,0.9068478345870972,0.9415080070495605,0.8989645957946777,0.6290451049804687,0.5897933959960937,0.009304046630859375,5,0.03684615149459983
A001970601,672,450,0.65625,0.439453125,True,True,0.9234053492546082,0.8668703436851501,0.9567296981811524,0.898154354095459,0.6132164001464844,0.5714012145996094,0.010071563720703124,5,0.01650269981605649
A002012347,434,0,0.423828125,0.0,True,False,0.9350433349609375,0.8777958154678345,0.9582119941711426,0.899545955657959,0.5640907287597656,0.5060317993164063,0.011228179931640625,6,0.025148188375796954
A002081031,490,372,0.478515625,0.36328125,True,True,0.9502474069595337,0.9247304201126099,0.9221468925476074,0.8973844528198243,0.6257987976074219,0.6026473999023437,0.0094696044921875,4,0.02951990521590637
A002145202-1,748,604,0.73046875,0.58984375,True,True,0.9406344890594482,0.9038252234458923,0.9350051879882812,0.8984162330627441,0.6211532592773438,0.6005668640136719,0.008586883544921875,4,0.017030305618020172
A002337238,758,758,0.740234375,0.740234375,True,True,0.9481812119483948,0.9481812119483948,0.8802919387817383,0.8802919387817383,0.6886711120605469,0.6913330078125,0.009685516357421875,4,0.0002712113621870843
A002366013,798,722,0.779296875,0.705078125,True,True,0.9484008550643921,0.9143580198287964,0.9309446334838867,0.8975285530090332,0.6474777221679687,0.6278518676757813,0.009337615966796876,5,0.0014912970919126437
