effect,observation_space,sample_count,max_abs_error,median_relative_error,p95_relative_error,max_relative_error,status
shading,camera_rgb_raw,4032,3.33066907388e-16,0.0,3.66359823029e-16,9.03454002087e-16,PASS
shading,camera_rgb_wb,4032,5.55111512313e-16,0.0,3.39569027393e-16,8.16989852109e-16,PASS
shading,cie_xyz,4032,3.33066907388e-16,0.0,3.64074283703e-16,6.26005620758e-16,PASS
shading,spectral_radiance,4032,3.46944695195e-18,0.0,2.00249136737e-16,2.64151726361e-16,PASS
specular,camera_rgb_raw,4032,3.74700270811e-16,1.98925409798e-15,8.48612180313e-15,3.15258033843e-14,PASS
specular,camera_rgb_wb,4032,4.05925293379e-16,2.77555756156e-15,1.11022302463e-14,3.66026653431e-14,PASS
specular,cie_xyz,4032,1.87350135405e-16,2.22889861095e-15,7.9042465894e-15,1.66533453694e-14,PASS
specular,spectral_radiance,4032,3.5778671692e-18,1.54371612209e-15,5.55915204715e-15,7.92179166719e-15,PASS
exposure,camera_rgb_raw,4032,3.88578058619e-16,0.0,3.93619529335e-16,9.17492012112e-16,PASS
exposure,camera_rgb_wb,4032,4.4408920985e-16,0.0,3.48786809314e-16,8.37494285861e-16,PASS
exposure,cie_xyz,4032,3.33066907388e-16,0.0,4.23898934459e-16,6.76274236071e-16,PASS
exposure,spectral_radiance,4032,3.46944695195e-18,0.0,1.90594519852e-16,2.6978292302e-16,PASS
