camera_name,illuminant_name,camera_light_qualified,m,h,observation_space,sigma_max,sigma_min,sigma_ratio,condition_number,numerical_rank,finite,status
Canon 1DMarkIII,D65,True,0.2,0.2,camera_rgb_wb,1.47557121392,0.0281863258344,0.0191019759456,52.3506051335,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.2,linear_srgb_unclipped,1.43898379742,0.0542510027144,0.0377009128329,26.5245566979,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.2,chromaticity,0.514553186809,0.0273220849541,0.0530986604583,18.8328668062,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.35,camera_rgb_wb,1.40755647273,0.0238571047184,0.016949305538,58.9994674269,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.35,linear_srgb_unclipped,1.37848603145,0.0454887328676,0.0329990524603,30.3039004287,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.35,chromaticity,0.514547359861,0.0239476469993,0.0465411910884,21.4863430998,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.5,camera_rgb_wb,1.34958618522,0.0206543190433,0.0153041867719,65.3415967084,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.5,linear_srgb_unclipped,1.32701674421,0.0390549391562,0.0294306302663,33.9782053918,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.5,chromaticity,0.514677530018,0.0213913964055,0.0415627167652,24.0600248932,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.65,camera_rgb_wb,1.29906910851,0.0181812984986,0.0139956360901,71.4508432173,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.65,linear_srgb_unclipped,1.28223248485,0.0341208556959,0.0266105063622,37.5791421024,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.65,chromaticity,0.514869001442,0.0193726396809,0.0376263469479,26.5771216479,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.8,camera_rgb_wb,1.25432705414,0.0162099805207,0.012923248739,77.3799235934,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.8,linear_srgb_unclipped,1.24261689519,0.0302122166326,0.0243133798917,41.1296168798,2,True,PASS
Canon 1DMarkIII,D65,True,0.2,0.8,chromaticity,0.515083699602,0.0177281882078,0.0344180726773,29.0545031204,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.2,camera_rgb_wb,0.945138847515,0.0184988657681,0.0195726435505,51.0917187768,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.2,linear_srgb_unclipped,0.956191282467,0.0379788219259,0.0397188539806,25.1769600525,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.2,chromaticity,0.465147718957,0.0282540890328,0.0607421855065,16.4630230483,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.35,camera_rgb_wb,0.904451582359,0.0155288880122,0.0171693966986,58.2431647165,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.35,linear_srgb_unclipped,0.921305371333,0.031626652595,0.0343280887956,29.1306634038,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.35,chromaticity,0.46500486144,0.0245977474025,0.0528978284794,18.904367698,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.5,camera_rgb_wb,0.869670555012,0.0133503920681,0.0153510912738,65.141948684,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.5,linear_srgb_unclipped,0.891470683506,0.026992943091,0.0302791147151,33.0260646459,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.5,chromaticity,0.464936083309,0.0218471703494,0.0469896210118,21.2812952832,2,True,PASS
Canon 1DMarkIII,D65,True,0.35,0.65,camera_rgb_wb,0.839281708354,0.0116800595242,0.0139167330921,71.8559444508,2,True,PASS
