effect,observation_space,m,h,camera_name,illuminant_name,max_abs_error,relative_error
shading,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,8.67361737988e-19,1.29734403476e-16
shading,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,3.33066907388e-16,6.26005620758e-16
shading,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,1.11022302463e-16,2.68768481448e-16
shading,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,1.66533453694e-16,2.52543288991e-16
shading,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 20D,D65,8.67361737988e-19,1.29734403476e-16
shading,cie_xyz,0.2,0.2,Canon 20D,D65,3.33066907388e-16,6.26005620758e-16
shading,camera_rgb_raw,0.2,0.2,Canon 20D,D65,1.11022302463e-16,2.68246211042e-16
shading,camera_rgb_wb,0.2,0.2,Canon 20D,D65,1.11022302463e-16,1.68720665322e-16
shading,spectral_radiance,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 20D,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 300D,D65,8.67361737988e-19,1.29734403476e-16
shading,cie_xyz,0.2,0.2,Canon 300D,D65,3.33066907388e-16,6.26005620758e-16
shading,camera_rgb_raw,0.2,0.2,Canon 300D,D65,1.66533453694e-16,3.90143456377e-16
shading,camera_rgb_wb,0.2,0.2,Canon 300D,D65,3.33066907388e-16,4.98823330236e-16
shading,spectral_radiance,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 300D,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 40D,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 40D,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 40D,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 40D,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 40D,D65,0.0,0.0
shading,cie_xyz,0.2,0.2,Canon 40D,D65,0.0,0.0
shading,camera_rgb_raw,0.2,0.2,Canon 40D,D65,0.0,0.0
shading,camera_rgb_wb,0.2,0.2,Canon 40D,D65,0.0,0.0
shading,spectral_radiance,0.2,0.2,Canon 40D,D65,8.67361737988e-19,1.29734403476e-16
shading,cie_xyz,0.2,0.2,Canon 40D,D65,3.33066907388e-16,6.26005620758e-16
shading,camera_rgb_raw,0.2,0.2,Canon 40D,D65,1.11022302463e-16,2.50239397712e-16
shading,camera_rgb_wb,0.2,0.2,Canon 40D,D65,2.22044604925e-16,3.34360211121e-16
shading,spectral_radiance,0.2,0.2,Canon 40D,D65,0.0,0.0
