m,h,shading,specular,illuminant_name,deltae00
0.0,0.0,0.5,0.0,D65,0.0563297877714
0.0,0.0,0.5,0.0,A,0.0322960997052
0.0,0.0,0.5,0.0,FL2,0.0329694727821
0.0,0.0,0.5,0.0,FL11,0.107091535683
0.0,0.0,0.5,0.03,D65,0.0529733467417
0.0,0.0,0.5,0.03,A,0.0304418430671
0.0,0.0,0.5,0.03,FL2,0.0310395859178
0.0,0.0,0.5,0.03,FL11,0.101303086707
0.0,0.0,0.5,0.1,D65,0.0467847177969
0.0,0.0,0.5,0.1,A,0.0270295347763
0.0,0.0,0.5,0.1,FL2,0.0274620440641
0.0,0.0,0.5,0.1,FL11,0.0904011040616
0.0,0.0,1.0,0.0,D65,0.0691034210166
0.0,0.0,1.0,0.0,A,0.0391814822042
0.0,0.0,1.0,0.0,FL2,0.0398747469624
0.0,0.0,1.0,0.0,FL11,0.127930369669
0.0,0.0,1.0,0.03,D65,0.0670519238845
0.0,0.0,1.0,0.03,A,0.0380500975573
0.0,0.0,1.0,0.03,FL2,0.0387515329627
0.0,0.0,1.0,0.03,FL11,0.124685931745
0.0,0.0,1.0,0.1,D65,0.0628025690478
0.0,0.0,1.0,0.1,A,0.0357202683695
0.0,0.0,1.0,0.1,FL2,0.036399367387
0.0,0.0,1.0,0.1,FL11,0.117802332211
0.0,0.0,1.5,0.0,D65,0.0775134259233
0.0,0.0,1.5,0.0,A,0.0437163622998
0.0,0.0,1.5,0.0,FL2,0.0442080304112
0.0,0.0,1.5,0.0,FL11,0.140567679569
0.0,0.0,1.5,0.03,D65,0.0760188170283
0.0,0.0,1.5,0.03,A,0.042883016479
0.0,0.0,1.5,0.03,FL2,0.0434302668229
0.0,0.0,1.5,0.03,FL11,0.138392558081
0.0,0.0,1.5,0.1,D65,0.0727873192954
0.0,0.0,1.5,0.1,A,0.0410956666116
0.0,0.0,1.5,0.1,FL2,0.0417243342655
0.0,0.0,1.5,0.1,FL11,0.13356598191
0.0,0.1,0.5,0.0,D65,0.0604000031093
0.0,0.1,0.5,0.0,A,0.0332118315797
0.0,0.1,0.5,0.0,FL2,0.035116164364
0.0,0.1,0.5,0.0,FL11,0.11239819232
0.0,0.1,0.5,0.03,D65,0.0566784841664
0.0,0.1,0.5,0.03,A,0.0312854868334
0.0,0.1,0.5,0.03,FL2,0.0329732046267
0.0,0.1,0.5,0.03,FL11,0.106289975689
0.0,0.1,0.5,0.1,D65,0.0498728624788
0.0,0.1,0.5,0.1,A,0.0277665535228
0.0,0.1,0.5,0.1,FL2,0.0290314977695
0.0,0.1,0.5,0.1,FL11,0.0948171059233
0.0,0.1,1.0,0.0,D65,0.0739445212162
0.0,0.1,1.0,0.0,A,0.0400125547071
0.0,0.1,1.0,0.0,FL2,0.0424523198901
0.0,0.1,1.0,0.0,FL11,0.132974022769
0.0,0.1,1.0,0.03,D65,0.0716807068638
0.0,0.1,1.0,0.03,A,0.0388438563753
0.0,0.1,1.0,0.03,FL2,0.0412152367699
0.0,0.1,1.0,0.03,FL11,0.129639155498
0.0,0.1,1.0,0.1,D65,0.0670088931222
0.0,0.1,1.0,0.1,A,0.0364504199362
0.0,0.1,1.0,0.1,FL2,0.0386277937826
0.0,0.1,1.0,0.1,FL11,0.122549113685
0.0,0.1,1.5,0.0,D65,0.0827921876189
0.0,0.1,1.5,0.0,A,0.0444698384446
0.0,0.1,1.5,0.0,FL2,0.0469980953263
0.0,0.1,1.5,0.0,FL11,0.145129804983
0.0,0.1,1.5,0.03,D65,0.0811528525487
0.0,0.1,1.5,0.03,A,0.0436092591152
0.0,0.1,1.5,0.03,FL2,0.0461525716784
0.0,0.1,1.5,0.03,FL11,0.142937764387
0.0,0.1,1.5,0.1,D65,0.0776145570211
0.0,0.1,1.5,0.1,A,0.0417725317427
0.0,0.1,1.5,0.1,FL2,0.0442944842674
0.0,0.1,1.5,0.1,FL11,0.138063549915
0.0,0.2,0.5,0.0,D65,0.0632803608424
0.0,0.2,0.5,0.0,A,0.0336379898448
0.0,0.2,0.5,0.0,FL2,0.036589494958
0.0,0.2,0.5,0.0,FL11,0.115747335106
0.0,0.2,0.5,0.03,D65,0.0592733353736
0.0,0.2,0.5,0.03,A,0.0316680096175
0.0,0.2,0.5,0.03,FL2,0.0342801016758
0.0,0.2,0.5,0.03,FL11,0.109433924767
0.0,0.2,0.5,0.1,D65,0.0520000552804
0.0,0.2,0.5,0.1,A,0.0280968679057
0.0,0.2,0.5,0.1,FL2,0.0300612598021
0.0,0.2,0.5,0.1,FL11,0.0976050489978
0.0,0.2,1.0,0.0,D65,0.0772640604214
0.0,0.2,1.0,0.0,A,0.0402909848552
0.0,0.2,1.0,0.0,FL2,0.0441710777502
