effect,observation_space,m,h,camera_name,illuminant_name,max_abs_error,relative_error
specular,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,7.72494047896e-19,6.92818550783e-15
specular,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,6.24500451352e-17,5.75318872969e-15
specular,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,1.78676518026e-16,1.96399524176e-14
specular,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,2.11636264069e-16,2.11636264069e-14
specular,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,8.94466792301e-19,4.01105476769e-15
specular,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,8.32667268469e-17,3.83545915312e-15
specular,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,2.01227923213e-16,1.10593906818e-14
specular,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,2.46330733589e-16,1.23165366794e-14
specular,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,7.86046575052e-19,3.524866311e-15
specular,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,1.56125112838e-16,7.19148591211e-15
specular,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,7.97972798949e-17,4.38562044277e-15
specular,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,9.36750677027e-17,4.68375338514e-15
specular,spectral_radiance,0.2,0.2,Canon 1DMarkIII,D65,8.67361737988e-19,1.55580306141e-15
specular,cie_xyz,0.2,0.2,Canon 1DMarkIII,D65,1.87350135405e-16,3.45191323781e-15
specular,camera_rgb_raw,0.2,0.2,Canon 1DMarkIII,D65,5.55111512313e-17,1.22034655799e-15
specular,camera_rgb_wb,0.2,0.2,Canon 1DMarkIII,D65,1.11022302463e-16,2.22044604925e-15
specular,spectral_radiance,0.2,0.2,Canon 20D,D65,7.72494047896e-19,6.92818550783e-15
specular,cie_xyz,0.2,0.2,Canon 20D,D65,6.24500451352e-17,5.75318872969e-15
specular,camera_rgb_raw,0.2,0.2,Canon 20D,D65,1.00613961607e-16,1.11750364152e-14
specular,camera_rgb_wb,0.2,0.2,Canon 20D,D65,1.00613961607e-16,1.00613961607e-14
specular,spectral_radiance,0.2,0.2,Canon 20D,D65,8.94466792301e-19,4.01105476769e-15
specular,cie_xyz,0.2,0.2,Canon 20D,D65,8.32667268469e-17,3.83545915312e-15
specular,camera_rgb_raw,0.2,0.2,Canon 20D,D65,1.35308431126e-16,7.514248624e-15
specular,camera_rgb_wb,0.2,0.2,Canon 20D,D65,1.90819582357e-16,9.54097911787e-15
specular,spectral_radiance,0.2,0.2,Canon 20D,D65,7.86046575052e-19,3.524866311e-15
specular,cie_xyz,0.2,0.2,Canon 20D,D65,1.56125112838e-16,7.19148591211e-15
specular,camera_rgb_raw,0.2,0.2,Canon 20D,D65,9.36750677027e-17,5.20217212431e-15
specular,camera_rgb_wb,0.2,0.2,Canon 20D,D65,1.49186218934e-16,7.4593109467e-15
specular,spectral_radiance,0.2,0.2,Canon 20D,D65,8.67361737988e-19,1.55580306141e-15
specular,cie_xyz,0.2,0.2,Canon 20D,D65,1.87350135405e-16,3.45191323781e-15
specular,camera_rgb_raw,0.2,0.2,Canon 20D,D65,5.55111512313e-17,1.2331074665e-15
specular,camera_rgb_wb,0.2,0.2,Canon 20D,D65,5.55111512313e-17,1.11022302463e-15
specular,spectral_radiance,0.2,0.2,Canon 300D,D65,7.72494047896e-19,6.92818550783e-15
specular,cie_xyz,0.2,0.2,Canon 300D,D65,6.24500451352e-17,5.75318872969e-15
specular,camera_rgb_raw,0.2,0.2,Canon 300D,D65,4.16333634234e-17,4.3026618347e-15
specular,camera_rgb_wb,0.2,0.2,Canon 300D,D65,6.24500451352e-17,6.24500451352e-15
