sample_id,split,camera_light_pair,low_clip_fraction,high_clip_fraction,total_clip_fraction,per_channel_clip_fraction
train_000000,train,Canon 60D / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000001,train,Canon 40D / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000002,train,Point Grey Grasshopper2 14S5C / A,0.0,0.004353841145833333,0.004353841145833333,"[0.0130615234375, 0.0, 0.0]"
train_000003,train,Canon 50D / A,0.0,0.004831949869791667,0.004831949869791667,"[0.014495849609375, 0.0, 0.0]"
train_000004,train,Nikon D3 / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000005,train,Nikon D200 / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000006,train,Canon 500D / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000007,train,Phase One / FL2,0.008122762044270834,0.0,0.008122762044270834,"[0.0, 0.0, 0.0243682861328125]"
train_000008,train,Nikon D90 / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000009,train,Nikon D3 / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000010,train,Canon 50D / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000011,train,Canon 300D / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000012,train,Pentax K-5 / D65,0.0,0.0034535725911458335,0.0034535725911458335,"[0.0103607177734375, 0.0, 0.0]"
train_000013,train,Canon 20D / FL2,0.0,0.017695109049479168,0.017695109049479168,"[0.0530853271484375, 0.0, 0.0]"
train_000014,train,Canon 300D / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000015,train,Canon 300D / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000016,train,Point Grey Grasshopper2 14S5C / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000017,train,Pentax Q / D65,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000018,train,Nikon D5100 / D65,0.0,0.00103759765625,0.00103759765625,"[0.00311279296875, 0.0, 0.0]"
train_000019,train,Nikon D40 / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000020,train,Pentax Q / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000021,train,Nikon D50 / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000022,train,Nikon D3X / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
train_000023,train,Nikon D5100 / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
validation_000000,validation,Canon 20D / A,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
validation_000001,validation,Nikon D3 / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
validation_000002,validation,SONY NEX-5N / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
validation_000003,validation,Nikon D3X / FL2,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
