split,camera_light_pair,count
camera_ood,Canon 600D / A,1
camera_ood,Canon 600D / D65,1
camera_ood,Canon 600D / FL2,1
camera_ood,Nikon D700 / A,1
camera_ood,Nikon D700 / D65,1
camera_ood,Nikon D700 / FL2,1
camera_ood,Olympus E-PL2 / A,1
camera_ood,Olympus E-PL2 / FL2,1
id_test,Nikon D3X / A,1
id_test,Nikon D40 / D65,1
id_test,Nikon D50 / D65,1
id_test,Nikon D80 / A,1
id_test,Nikon D80 / D65,1
id_test,Nokia N900 / D65,1
id_test,Pentax K-5 / D65,1
id_test,Phase One / FL2,1
joint_ood,Canon 600D / FL11,2
joint_ood,Nikon D700 / FL11,3
joint_ood,Olympus E-PL2 / FL11,3
light_ood,Canon 1DMarkIII / FL11,1
light_ood,Nikon D200 / FL11,1
light_ood,Nikon D3 / FL11,1
light_ood,Nikon D40 / FL11,1
light_ood,Nikon D90 / FL11,1
light_ood,Pentax K-5 / FL11,1
light_ood,Point Grey Grasshopper 50S5C / FL11,1
light_ood,SONY NEX-5N / FL11,1
train,Canon 20D / FL2,1
train,Canon 300D / A,1
train,Canon 300D / D65,1
train,Canon 300D / FL2,1
train,Canon 40D / D65,1
train,Canon 500D / A,1
train,Canon 50D / A,1
train,Canon 50D / D65,1
train,Canon 60D / FL2,1
train,Nikon D200 / D65,1
train,Nikon D3 / D65,1
train,Nikon D3 / FL2,1
train,Nikon D3X / A,1
train,Nikon D40 / FL2,1
train,Nikon D50 / FL2,1
train,Nikon D5100 / D65,1
train,Nikon D5100 / FL2,1
train,Nikon D90 / A,1
train,Pentax K-5 / D65,1
train,Pentax Q / A,1
train,Pentax Q / D65,1
train,Phase One / FL2,1
train,Point Grey Grasshopper2 14S5C / A,1
train,Point Grey Grasshopper2 14S5C / D65,1
validation,Canon 20D / A,1
validation,Canon 500D / A,1
validation,Canon 5DMarkII / A,1
validation,Nikon D3 / FL2,1
validation,Nikon D3X / FL2,1
validation,Nikon D5100 / A,1
validation,Pentax K-5 / FL2,1
validation,SONY NEX-5N / FL2,1
