sample_id,split,base_latent_id,acquisition_variant_id,m_seed,h_seed,s_seed,p_seed,mask_seed,acquisition_seed,camera_light_seed,camera_name,light_name,exposure,same_context_rgb_exact,independent_target_exact,independent_mask_exact,independent_rgb_float32_allclose,independent_rgb_max_abs_float32,independent_rgb_max_abs_float16,independent_rgb_mean_abs,independent_rgb_p95_abs,independent_rgb_max_ulp,independent_rgb_mismatch_count,independent_rgb_mismatch_fraction,independent_rgb_channel_errors,independent_rgb_systematic_bias,status,failure_reason
train_000000,train,0,0,12394173889755605833,9190320882891586670,10699472628800452688,9781858326042053240,15626002630714043735,11707821778505400989,15637505940595579206,Canon 60D,FL2,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000001,train,0,1,12394173889755605833,9190320882891586670,5034613329582300447,13000283674916939597,15626002630714043735,4189292328653237532,10027861652540298812,Canon 40D,D65,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000002,train,1,0,16827162656828497126,8940383630051904266,6319290821388548876,4827486411240632873,15848551734495507789,13954143195077775724,10220828257884073968,Point Grey Grasshopper2 14S5C,A,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000003,train,1,1,16827162656828497126,8940383630051904266,18122137443816519819,14908305824911981507,15848551734495507789,14317117080806209986,17779099281854481792,Canon 50D,A,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000004,train,2,0,18443659446333266533,420698830304689572,11840244405330597730,3568804646667542431,10364168633807956890,3519600702060180009,12761158983981330279,Nikon D3,FL2,1.0,True,True,True,True,4.76837158203125e-07,0.00048828125,2.3438284202370596e-08,0.0,1,31,0.00015767415364583334,"[{""channel"": ""R"", ""max_abs_error"": 0.00048828125, ""mean_abs_error"": 2.60770320892334e-08, ""mean_signed_error"": 3.725290298461914e-09, ""negative_fraction"": 4.57763671875e-05, ""p95_abs_error"": 0.0, ""positive_fraction"": 4.57763671875e-05}, {""channel"": ""G"", ""max_abs_error"": 0.000244140625, ""mean_abs_error"": 3.3527612686157227e-08, ""mean_signed_error"": -7.450580596923828e-09, ""negative_fraction"": 0.0001373291015625, ""p95_abs_error"": 0.0, ""positive_fraction"": 6.103515625e-05}, {""channel"": ""B"", ""max_abs_error"": 0.0001220703125, ""mean_abs_error"": 1.0710209608078003e-08, ""mean_signed_error"": -4.190951585769653e-09, ""negative_fraction"": 0.0001068115234375, ""p95_abs_error"": 0.0, ""positive_fraction"": 7.62939453125e-05}]",none_detected,PASS,
train_000005,train,2,1,18443659446333266533,420698830304689572,17349017849165082530,6202141675796473070,10364168633807956890,12168016267843254609,2161068478461239714,Nikon D200,D65,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000006,train,3,0,11925721468734520942,9519670376874548523,4261008846184491540,17513825124397147179,15794046824432401351,17549777193222062409,5406752092143027110,Canon 500D,A,1.0,True,True,True,True,4.172325134277344e-07,0.000244140625,9.613965623600507e-09,0.0,1,50,0.0002543131510416667,"[{""channel"": ""R"", ""max_abs_error"": 0.000244140625, ""mean_abs_error"": 1.1175870895385742e-08, ""mean_signed_error"": -7.450580596923828e-09, ""negative_fraction"": 6.103515625e-05, ""p95_abs_error"": 0.0, ""positive_fraction"": 1.52587890625e-05}, {""channel"": ""G"", ""max_abs_error"": 0.0001220703125, ""mean_abs_error"": 8.847564458847046e-09, ""mean_signed_error"": -2.3283064365386963e-09, ""negative_fraction"": 0.0001220703125, ""p95_abs_error"": 0.0, ""positive_fraction"": 6.103515625e-05}, {""channel"": ""B"", ""max_abs_error"": 0.0001220703125, ""mean_abs_error"": 8.818460628390312e-09, ""mean_signed_error"": 6.693881005048752e-10, ""negative_fraction"": 0.000274658203125, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0002288818359375}]",none_detected,PASS,
train_000007,train,3,1,11925721468734520942,9519670376874548523,6928226243608062808,57478105568465336,15794046824432401351,12814073383977751617,7145326985164436468,Phase One,FL2,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000008,train,4,0,15804168601460789947,6504994333774528332,14531361225309603465,15410360086947854812,992052423000088592,8965833964974668727,6881437882044214542,Nikon D90,A,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000009,train,4,1,15804168601460789947,6504994333774528332,11217274656621796201,11656756044521085342,992052423000088592,17945637829869673233,6148877952858066899,Nikon D3,D65,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000010,train,5,0,2964869234324524019,376470807879175977,3258936314814063204,7639623588085660484,17926620570729186927,1256082222140991042,13390336434320685888,Canon 50D,D65,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000011,train,5,1,2964869234324524019,376470807879175977,11674441615733113622,11306055987397548087,17926620570729186927,2037153364688125939,45858761083125795,Canon 300D,D65,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000012,train,6,0,6082257432776969852,11840226791948932045,10404848701035865942,3777475815782247777,11992989165307940150,6803274006180383697,9921838752032937855,Pentax K-5,D65,1.0,True,True,True,True,8.344650268554688e-07,0.00048828125,1.8316010041985464e-08,0.0,1,21,0.0001068115234375,"[{""channel"": ""R"", ""max_abs_error"": 0.00048828125, ""mean_abs_error"": 1.1175870895385742e-08, ""mean_signed_error"": 3.725290298461914e-09, ""negative_fraction"": 1.52587890625e-05, ""p95_abs_error"": 0.0, ""positive_fraction"": 1.52587890625e-05}, {""channel"": ""G"", ""max_abs_error"": 0.000244140625, ""mean_abs_error"": 2.7008354663848877e-08, ""mean_signed_error"": -2.7008354663848877e-08, ""negative_fraction"": 0.0001678466796875, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.000244140625, ""mean_abs_error"": 1.6763806343078613e-08, ""mean_signed_error"": 5.587935447692871e-09, ""negative_fraction"": 4.57763671875e-05, ""p95_abs_error"": 0.0, ""positive_fraction"": 7.62939453125e-05}]",none_detected,PASS,
train_000013,train,6,1,6082257432776969852,11840226791948932045,3159285624532064552,9246067152865106742,11992989165307940150,3661408890473308617,8694572435796376642,Canon 20D,FL2,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000014,train,7,0,3924251537878556761,6561916178325505313,2283686614493546235,2800606361532838040,3981545576617752968,13056843356702537751,3990039453170456755,Canon 300D,FL2,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000015,train,7,1,3924251537878556761,6561916178325505313,15485519740614622286,12945253132038375394,3981545576617752968,16316721250082946620,8245994194456378100,Canon 300D,A,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000016,train,8,0,17072274067870794022,15313436544329040891,17739951378454500582,367817832295159095,7174014361765497219,18432522127515986162,16870141146297734863,Point Grey Grasshopper2 14S5C,D65,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000017,train,8,1,17072274067870794022,15313436544329040891,14990456338999026178,17568479715039154410,7174014361765497219,16486731293254493029,16113252238573175177,Pentax Q,D65,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000018,train,9,0,8414462188008002917,14246931600414488394,6992680907163559868,10918325725559722996,15135527726364340787,5558049724289666855,10402388606507050589,Nikon D5100,D65,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000019,train,9,1,8414462188008002917,14246931600414488394,15172480870906364292,3347900150306172687,15135527726364340787,7955481193130184880,11423771680925129732,Nikon D40,FL2,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000020,train,10,0,722327903830178985,3127627816484221673,5558853611977127042,11676735773032285899,8423460020665891883,10498681492338512076,3385127535690040220,Pentax Q,A,1.0,True,True,True,True,4.172325134277344e-07,0.00048828125,1.7889155046191263e-08,0.0,1,48,0.000244140625,"[{""channel"": ""R"", ""max_abs_error"": 0.00048828125, ""mean_abs_error"": 2.7939677238464355e-08, ""mean_signed_error"": 1.30385160446167e-08, ""negative_fraction"": 3.0517578125e-05, ""p95_abs_error"": 0.0, ""positive_fraction"": 7.62939453125e-05}, {""channel"": ""G"", ""max_abs_error"": 0.0001220703125, ""mean_abs_error"": 1.7229467630386353e-08, ""mean_signed_error"": 5.122274160385132e-09, ""negative_fraction"": 0.0001068115234375, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.000152587890625}, {""channel"": ""B"", ""max_abs_error"": 3.0517578125e-05, ""mean_abs_error"": 8.498318493366241e-09, ""mean_signed_error"": -1.0477378964424133e-09, ""negative_fraction"": 0.000213623046875, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.000152587890625}]",none_detected,PASS,
train_000021,train,10,1,722327903830178985,3127627816484221673,15848590896207480544,7797252983209876846,8423460020665891883,6802954284956002507,13679941157706345874,Nikon D50,FL2,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
train_000022,train,11,0,235195014007053179,9036211335251018969,6082592296235852828,13648822244252042225,8939969855625676012,13565939320422305045,1028270645520280612,Nikon D3X,A,1.0,True,True,True,True,3.5762786865234375e-07,0.000244140625,8.808759055511928e-09,0.0,1,18,9.1552734375e-05,"[{""channel"": ""R"", ""max_abs_error"": 0.000244140625, ""mean_abs_error"": 7.450580596923828e-09, ""mean_signed_error"": 0.0, ""negative_fraction"": 1.52587890625e-05, ""p95_abs_error"": 0.0, ""positive_fraction"": 1.52587890625e-05}, {""channel"": ""G"", ""max_abs_error"": 0.000244140625, ""mean_abs_error"": 1.6763806343078613e-08, ""mean_signed_error"": 1.862645149230957e-09, ""negative_fraction"": 7.62939453125e-05, ""p95_abs_error"": 0.0, ""positive_fraction"": 9.1552734375e-05}, {""channel"": ""B"", ""max_abs_error"": 6.103515625e-05, ""mean_abs_error"": 2.2118911147117615e-09, ""mean_signed_error"": 1.1641532182693481e-10, ""negative_fraction"": 3.0517578125e-05, ""p95_abs_error"": 0.0, ""positive_fraction"": 4.57763671875e-05}]",none_detected,PASS,
train_000023,train,11,1,235195014007053179,9036211335251018969,13235189672172199405,17837603286982698960,8939969855625676012,16059049848557302608,18442942084638068378,Nikon D5100,FL2,1.0,True,True,True,True,0.0,0.0,0.0,0.0,0,0,0.0,"[{""channel"": ""R"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""G"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}, {""channel"": ""B"", ""max_abs_error"": 0.0, ""mean_abs_error"": 0.0, ""mean_signed_error"": 0.0, ""negative_fraction"": 0.0, ""p95_abs_error"": 0.0, ""positive_fraction"": 0.0}]",none_detected,PASS,
