sample_id,split,split_index,camera_light_pair,same_context_rgb_exact,same_context_rgb_float32_exact,same_context_rgb_float16_exact,same_context_target_exact,same_context_mask_exact,same_context_rgb_max_abs_float32,same_context_rgb_max_abs_float16,status,failure_reason
train_000000,train,0,Canon 60D / FL2,True,True,True,True,True,0.0,0.0,PASS,
train_000001,train,1,Canon 40D / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000002,train,2,Point Grey Grasshopper2 14S5C / A,True,True,True,True,True,0.0,0.0,PASS,
train_000003,train,3,Canon 50D / A,True,True,True,True,True,0.0,0.0,PASS,
train_000004,train,4,Nikon D3 / FL2,True,True,True,True,True,0.0,0.0,PASS,
validation_000001,validation,1,Nikon D3 / FL2,True,True,True,True,True,0.0,0.0,PASS,
train_000005,train,5,Nikon D200 / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000006,train,6,Canon 500D / A,True,True,True,True,True,0.0,0.0,PASS,
validation_000006,validation,6,Canon 500D / A,True,True,True,True,True,0.0,0.0,PASS,
train_000007,train,7,Phase One / FL2,True,True,True,True,True,0.0,0.0,PASS,
train_000008,train,8,Nikon D90 / A,True,True,True,True,True,0.0,0.0,PASS,
train_000009,train,9,Nikon D3 / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000010,train,10,Canon 50D / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000011,train,11,Canon 300D / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000012,train,12,Pentax K-5 / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000013,train,13,Canon 20D / FL2,True,True,True,True,True,0.0,0.0,PASS,
train_000015,train,15,Canon 300D / A,True,True,True,True,True,0.0,0.0,PASS,
train_000016,train,16,Point Grey Grasshopper2 14S5C / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000017,train,17,Pentax Q / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000018,train,18,Nikon D5100 / D65,True,True,True,True,True,0.0,0.0,PASS,
train_000019,train,19,Nikon D40 / FL2,True,True,True,True,True,0.0,0.0,PASS,
train_000020,train,20,Pentax Q / A,True,True,True,True,True,0.0,0.0,PASS,
train_000021,train,21,Nikon D50 / FL2,True,True,True,True,True,0.0,0.0,PASS,
train_000022,train,22,Nikon D3X / A,True,True,True,True,True,0.0,0.0,PASS,
train_000023,train,23,Nikon D5100 / FL2,True,True,True,True,True,0.0,0.0,PASS,
validation_000000,validation,0,Canon 20D / A,True,True,True,True,True,0.0,0.0,PASS,
validation_000002,validation,2,SONY NEX-5N / FL2,True,True,True,True,True,0.0,0.0,PASS,
validation_000003,validation,3,Nikon D3X / FL2,True,True,True,True,True,0.0,0.0,PASS,
validation_000004,validation,4,Canon 5DMarkII / A,True,True,True,True,True,0.0,0.0,PASS,
validation_000005,validation,5,Pentax K-5 / FL2,True,True,True,True,True,0.0,0.0,PASS,
validation_000007,validation,7,Nikon D5100 / A,True,True,True,True,True,0.0,0.0,PASS,
train_000014,train,14,Canon 300D / FL2,True,True,True,True,True,0.0,0.0,PASS,
