row_index,sample_id,split,split_index,base_latent_id,acquisition_variant_id,m_base,h_base,m_seed,h_seed,s_seed,p_seed,mask_seed,acquisition_seed,camera_light_seed,camera_name,light_name,camera_light_pair,exposure,valid_mask_type,expected_valid_fraction,so0_version,so0_config_hash,spectral_asset_hash,generator_config_hash,actual_valid_fraction,low_clip_fraction,high_clip_fraction,total_clip_fraction,per_channel_clip_fraction,retry_count,generation_status,rgb_min,rgb_max,rgb_mean,rgb_std,m_mean,m_std,h_mean,h_std,s_mean,s_std,p_mean,p_std,p_nonzero_fraction,p_blob_count
0,train_000000,train,0,0,0,0.7885259389877319,0.7975791692733765,12394173889755605833,9190320882891586670,10699472628800452688,9781858326042053240,15626002630714043735,11707821778505400989,15637505940595579206,Canon 60D,FL2,Canon 60D / FL2,1.0,mixed,0.7017974853515625,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,0.7017974853515625,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,SUCCESS,0.0,0.3339674472808838,0.054446056485176086,0.07011231780052185,0.7864124774932861,0.12998905777931213,0.7784489393234253,0.04985985532402992,0.8935387134552002,0.14167191088199615,0.0007909687701612711,0.004909339360892773,0.110626220703125,1
1,train_000001,train,1,0,1,0.7885259389877319,0.7975791692733765,12394173889755605833,9190320882891586670,5034613329582300447,13000283674916939597,15626002630714043735,4189292328653237532,10027861652540298812,Canon 40D,D65,Canon 40D / D65,1.0,mixed,0.7017974853515625,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,0.7017974853515625,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,SUCCESS,0.0,0.48461487889289856,0.05677907168865204,0.08034764230251312,0.7864124774932861,0.12998905777931213,0.7784489393234253,0.04985985532402992,0.7991487383842468,0.22570288181304932,0.0013734586536884308,0.004870578180998564,0.245697021484375,2
2,train_000002,train,2,1,0,0.2102414071559906,0.33469870686531067,16827162656828497126,8940383630051904266,6319290821388548876,4827486411240632873,15848551734495507789,13954143195077775724,10220828257884073968,Point Grey Grasshopper2 14S5C,A,Point Grey Grasshopper2 14S5C / A,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,1.0,0.0,0.004353841145833333,0.004353841145833333,"[0.0130615234375, 0.0, 0.0]",0,SUCCESS,0.022501014173030853,1.0,0.3424881398677826,0.1999422162771225,0.22113671898841858,0.15550364553928375,0.33469870686531067,0.049616727977991104,0.9292922019958496,0.2076549381017685,0.00047771373647265136,0.0030075679533183575,0.1143646240234375,2
3,train_000003,train,3,1,1,0.2102414071559906,0.33469870686531067,16827162656828497126,8940383630051904266,18122137443816519819,14908305824911981507,15848551734495507789,14317117080806209986,17779099281854481792,Canon 50D,A,Canon 50D / A,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,1.0,0.0,0.004831949869791667,0.004831949869791667,"[0.014495849609375, 0.0, 0.0]",0,SUCCESS,0.023258108645677567,1.0,0.4306521415710449,0.2360077202320099,0.22113671898841858,0.15550364553928375,0.33469870686531067,0.049616727977991104,1.1721627712249756,0.11741238087415695,0.0,0.0,0.0,0
4,train_000004,train,4,2,0,0.31503111124038696,0.5389643907546997,18443659446333266533,420698830304689572,11840244405330597730,3568804646667542431,10364168633807956890,3519600702060180009,12761158983981330279,Nikon D3,FL2,Nikon D3 / FL2,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,1.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,SUCCESS,0.023708438500761986,0.8084633350372314,0.25835439562797546,0.16060954332351685,0.33609437942504883,0.07908382266759872,0.532830536365509,0.07704834640026093,1.144470453262329,0.1770949363708496,0.0,0.0,0.0,0
5,train_000005,train,5,2,1,0.31503111124038696,0.5389643907546997,18443659446333266533,420698830304689572,17349017849165082530,6202141675796473070,10364168633807956890,12168016267843254609,2161068478461239714,Nikon D200,D65,Nikon D200 / D65,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,1.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,SUCCESS,0.04635261371731758,0.7918678522109985,0.2984960973262787,0.18809065222740173,0.33609437942504883,0.07908382266759872,0.532830536365509,0.07704834640026093,1.2428946495056152,0.18440507352352142,0.0002949586196336895,0.0023600198328495026,0.0634765625,1
6,train_000006,train,6,3,0,0.6859886646270752,0.1037696972489357,11925721468734520942,9519670376874548523,4261008846184491540,17513825124397147179,15794046824432401351,17549777193222062409,5406752092143027110,Canon 500D,A,Canon 500D / A,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,1.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,SUCCESS,0.0023609790951013565,0.8080345392227173,0.1460239291191101,0.15232622623443604,0.6947149038314819,0.17215438187122345,0.10416041314601898,0.052221838384866714,0.9596511125564575,0.3085330128669739,0.0003943503834307194,0.0018949087243527174,0.150787353515625,1
7,train_000007,train,7,3,1,0.6859886646270752,0.1037696972489357,11925721468734520942,9519670376874548523,6928226243608062808,57478105568465336,15794046824432401351,12814073383977751617,7145326985164436468,Phase One,FL2,Phase One / FL2,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,1.0,0.008122762044270834,0.0,0.008122762044270834,"[0.0, 0.0, 0.0243682861328125]",0,SUCCESS,0.0,0.5544930100440979,0.12905891239643097,0.10864729434251785,0.6947149038314819,0.17215438187122345,0.10416041314601898,0.052221838384866714,1.1108157634735107,0.24498425424098969,0.0012935379054397345,0.0046396744437515736,0.3092041015625,2
8,train_000008,train,8,4,0,0.6113120913505554,0.6227422952651978,15804168601460789947,6504994333774528332,14531361225309603465,15410360086947854812,992052423000088592,8965833964974668727,6881437882044214542,Nikon D90,A,Nikon D90 / A,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,1.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,SUCCESS,0.018635377287864685,0.5934892296791077,0.1886485069990158,0.16226311028003693,0.5910927653312683,0.0729898139834404,0.6110224723815918,0.10059936344623566,1.187205195426941,0.12917722761631012,0.0014989097835496068,0.008244709111750126,0.1259613037109375,1
9,train_000009,train,9,4,1,0.6113120913505554,0.6227422952651978,15804168601460789947,6504994333774528332,11217274656621796201,11656756044521085342,992052423000088592,17945637829869673233,6148877952858066899,Nikon D3,D65,Nikon D3 / D65,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,981d4dec73e5ff8e3d3fa330f2367344f7d8d7f0ef36f702e73b7839cab94b47,1.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0,SUCCESS,0.008029083721339703,0.5829941034317017,0.15497368574142456,0.13762547075748444,0.5910927653312683,0.0729898139834404,0.6110224723815918,0.10059936344623566,1.1127783060073853,0.2670663893222809,0.0,0.0,0.0,0
