sample_id,split,camera_light_pair,low_clip_fraction,high_clip_fraction,total_clip_fraction,per_channel_clip_fraction
train_000000,train,Canon 60D / FL2,nan,nan,nan,
train_000001,train,Canon 40D / D65,nan,nan,nan,
train_000002,train,Point Grey Grasshopper2 14S5C / A,nan,nan,nan,
train_000003,train,Canon 50D / A,nan,nan,nan,
train_000004,train,Nikon D3 / FL2,nan,nan,nan,
train_000005,train,Nikon D200 / D65,nan,nan,nan,
train_000006,train,Canon 500D / A,nan,nan,nan,
train_000007,train,Phase One / FL2,nan,nan,nan,
train_000008,train,Nikon D90 / A,nan,nan,nan,
train_000009,train,Nikon D3 / D65,nan,nan,nan,
train_000010,train,Canon 50D / D65,nan,nan,nan,
train_000011,train,Canon 300D / D65,nan,nan,nan,
train_000012,train,Pentax K-5 / D65,nan,nan,nan,
train_000013,train,Canon 20D / FL2,nan,nan,nan,
train_000014,train,Nokia N900 / FL2,nan,nan,nan,
train_000015,train,Canon 300D / A,nan,nan,nan,
train_000016,train,Point Grey Grasshopper2 14S5C / D65,nan,nan,nan,
train_000017,train,Pentax Q / D65,nan,nan,nan,
train_000018,train,Nikon D5100 / D65,nan,nan,nan,
train_000019,train,Nikon D40 / FL2,nan,nan,nan,
train_000020,train,Pentax Q / A,nan,nan,nan,
train_000021,train,Nikon D50 / FL2,nan,nan,nan,
train_000022,train,Nikon D3X / A,nan,nan,nan,
train_000023,train,Nikon D5100 / FL2,nan,nan,nan,
train_000024,train,Canon 1DMarkIII / D65,nan,nan,nan,
train_000025,train,Hasselblad H2 / D65,nan,nan,nan,
train_000026,train,Nikon D50 / D65,nan,nan,nan,
train_000027,train,Nikon D40 / D65,nan,nan,nan,
train_000028,train,Canon 5DMarkII / A,nan,nan,nan,
train_000029,train,Point Grey Grasshopper2 14S5C / FL2,nan,nan,nan,
train_000030,train,Nikon D200 / A,nan,nan,nan,
train_000031,train,Phase One / A,nan,nan,nan,
train_000032,train,Nikon D300s / D65,nan,nan,nan,
train_000033,train,Canon 1DMarkIII / FL2,nan,nan,nan,
train_000034,train,Pentax K-5 / A,nan,nan,nan,
train_000035,train,Nikon D5100 / A,nan,nan,nan,
train_000036,train,Canon 5DMarkII / FL2,nan,nan,nan,
train_000037,train,Canon 50D / FL2,nan,nan,nan,
train_000038,train,Phase One / D65,nan,nan,nan,
train_000039,train,Nikon D3X / D65,nan,nan,nan,
train_000040,train,Nikon D50 / A,nan,nan,nan,
train_000041,train,Canon 500D / FL2,nan,nan,nan,
train_000042,train,Canon 500D / D65,nan,nan,nan,
train_000043,train,Nikon D80 / D65,nan,nan,nan,
train_000044,train,Canon 40D / FL2,nan,nan,nan,
train_000045,train,Canon 60D / D65,nan,nan,nan,
train_000046,train,Nikon D80 / FL2,nan,nan,nan,
train_000047,train,Canon 20D / D65,nan,nan,nan,
train_000048,train,Nikon D3X / FL2,nan,nan,nan,
train_000049,train,Hasselblad H2 / A,nan,nan,nan,
train_000050,train,Canon 60D / A,nan,nan,nan,
train_000051,train,Canon 300D / FL2,nan,nan,nan,
train_000052,train,Pentax Q / FL2,nan,nan,nan,
train_000053,train,Nikon D40 / A,nan,nan,nan,
train_000054,train,Canon 20D / A,nan,nan,nan,
train_000055,train,Canon 1DMarkIII / A,nan,nan,nan,
train_000056,train,Nikon D200 / FL2,nan,nan,nan,
train_000057,train,Canon 40D / A,nan,nan,nan,
train_000058,train,Nikon D3 / A,nan,nan,nan,
train_000059,train,Nokia N900 / D65,nan,nan,nan,
train_000060,train,Nikon D90 / FL2,nan,nan,nan,
train_000061,train,Nikon D80 / A,nan,nan,nan,
train_000062,train,SONY NEX-5N / A,nan,nan,nan,
train_000063,train,Nikon D300s / A,nan,nan,nan,
train_000064,train,Hasselblad H2 / FL2,nan,nan,nan,
train_000065,train,Pentax K-5 / FL2,nan,nan,nan,
train_000066,train,Nikon D90 / D65,nan,nan,nan,
train_000067,train,Nikon D300s / FL2,nan,nan,nan,
train_000068,train,Nokia N900 / A,nan,nan,nan,
train_000069,train,Canon 5DMarkII / D65,nan,nan,nan,
train_000070,train,SONY NEX-5N / D65,nan,nan,nan,
train_000071,train,SONY NEX-5N / FL2,nan,nan,nan,
train_000072,train,Canon 60D / FL2,nan,nan,nan,
train_000073,train,Canon 40D / D65,nan,nan,nan,
train_000074,train,Point Grey Grasshopper2 14S5C / A,nan,nan,nan,
train_000075,train,Canon 50D / A,nan,nan,nan,
train_000076,train,Nikon D3 / FL2,nan,nan,nan,
train_000077,train,Nikon D200 / D65,nan,nan,nan,
train_000078,train,Canon 500D / A,nan,nan,nan,
train_000079,train,Phase One / FL2,nan,nan,nan,
train_000080,train,Nikon D90 / A,nan,nan,nan,
train_000081,train,Nikon D3 / D65,nan,nan,nan,
train_000082,train,Canon 50D / D65,nan,nan,nan,
train_000083,train,Canon 300D / D65,nan,nan,nan,
train_000084,train,Pentax K-5 / D65,nan,nan,nan,
train_000085,train,Canon 20D / FL2,nan,nan,nan,
train_000086,train,Nokia N900 / FL2,nan,nan,nan,
train_000087,train,Canon 300D / A,nan,nan,nan,
train_000088,train,Point Grey Grasshopper2 14S5C / D65,nan,nan,nan,
train_000089,train,Pentax Q / D65,nan,nan,nan,
train_000090,train,Nikon D5100 / D65,nan,nan,nan,
train_000091,train,Nikon D40 / FL2,nan,nan,nan,
train_000092,train,Pentax Q / A,nan,nan,nan,
train_000093,train,Nikon D50 / FL2,nan,nan,nan,
train_000094,train,Nikon D3X / A,nan,nan,nan,
train_000095,train,Nikon D5100 / FL2,nan,nan,nan,
train_000096,train,Canon 1DMarkIII / D65,nan,nan,nan,
train_000097,train,Hasselblad H2 / D65,nan,nan,nan,
train_000098,train,Nikon D50 / D65,nan,nan,nan,
train_000099,train,Nikon D40 / D65,nan,nan,nan,
train_000100,train,Canon 5DMarkII / A,nan,nan,nan,
train_000101,train,Point Grey Grasshopper2 14S5C / FL2,nan,nan,nan,
train_000102,train,Nikon D200 / A,nan,nan,nan,
train_000103,train,Phase One / A,nan,nan,nan,
train_000104,train,Nikon D300s / D65,nan,nan,nan,
train_000105,train,Canon 1DMarkIII / FL2,nan,nan,nan,
train_000106,train,Pentax K-5 / A,nan,nan,nan,
train_000107,train,Nikon D5100 / A,nan,nan,nan,
train_000108,train,Canon 5DMarkII / FL2,nan,nan,nan,
train_000109,train,Canon 50D / FL2,nan,nan,nan,
train_000110,train,Phase One / D65,nan,nan,nan,
train_000111,train,Nikon D3X / D65,nan,nan,nan,
train_000112,train,Nikon D50 / A,nan,nan,nan,
train_000113,train,Canon 500D / FL2,nan,nan,nan,
train_000114,train,Canon 500D / D65,nan,nan,nan,
train_000115,train,Nikon D80 / D65,nan,nan,nan,
train_000116,train,Canon 40D / FL2,nan,nan,nan,
train_000117,train,Canon 60D / D65,nan,nan,nan,
train_000118,train,Nikon D80 / FL2,nan,nan,nan,
train_000119,train,Canon 20D / D65,nan,nan,nan,
train_000120,train,Nikon D3X / FL2,nan,nan,nan,
train_000121,train,Hasselblad H2 / A,nan,nan,nan,
train_000122,train,Canon 60D / A,nan,nan,nan,
train_000123,train,Canon 300D / FL2,nan,nan,nan,
train_000124,train,Pentax Q / FL2,nan,nan,nan,
train_000125,train,Nikon D40 / A,nan,nan,nan,
train_000126,train,Canon 20D / A,nan,nan,nan,
train_000127,train,Canon 1DMarkIII / A,nan,nan,nan,
train_000128,train,Nikon D200 / FL2,nan,nan,nan,
train_000129,train,Canon 40D / A,nan,nan,nan,
train_000130,train,Nikon D3 / A,nan,nan,nan,
train_000131,train,Nokia N900 / D65,nan,nan,nan,
train_000132,train,Nikon D90 / FL2,nan,nan,nan,
train_000133,train,Nikon D80 / A,nan,nan,nan,
train_000134,train,SONY NEX-5N / A,nan,nan,nan,
train_000135,train,Nikon D300s / A,nan,nan,nan,
train_000136,train,Hasselblad H2 / FL2,nan,nan,nan,
train_000137,train,Pentax K-5 / FL2,nan,nan,nan,
train_000138,train,Nikon D90 / D65,nan,nan,nan,
train_000139,train,Nikon D300s / FL2,nan,nan,nan,
train_000140,train,Nokia N900 / A,nan,nan,nan,
train_000141,train,Canon 5DMarkII / D65,nan,nan,nan,
train_000142,train,SONY NEX-5N / D65,nan,nan,nan,
train_000143,train,SONY NEX-5N / FL2,nan,nan,nan,
train_000144,train,Canon 60D / FL2,nan,nan,nan,
train_000145,train,Canon 40D / D65,nan,nan,nan,
train_000146,train,Point Grey Grasshopper2 14S5C / A,nan,nan,nan,
train_000147,train,Canon 50D / A,nan,nan,nan,
train_000148,train,Nikon D3 / FL2,nan,nan,nan,
train_000149,train,Nikon D200 / D65,nan,nan,nan,
train_000150,train,Canon 500D / A,nan,nan,nan,
train_000151,train,Phase One / FL2,nan,nan,nan,
train_000152,train,Nikon D90 / A,nan,nan,nan,
train_000153,train,Nikon D3 / D65,nan,nan,nan,
train_000154,train,Canon 50D / D65,nan,nan,nan,
train_000155,train,Canon 300D / D65,nan,nan,nan,
train_000156,train,Pentax K-5 / D65,nan,nan,nan,
train_000157,train,Canon 20D / FL2,nan,nan,nan,
train_000158,train,Nokia N900 / FL2,nan,nan,nan,
train_000159,train,Canon 300D / A,nan,nan,nan,
train_000160,train,Point Grey Grasshopper2 14S5C / D65,nan,nan,nan,
train_000161,train,Pentax Q / D65,nan,nan,nan,
train_000162,train,Nikon D5100 / D65,nan,nan,nan,
train_000163,train,Nikon D40 / FL2,nan,nan,nan,
train_000164,train,Pentax Q / A,nan,nan,nan,
train_000165,train,Nikon D50 / FL2,nan,nan,nan,
train_000166,train,Nikon D3X / A,nan,nan,nan,
train_000167,train,Nikon D5100 / FL2,nan,nan,nan,
train_000168,train,Canon 1DMarkIII / D65,nan,nan,nan,
train_000169,train,Hasselblad H2 / D65,nan,nan,nan,
train_000170,train,Nikon D50 / D65,nan,nan,nan,
train_000171,train,Nikon D40 / D65,nan,nan,nan,
train_000172,train,Canon 5DMarkII / A,nan,nan,nan,
train_000173,train,Point Grey Grasshopper2 14S5C / FL2,nan,nan,nan,
train_000174,train,Nikon D200 / A,nan,nan,nan,
train_000175,train,Phase One / A,nan,nan,nan,
train_000176,train,Nikon D300s / D65,nan,nan,nan,
train_000177,train,Canon 1DMarkIII / FL2,nan,nan,nan,
train_000178,train,Pentax K-5 / A,nan,nan,nan,
train_000179,train,Nikon D5100 / A,nan,nan,nan,
train_000180,train,Canon 5DMarkII / FL2,nan,nan,nan,
train_000181,train,Canon 50D / FL2,nan,nan,nan,
train_000182,train,Phase One / D65,nan,nan,nan,
train_000183,train,Nikon D3X / D65,nan,nan,nan,
train_000184,train,Nikon D50 / A,nan,nan,nan,
train_000185,train,Canon 500D / FL2,nan,nan,nan,
train_000186,train,Canon 500D / D65,nan,nan,nan,
train_000187,train,Nikon D80 / D65,nan,nan,nan,
train_000188,train,Canon 40D / FL2,nan,nan,nan,
train_000189,train,Canon 60D / D65,nan,nan,nan,
train_000190,train,Nikon D80 / FL2,nan,nan,nan,
train_000191,train,Canon 20D / D65,nan,nan,nan,
train_000192,train,Nikon D3X / FL2,nan,nan,nan,
train_000193,train,Hasselblad H2 / A,nan,nan,nan,
train_000194,train,Canon 60D / A,nan,nan,nan,
train_000195,train,Canon 300D / FL2,nan,nan,nan,
train_000196,train,Pentax Q / FL2,nan,nan,nan,
train_000197,train,Nikon D40 / A,nan,nan,nan,
train_000198,train,Canon 20D / A,nan,nan,nan,
train_000199,train,Canon 1DMarkIII / A,nan,nan,nan,
train_000200,train,Nikon D200 / FL2,nan,nan,nan,
train_000201,train,Canon 40D / A,nan,nan,nan,
train_000202,train,Nikon D3 / A,nan,nan,nan,
