split,camera_light_pair,count
camera_ood,Canon 600D / A,111
camera_ood,Canon 600D / D65,111
camera_ood,Canon 600D / FL2,111
camera_ood,Nikon D700 / A,111
camera_ood,Nikon D700 / D65,112
camera_ood,Nikon D700 / FL2,111
camera_ood,Olympus E-PL2 / A,111
camera_ood,Olympus E-PL2 / D65,111
camera_ood,Olympus E-PL2 / FL2,111
id_test,Canon 1DMarkIII / A,28
id_test,Canon 1DMarkIII / D65,28
id_test,Canon 1DMarkIII / FL2,28
id_test,Canon 20D / A,27
id_test,Canon 20D / D65,28
id_test,Canon 20D / FL2,28
id_test,Canon 300D / A,28
id_test,Canon 300D / D65,28
id_test,Canon 300D / FL2,28
id_test,Canon 40D / A,28
id_test,Canon 40D / D65,28
id_test,Canon 40D / FL2,27
id_test,Canon 500D / A,28
id_test,Canon 500D / D65,28
id_test,Canon 500D / FL2,28
id_test,Canon 50D / A,27
id_test,Canon 50D / D65,28
id_test,Canon 50D / FL2,27
id_test,Canon 5DMarkII / A,28
id_test,Canon 5DMarkII / D65,28
id_test,Canon 5DMarkII / FL2,28
id_test,Canon 60D / A,27
id_test,Canon 60D / D65,28
id_test,Canon 60D / FL2,27
id_test,Hasselblad H2 / A,28
id_test,Hasselblad H2 / D65,27
id_test,Hasselblad H2 / FL2,27
id_test,Nikon D200 / A,28
id_test,Nikon D200 / D65,27
id_test,Nikon D200 / FL2,28
id_test,Nikon D3 / A,28
id_test,Nikon D3 / D65,28
id_test,Nikon D3 / FL2,27
id_test,Nikon D300s / A,28
id_test,Nikon D300s / D65,28
id_test,Nikon D300s / FL2,28
id_test,Nikon D3X / A,28
id_test,Nikon D3X / D65,28
id_test,Nikon D3X / FL2,28
id_test,Nikon D40 / A,28
id_test,Nikon D40 / D65,28
id_test,Nikon D40 / FL2,28
id_test,Nikon D50 / A,27
id_test,Nikon D50 / D65,28
id_test,Nikon D50 / FL2,27
id_test,Nikon D5100 / A,28
id_test,Nikon D5100 / D65,28
id_test,Nikon D5100 / FL2,27
id_test,Nikon D80 / A,28
id_test,Nikon D80 / D65,28
id_test,Nikon D80 / FL2,28
id_test,Nikon D90 / A,28
id_test,Nikon D90 / D65,27
id_test,Nikon D90 / FL2,27
id_test,Nokia N900 / A,28
id_test,Nokia N900 / D65,28
id_test,Nokia N900 / FL2,28
id_test,Pentax K-5 / A,28
id_test,Pentax K-5 / D65,28
id_test,Pentax K-5 / FL2,28
id_test,Pentax Q / A,28
id_test,Pentax Q / D65,28
id_test,Pentax Q / FL2,28
id_test,Phase One / A,28
id_test,Phase One / D65,28
id_test,Phase One / FL2,28
id_test,Point Grey Grasshopper2 14S5C / A,28
id_test,Point Grey Grasshopper2 14S5C / D65,28
id_test,Point Grey Grasshopper2 14S5C / FL2,28
id_test,SONY NEX-5N / A,28
id_test,SONY NEX-5N / D65,28
id_test,SONY NEX-5N / FL2,27
joint_ood,Canon 600D / FL11,333
joint_ood,Nikon D700 / FL11,333
joint_ood,Olympus E-PL2 / FL11,334
light_ood,Canon 1DMarkIII / FL11,40
light_ood,Canon 20D / FL11,40
light_ood,Canon 300D / FL11,40
light_ood,Canon 40D / FL11,40
light_ood,Canon 500D / FL11,40
light_ood,Canon 50D / FL11,40
light_ood,Canon 5DMarkII / FL11,40
light_ood,Canon 60D / FL11,40
light_ood,Hasselblad H2 / FL11,40
light_ood,Nikon D200 / FL11,40
light_ood,Nikon D3 / FL11,40
light_ood,Nikon D300s / FL11,40
light_ood,Nikon D3X / FL11,40
light_ood,Nikon D40 / FL11,40
light_ood,Nikon D50 / FL11,40
light_ood,Nikon D5100 / FL11,40
light_ood,Nikon D80 / FL11,40
light_ood,Nikon D90 / FL11,40
light_ood,Nokia N900 / FL11,40
light_ood,Pentax K-5 / FL11,40
light_ood,Pentax Q / FL11,40
light_ood,Phase One / FL11,40
light_ood,Point Grey Grasshopper 50S5C / FL11,40
light_ood,Point Grey Grasshopper2 14S5C / FL11,40
light_ood,SONY NEX-5N / FL11,40
train,Canon 1DMarkIII / A,278
train,Canon 1DMarkIII / D65,278
train,Canon 1DMarkIII / FL2,278
train,Canon 20D / A,278
train,Canon 20D / D65,278
train,Canon 20D / FL2,278
train,Canon 300D / A,278
train,Canon 300D / D65,278
train,Canon 300D / FL2,278
train,Canon 40D / A,277
train,Canon 40D / D65,278
train,Canon 40D / FL2,278
train,Canon 500D / A,278
train,Canon 500D / D65,278
train,Canon 500D / FL2,278
train,Canon 50D / A,278
train,Canon 50D / D65,278
train,Canon 50D / FL2,278
train,Canon 5DMarkII / A,278
train,Canon 5DMarkII / D65,277
train,Canon 5DMarkII / FL2,278
