row_index,sample_id,split,split_index,base_latent_id,acquisition_variant_id,m_base,h_base,m_seed,h_seed,s_seed,p_seed,mask_seed,acquisition_seed,camera_light_seed,camera_name,light_name,camera_light_pair,exposure,valid_mask_type,expected_valid_fraction,so0_version,so0_config_hash,spectral_asset_hash,generator_config_hash,actual_valid_fraction,low_clip_fraction,high_clip_fraction,total_clip_fraction,per_channel_clip_fraction,retry_count,generation_status,rgb_min,rgb_max,rgb_mean,rgb_std,m_mean,m_std,h_mean,h_std,s_mean,s_std,p_mean,p_std,p_nonzero_fraction,p_blob_count
0,train_000000,train,0,0,0,0.7885259389877319,0.7975791692733765,12394173889755605833,9190320882891586670,10699472628800452688,9781858326042053240,15626002630714043735,11707821778505400989,15637505940595579206,Canon 60D,FL2,Canon 60D / FL2,1.0,mixed,0.7017974853515625,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
1,train_000001,train,1,0,1,0.7885259389877319,0.7975791692733765,12394173889755605833,9190320882891586670,5034613329582300447,13000283674916939597,15626002630714043735,4189292328653237532,10027861652540298812,Canon 40D,D65,Canon 40D / D65,1.0,mixed,0.7017974853515625,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
2,train_000002,train,2,1,0,0.2102414071559906,0.33469870686531067,16827162656828497126,8940383630051904266,6319290821388548876,4827486411240632873,15848551734495507789,13954143195077775724,10220828257884073968,Point Grey Grasshopper2 14S5C,A,Point Grey Grasshopper2 14S5C / A,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
3,train_000003,train,3,1,1,0.2102414071559906,0.33469870686531067,16827162656828497126,8940383630051904266,18122137443816519819,14908305824911981507,15848551734495507789,14317117080806209986,17779099281854481792,Canon 50D,A,Canon 50D / A,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
4,train_000004,train,4,2,0,0.31503111124038696,0.5389643907546997,18443659446333266533,420698830304689572,11840244405330597730,3568804646667542431,10364168633807956890,3519600702060180009,12761158983981330279,Nikon D3,FL2,Nikon D3 / FL2,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
5,train_000005,train,5,2,1,0.31503111124038696,0.5389643907546997,18443659446333266533,420698830304689572,17349017849165082530,6202141675796473070,10364168633807956890,12168016267843254609,2161068478461239714,Nikon D200,D65,Nikon D200 / D65,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
6,train_000006,train,6,3,0,0.6859886646270752,0.1037696972489357,11925721468734520942,9519670376874548523,4261008846184491540,17513825124397147179,15794046824432401351,17549777193222062409,5406752092143027110,Canon 500D,A,Canon 500D / A,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
7,train_000007,train,7,3,1,0.6859886646270752,0.1037696972489357,11925721468734520942,9519670376874548523,6928226243608062808,57478105568465336,15794046824432401351,12814073383977751617,7145326985164436468,Phase One,FL2,Phase One / FL2,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
8,train_000008,train,8,4,0,0.6113120913505554,0.6227422952651978,15804168601460789947,6504994333774528332,14531361225309603465,15410360086947854812,992052423000088592,8965833964974668727,6881437882044214542,Nikon D90,A,Nikon D90 / A,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
9,train_000009,train,9,4,1,0.6113120913505554,0.6227422952651978,15804168601460789947,6504994333774528332,11217274656621796201,11656756044521085342,992052423000088592,17945637829869673233,6148877952858066899,Nikon D3,D65,Nikon D3 / D65,1.0,full,1.0,SO0_Forward_Model_v1.1,32b7304a4ed2132bb578a51a4b8647c36934ae3c347e77137dfc42aaca4d5fea,5d1af74296d5aa668e570ac0a07b1cf06b4fff0d15c460498a4f70fbde5cb35f,78256a4f18072257d407c46f311c5903a66e0242ee945ff62e1d1a18afcc5cdf,nan,nan,nan,nan,,0,PENDING,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1
