sample_id,subject_id,split,expression,direction,config_sha256,input_manifest_sha256,registration_decision_sha256,frozen_transform,status,failure_codes,review_codes
p003_neutral_front,p003,train,neutral,front,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
p003_neutral_left,p003,train,neutral,left,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
p003_neutral_right,p003,train,neutral,right,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError(""rgb_worker_failed:RuntimeError('face_detection_failed')"")",
p003_smile_front,p003,train,smile,front,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
p003_smile_left,p003,train,smile,left,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
p003_smile_right,p003,train,smile,right,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
p004_neutral_front,p004,train,neutral,front,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
p004_neutral_left,p004,train,neutral,left,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
p004_neutral_right,p004,train,neutral,right,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
p004_smile_front,p004,train,smile,front,ca5c1735731e4ce3062d0377e84cb1477f7f7db6ae05b4a02327cace41507543,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,FAIL,"pipeline_exception:RuntimeError('rgb_worker_failed:ValueError(""Reference mode is unavailable if \'data\' is not c_contiguous."")')",
