sample_id,subject_id,split,expression,direction,config_sha256,input_manifest_sha256,registration_decision_sha256,frozen_transform,status,failure_codes,review_codes,anatomical_skin_path,semantic_valid_path,radiometric_valid_path,illumination_valid_path,whole_skin_path,left_cheek_path,right_cheek_path,forehead_path,anatomical_skin_pixels,semantic_valid_pixels,radiometric_valid_pixels,illumination_valid_pixels,whole_skin_pixels,left_cheek_pixels,right_cheek_pixels,forehead_pixels,final_to_anatomical_fraction,radiometric_exclusion_fraction,illumination_exclusion_fraction,largest_component_fraction,left_cheek_visible,right_cheek_visible,forehead_visible,parsed_exclusion_pixels,landmark_exclusion_pixels,saturated_pixels,shadow_pixels,hsi_highlight_pixels,rgb_specular_pixels,scanline_artifact_pixels,qc_json_path,qc_panel_path
p003_neutral_front,p003,train,neutral,front,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\forehead.npy,197512,170180,1048492,1011249,166737,11887,10663,3561,0.8441866823281623,3.525678693148431e-05,0.0201969748610246,0.9486016900867834,True,True,True,802036,24070,84,28391,79,49,9216,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\qc_panel.png
p003_neutral_left,p003,train,neutral,left,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\forehead.npy,175734,151110,1048553,1026961,149602,8605,0,3052,0.8512979844537767,9.264774005691218e-05,0.009887753481230476,0.9619724335236159,True,False,True,811180,20985,23,15575,2,0,6144,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\qc_panel.png
p003_neutral_right,p003,train,neutral,right,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\forehead.npy,176122,155515,1048565,993308,149033,0,10533,3345,0.8461918442897537,6.430247886056008e-06,0.04167470452820968,0.6746425288358954,False,True,True,812612,19955,11,30013,6,3,25600,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\qc_panel.png
p003_smile_front,p003,train,smile,front,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\forehead.npy,198286,170447,1048553,1022144,167471,12761,10764,4996,0.8445931634104273,5.8669263759409086e-05,0.017402324612613457,0.9446351905703076,True,True,True,800800,24770,23,19519,6,3,7168,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\qc_panel.png
p003_smile_left,p003,train,smile,left,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\forehead.npy,170635,147230,1048399,1021211,145474,8910,0,3497,0.8525449057930671,0.0009508931603613394,0.010986470868175946,0.9607696220630491,True,False,True,814580,20582,177,20326,6,0,7168,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\qc_panel.png
p003_smile_right,p003,train,smile,right,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\forehead.npy,165376,146048,1048562,989635,139035,0,10135,2180,0.8407205398606811,0.0,0.04801845968448729,0.6924371561117704,False,True,True,814552,19873,14,31592,12,9,27648,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\qc_panel.png
p004_neutral_front,p004,train,neutral,front,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\forehead.npy,182391,154754,1048573,999742,148780,9630,10452,1293,0.8157200739071555,0.0,0.038603202502035486,0.900342788009141,True,True,True,830620,31444,3,43016,0,0,6144,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\qc_panel.png
p004_neutral_left,p004,train,neutral,left,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\forehead.npy,126971,110996,1048571,983499,103645,10324,0,324,0.8162887588504462,0.0,0.06622761180583084,0.90959525302716,True,False,False,872760,21428,5,52180,5,5,13270,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\qc_panel.png
p004_neutral_right,p004,train,neutral,right,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\forehead.npy,144841,125585,1048567,1003999,122296,0,11281,25,0.8443465593305763,0.0,0.02618943345144723,0.8660381369791326,False,True,False,848044,23512,9,26533,9,0,18360,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\qc_panel.png
p004_smile_front,p004,train,smile,front,714018f74fb291d16ac8289554a93aad6977490ad3fb98abf1f59e4bbecc24e3,71d23c523c632f3efee0235140aed1915415e37e980f7ac4a04396743126be45,5e0a273dfb3281f385e8e0b8f8e52bd9f01e27ebde566f0cb2942d1d92b41665,transpose,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\anatomical_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\semantic_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\radiometric_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\illumination_valid.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\whole_skin.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\left_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\right_cheek.npy,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\forehead.npy,200627,172250,1048551,1006959,167502,11897,11343,757,0.8348926116624382,0.0,0.02756458635703919,0.9945314085801961,True,True,False,823324,30074,25,41594,23,4,0,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\qc.json,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\qc_panel.png
