sample_id,status,failure_codes,review_codes,qc_panel_path,reviewer_decision,notes
p004_smile_left,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_left\qc_panel.png,,
p004_neutral_left,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_left\qc_panel.png,,
p004_smile_right,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_right\qc_panel.png,,
p004_smile_front,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_smile_front\qc_panel.png,,
p005_neutral_left,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p005_neutral_left\qc_panel.png,,
p004_neutral_right,REVIEW,,forehead_secondary_roi_small,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_right\qc_panel.png,,
p005_smile_left,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p005_smile_left\qc_panel.png,,
p004_neutral_front,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p004_neutral_front\qc_panel.png,,
p005_neutral_right,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p005_neutral_right\qc_panel.png,,
p005_smile_front,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p005_smile_front\qc_panel.png,,
p005_smile_right,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p005_smile_right\qc_panel.png,,
p005_neutral_front,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p005_neutral_front\qc_panel.png,,
p003_smile_right,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_right\qc_panel.png,,
p003_neutral_front,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_front\qc_panel.png,,
p003_smile_front,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_front\qc_panel.png,,
p003_neutral_right,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_right\qc_panel.png,,
p003_neutral_left,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_neutral_left\qc_panel.png,,
p003_smile_left,PASS,,,E:\projects\face2\outputs\skin_optics_hsi_v1\s1_2_pilot18_v3\masks\train\p003_smile_left\qc_panel.png,,
