sample_id,subject_id,expression,direction,split,rgb_path,hsi_path,rgb_relative_path,hsi_relative_path,rgb_bytes,hsi_bytes,rgb_sha256,hsi_sha256,rgb_width,rgb_height,rgb_mode,hsi_dataset_key,hsi_stored_shape,hsi_loader_shape_before_s1_1,hsi_dtype,hsi_chunks,hsi_compression,hsi_min,hsi_max,hsi_nan_count,hsi_inf_count,hsi_below_zero_count,hsi_above_one_count,value_scan
p003_neutral_front,p003,neutral,front,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p003_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p003_neutral_front.mat",train/RGB/p003_neutral_front.jpg,train/VIS/p003_neutral_front.mat,375271,173727122,7d47b1441f6031740cc322521f9f151623446893ec10a74db155bc763ce412fe,b2d48f1fce940623930d0be225aac912a88f322846b6c0b01649635bad0621c3,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0078970353864065,1.000000000209809,0,0,0,2,full
p003_neutral_left,p003,neutral,left,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p003_neutral_left.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p003_neutral_left.mat",train/RGB/p003_neutral_left.jpg,train/VIS/p003_neutral_left.mat,391814,173859568,a56579982e60359376764b6bdfe1f240351ba7dcfd91e622238f08450e9c311b,cdaf730fbe3899781bd18e6281d2a193b9491b357669e70913889297e3201a25,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0077606037550879,1.0000000000733849,0,0,0,1,full
p003_neutral_right,p003,neutral,right,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p003_neutral_right.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p003_neutral_right.mat",train/RGB/p003_neutral_right.jpg,train/VIS/p003_neutral_right.mat,381747,174369813,5b888b3608aa625aa7d37824af206ae8e1c17c8ccd8f4a057ed954584779e739,97d5a7cea63a2091f91f2640364fbab943b7d84db368b73c526fd637beb60723,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0061722267533355,1.0000000001751914,0,0,0,2,full
p003_smile_front,p003,smile,front,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p003_smile_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p003_smile_front.mat",train/RGB/p003_smile_front.jpg,train/VIS/p003_smile_front.mat,387215,174654017,35af4cef5fa515e0ac2af6e9a0f3af26666b77b0e5d1e5d19314f769494e84bc,4f271f03b402133c296d8c1e64e177af72097693f2f0c3a1ec598152e5f00e6f,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0079704592915845,1.0,0,0,0,0,full
p003_smile_left,p003,smile,left,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p003_smile_left.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p003_smile_left.mat",train/RGB/p003_smile_left.jpg,train/VIS/p003_smile_left.mat,393775,173718240,bb8984b78f701efcda1a6d2402f4e92e7ce6c15ec4610bfa29169f486298683a,6753d3d4bf59d5b2daf076fb9efd71dc1a8e92986329f883151135fdc0c27a61,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0080071712441736,1.0000000004072265,0,0,0,12,full
p003_smile_right,p003,smile,right,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p003_smile_right.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p003_smile_right.mat",train/RGB/p003_smile_right.jpg,train/VIS/p003_smile_right.mat,379536,174503666,50110f1e385971189eb06ac9f910d3203ccd31fbde512d0965d78b272a30d645,4201fc2fd02553fef67137ada1119973624b94c42d7259cb27913775b4f8f746,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0061776063942033,1.0000000006128855,0,0,0,2,full
p004_neutral_front,p004,neutral,front,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p004_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p004_neutral_front.mat",train/RGB/p004_neutral_front.jpg,train/VIS/p004_neutral_front.mat,359735,174090693,ff130f3f0674c328ede9b4910fa285eea35eab3d2a8cfe847ad2ad2d53b175ac,be0265c7f9e58019854a8930f2c3fc40967a2c0b7a0930d8806d6b57bc77ac34,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0065070539196909,1.0,0,0,0,0,full
p004_neutral_left,p004,neutral,left,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p004_neutral_left.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p004_neutral_left.mat",train/RGB/p004_neutral_left.jpg,train/VIS/p004_neutral_left.mat,340356,173367723,7ca0129e7cf6ffbe1e8832910946e6c8d9b77b88954644342b46c482d9ebfc53,752140bea29533119bbe355f78fb9fe4de0432df83daf5213a6d4b673da820bb,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.004986793698805,1.0,0,0,0,0,full
p004_neutral_right,p004,neutral,right,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p004_neutral_right.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p004_neutral_right.mat",train/RGB/p004_neutral_right.jpg,train/VIS/p004_neutral_right.mat,364034,173448872,276d3b3fff749acf0c362ded8cb95716927bec774a63af234a7d2dbc22edfba2,b3b57212666f0be5547d26154abdf39377298e8f12afe5d9fd4c81f3b3a52e9b,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0072304051505511,1.0000000006128855,0,0,0,1,full
p004_smile_front,p004,smile,front,train,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p004_smile_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p004_smile_front.mat",train/RGB/p004_smile_front.jpg,train/VIS/p004_smile_front.mat,358017,173922959,6c12d21029a5e15fb2fd8ba1c9acb058882dbc99b1305f178ef8e21c6cd57b1c,62b3657c355e5bf34773c3c992ba98c58507a55131145149fe2e808eacbc3de4,1024,1024,RGB,cube,"[31, 1024, 1024]","[1024, 1024, 31]",float64,"[2, 64, 64]",gzip,0.0067446311418279,1.0000000001018066,0,0,0,1,full
