subject_id,capture_id,roi,parameter,theta_hat,profile_optimum_logrmse,intervals_delta_0p005,total_span_delta_0p005,envelope_span_delta_0p005,intervals_delta_0p0025,intervals_delta_0p010,boundary_limited,jacobian_singular_values,jacobian_column_correlation,single_spectrum_gate,f_blood,low_blood_signal,profile_gate,base_parameter_reliable
p003,p003_neutral_front,left_cheek,f_mel,0.02871092446619622,0.13494126038660698,"[[0.021500000000000002,0.03655]]",0.015049999999999997,0.015049999999999997,"[[0.0258,0.02871092446619622]]","[[0.01935,0.0387]]",False,"[23.336284292749784,0.9713144297576861,0.6754837461217835]","[[1.0,0.027102454948535405,0.674993646507059],[0.027102454948535408,1.0,0.32819031783106595],[0.674993646507059,0.32819031783106595,1.0]]",False,0.073033170822585,False,True,False
p003,p003_neutral_front,left_cheek,f_blood,0.073033170822585,0.13494126038661616,"[[0.044250000000000005,0.1]]",0.05575,0.05575,"[[0.052000000000000005,0.1]]","[[0.036,0.1]]",False,"[23.336284292749784,0.9713144297576861,0.6754837461217835]","[[1.0,0.027102454948535405,0.674993646507059],[0.027102454948535408,1.0,0.32819031783106595],[0.674993646507059,0.32819031783106595,1.0]]",False,0.073033170822585,False,False,False
p003,p003_neutral_front,left_cheek,s,0.8066098499939448,0.13494126038659426,"[[0.55375,0.99125]]",0.4375,0.4375,"[[0.64,0.9400000000000001]]","[[0.42,1.0]]",False,"[23.336284292749784,0.9713144297576861,0.6754837461217835]","[[1.0,0.027102454948535405,0.674993646507059],[0.027102454948535408,1.0,0.32819031783106595],[0.674993646507059,0.32819031783106595,1.0]]",False,0.073033170822585,False,False,False
p003,p003_neutral_front,right_cheek,f_mel,0.05480550974837889,0.19773530964772404,"[[0.049449999999999994,0.060200000000000004]]",0.01075000000000001,0.01075000000000001,"[[0.0516,0.05480550974837889]]","[[0.0473,0.06235000000000001]]",False,"[20.115551380305526,0.8068160633941959,0.36503982296965104]","[[1.0,-0.6047650494279349,0.8015345296946641],[-0.6047650494279349,1.0,-0.43708782415236824],[0.8015345296946641,-0.4370878241523683,1.0]]",False,0.09999999999999999,False,True,False
p003,p003_neutral_front,right_cheek,f_blood,0.09999999999999999,0.19773530964772404,"[[0.09012500000000001,0.1]]",0.009874999999999995,0.009874999999999995,"[[0.096,0.1]]","[[0.08200000000000002,0.1]]",True,"[20.115551380305526,0.8068160633941959,0.36503982296965104]","[[1.0,-0.6047650494279349,0.8015345296946641],[-0.6047650494279349,1.0,-0.43708782415236824],[0.8015345296946641,-0.4370878241523683,1.0]]",False,0.09999999999999999,False,True,False
p003,p003_neutral_front,right_cheek,s,2.722798120695543e-21,0.19773530964772404,"[[0.0,0.20875000000000002]]",0.20875000000000002,0.20875000000000002,"[[0.0,0.12]]","[[0.0,0.32]]",True,"[20.115551380305526,0.8068160633941959,0.36503982296965104]","[[1.0,-0.6047650494279349,0.8015345296946641],[-0.6047650494279349,1.0,-0.43708782415236824],[0.8015345296946641,-0.4370878241523683,1.0]]",False,0.09999999999999999,False,False,False
p004,p004_neutral_front,left_cheek,f_mel,0.040632231966715164,0.14539399017554278,"[[0.032787500000000004,0.049449999999999994]]",0.01666249999999999,0.01666249999999999,"[[0.0344,0.043000000000000003]]","[[0.03225,0.0516]]",False,"[22.005855861256535,0.9063943052032377,0.6059682973323924]","[[1.0,-0.09044020058635832,0.7103643932780656],[-0.09044020058635834,1.0,0.18328489173301],[0.7103643932780656,0.18328489173300996,1.0]]",False,0.07652600278104009,False,True,False
p004,p004_neutral_front,left_cheek,f_blood,0.07652600278104009,0.1453939901755556,"[[0.043750000000000004,0.1]]",0.05625,0.05625,"[[0.052000000000000005,0.1]]","[[0.034,0.1]]",False,"[22.005855861256535,0.9063943052032377,0.6059682973323924]","[[1.0,-0.09044020058635832,0.7103643932780656],[-0.09044020058635834,1.0,0.18328489173301],[0.7103643932780656,0.18328489173300996,1.0]]",False,0.07652600278104009,False,False,False
p004,p004_neutral_front,left_cheek,s,0.7221167555080702,0.1453939901755093,"[[0.42374999999999996,0.9337500000000001]]",0.5100000000000001,0.5100000000000001,"[[0.54,0.86]]","[[0.26,1.0]]",False,"[22.005855861256535,0.9063943052032377,0.6059682973323924]","[[1.0,-0.09044020058635832,0.7103643932780656],[-0.09044020058635834,1.0,0.18328489173301],[0.7103643932780656,0.18328489173300996,1.0]]",False,0.07652600278104009,False,False,False
p004,p004_neutral_front,right_cheek,f_mel,0.06795517924570643,0.2238215628906787,"[[0.062138794811426604,0.0736375]]",0.011498705188573391,0.011498705188573391,"[[0.06407758962285322,0.0688]]","[[0.060200000000000004,0.07525]]",False,"[19.01538011921077,0.7732324077540926,0.34062940644201223]","[[1.0,-0.602032044446048,0.796872855234461],[-0.602032044446048,1.0,-0.4874800835416065],[0.796872855234461,-0.48748008354160643,0.9999999999999999]]",False,0.09999999999999999,False,True,False
