subject_id,capture_id,roi,profiled_parameter,fixed_u,fixed_value,logrmse,success,grid_kind,conditional_theta
p003,p003_neutral_front,left_cheek,f_mel,0.0,0.0,0.26527628994629404,True,base_or_optimum,"[0.0,0.09999999999999999,0.4519306491594357]"
p003,p003_neutral_front,left_cheek,f_mel,0.02,0.0086,0.19740449003927518,True,base_or_optimum,"[0.0086,0.09999999999999999,0.5778042578196916]"
p003,p003_neutral_front,left_cheek,f_mel,0.04,0.0172,0.15032759210965654,True,base_or_optimum,"[0.0172,0.09999999999999999,0.7206729561832459]"
p003,p003_neutral_front,left_cheek,f_mel,0.045,0.01935,0.14349632651745256,True,refinement_delta_0p005,"[0.01935,0.09999999999999999,0.7574989327016669]"
p003,p003_neutral_front,left_cheek,f_mel,0.0475,0.020425,0.1409888018831392,True,refinement_delta_0p005,"[0.020425,0.09999999999999999,0.7759081824200046]"
p003,p003_neutral_front,left_cheek,f_mel,0.04875,0.020962500000000002,0.13997150495983432,True,refinement_delta_0p005,"[0.020962500000000002,0.09999999999999999,0.7850979281743332]"
p003,p003_neutral_front,left_cheek,f_mel,0.05,0.021500000000000002,0.13911435576758596,True,refinement_delta_0p005,"[0.021500000000000002,0.09999999999999999,0.7942724892737856]"
p003,p003_neutral_front,left_cheek,f_mel,0.06,0.0258,0.13560588635654744,True,base_or_optimum,"[0.0258,0.08442334007931696,0.806140437469383]"
p003,p003_neutral_front,left_cheek,f_mel,0.06676959178185167,0.02871092446619622,0.13494126038660698,True,base_or_optimum,"[0.02871092446619622,0.07303319226713625,0.8066100713471184]"
p003,p003_neutral_front,left_cheek,f_mel,0.08,0.0344,0.13746428320765583,True,base_or_optimum,"[0.0344,0.054397061745935116,0.8148188655093804]"
p003,p003_neutral_front,left_cheek,f_mel,0.08499999999999999,0.03655,0.1396959692624624,True,refinement_delta_0p005,"[0.03655,0.04842229704043663,0.8209630563415261]"
p003,p003_neutral_front,left_cheek,f_mel,0.08625,0.037087499999999995,0.14035839638492367,True,refinement_delta_0p005,"[0.037087499999999995,0.047009858863759246,0.8228036436880868]"
p003,p003_neutral_front,left_cheek,f_mel,0.0875,0.037625,0.14106160211206895,True,refinement_delta_0p005,"[0.037625,0.04562853749660919,0.8247742854872298]"
p003,p003_neutral_front,left_cheek,f_mel,0.09,0.0387,0.14258812304313367,True,refinement_delta_0p005,"[0.0387,0.04295647482458414,0.8291215193126449]"
p003,p003_neutral_front,left_cheek,f_mel,0.1,0.043000000000000003,0.15020720035636004,True,base_or_optimum,"[0.043000000000000003,0.033387589834697175,0.8526754359534261]"
p003,p003_neutral_front,left_cheek,f_mel,0.12,0.0516,0.17164895825121845,True,base_or_optimum,"[0.0516,0.018775886663732342,0.9414632330880262]"
p003,p003_neutral_front,left_cheek,f_mel,0.14,0.060200000000000004,0.19954184868282318,True,base_or_optimum,"[0.060200000000000004,0.008371736303617823,0.9999999999999999]"
