subject_id,capture_id,roi,parameter,delta_logrmse,accepted_grid_solution_count,accepted_multistart_solution_count,accepted_min,accepted_max,total_span,profile_span_gate
p003,p003_neutral_front,left_cheek,f_mel,0.0025,45,405,0.024079340593688207,0.03343730104876505,0.009357960455076843,True
p003,p003_neutral_front,left_cheek,f_mel,0.005,64,576,0.021500000000000002,0.03655,0.015049999999999997,True
p003,p003_neutral_front,left_cheek,f_mel,0.01,88,792,0.01935,0.0387,0.01935,True
p003,p003_neutral_front,left_cheek,f_blood,0.0025,45,405,0.052000000000000005,0.1,0.048,False
p003,p003_neutral_front,left_cheek,f_blood,0.005,64,576,0.044250000000000005,0.1,0.05575,False
p003,p003_neutral_front,left_cheek,f_blood,0.01,88,792,0.036,0.1,0.064,False
p003,p003_neutral_front,left_cheek,s,0.0025,45,405,0.64,0.9400000000000001,0.30000000000000004,False
p003,p003_neutral_front,left_cheek,s,0.005,64,576,0.55375,0.99125,0.4375,False
p003,p003_neutral_front,left_cheek,s,0.01,88,792,0.42,1.0,0.5800000000000001,False
p003,p003_neutral_front,right_cheek,f_mel,0.0025,12,108,0.0516,0.055591591520628855,0.003991591520628855,True
p003,p003_neutral_front,right_cheek,f_mel,0.005,27,243,0.049449999999999994,0.060200000000000004,0.01075000000000001,True
p003,p003_neutral_front,right_cheek,f_mel,0.01,45,405,0.0473,0.06235000000000001,0.015050000000000008,True
p003,p003_neutral_front,right_cheek,f_blood,0.0025,12,108,0.096,0.1,0.0040000000000000036,True
p003,p003_neutral_front,right_cheek,f_blood,0.005,27,243,0.09012500000000001,0.1,0.009874999999999995,True
p003,p003_neutral_front,right_cheek,f_blood,0.01,45,405,0.08200000000000002,0.1,0.017999999999999988,False
p003,p003_neutral_front,right_cheek,s,0.0025,12,108,0.0,0.12,0.12,True
p003,p003_neutral_front,right_cheek,s,0.005,27,243,0.0,0.20875000000000002,0.20875000000000002,False
p003,p003_neutral_front,right_cheek,s,0.01,45,405,0.0,0.32,0.32,False
p004,p004_neutral_front,left_cheek,f_mel,0.0025,47,423,0.0344,0.04608078738021113,0.011680787380211131,True
p004,p004_neutral_front,left_cheek,f_mel,0.005,70,630,0.032787500000000004,0.049449999999999994,0.01666249999999999,True
p004,p004_neutral_front,left_cheek,f_mel,0.01,97,873,0.03225,0.0516,0.01935,True
p004,p004_neutral_front,left_cheek,f_blood,0.0025,47,423,0.052000000000000005,0.1,0.048,False
p004,p004_neutral_front,left_cheek,f_blood,0.005,70,630,0.043750000000000004,0.1,0.05625,False
p004,p004_neutral_front,left_cheek,f_blood,0.01,97,873,0.034,0.1,0.066,False
p004,p004_neutral_front,left_cheek,s,0.0025,47,423,0.54,0.86,0.31999999999999995,False
p004,p004_neutral_front,left_cheek,s,0.005,70,630,0.42374999999999996,0.9337500000000001,0.5100000000000001,False
p004,p004_neutral_front,left_cheek,s,0.01,97,873,0.26,1.0,0.74,False
p004,p004_neutral_front,right_cheek,f_mel,0.0025,11,99,0.06407758962285322,0.0688,0.004722410377146782,True
p004,p004_neutral_front,right_cheek,f_mel,0.005,26,234,0.062138794811426604,0.0736375,0.011498705188573391,True
p004,p004_neutral_front,right_cheek,f_mel,0.01,42,378,0.060200000000000004,0.07525,0.015049999999999994,True
p004,p004_neutral_front,right_cheek,f_blood,0.0025,11,99,0.096,0.1,0.0040000000000000036,True
p004,p004_neutral_front,right_cheek,f_blood,0.005,26,234,0.09062500000000001,0.1,0.009374999999999994,True
p004,p004_neutral_front,right_cheek,f_blood,0.01,42,378,0.084,0.1,0.016,False
p004,p004_neutral_front,right_cheek,s,0.0025,11,99,0.0,0.08,0.08,True
p004,p004_neutral_front,right_cheek,s,0.005,26,234,0.0,0.15875,0.15875,True
p004,p004_neutral_front,right_cheek,s,0.01,42,378,0.0,0.26,0.26,False
p005,p005_neutral_front,left_cheek,f_mel,0.0025,28,252,0.04648772463333739,0.052241676028359864,0.005753951395022473,True
p005,p005_neutral_front,left_cheek,f_mel,0.005,48,432,0.04517982789583587,0.0559,0.010720172104164129,True
p005,p005_neutral_front,left_cheek,f_mel,0.01,77,693,0.043000000000000003,0.058050000000000004,0.015050000000000001,True
p005,p005_neutral_front,left_cheek,f_blood,0.0025,28,252,0.08600000000000001,0.1,0.013999999999999999,False
p005,p005_neutral_front,left_cheek,f_blood,0.005,48,432,0.07475000000000001,0.1,0.025249999999999995,False
p005,p005_neutral_front,left_cheek,f_blood,0.01,77,693,0.062,0.1,0.038000000000000006,False
p005,p005_neutral_front,left_cheek,s,0.0025,28,252,0.5,0.8,0.30000000000000004,False
p005,p005_neutral_front,left_cheek,s,0.005,48,432,0.41625,0.87,0.45375,False
p005,p005_neutral_front,left_cheek,s,0.01,77,693,0.3,0.9400000000000001,0.6400000000000001,False
p005,p005_neutral_front,right_cheek,f_mel,0.0025,10,90,0.0774,0.08189780543798113,0.004497805437981131,True
p005,p005_neutral_front,right_cheek,f_mel,0.005,25,225,0.07471249999999999,0.08761250000000001,0.012900000000000023,True
p005,p005_neutral_front,right_cheek,f_mel,0.01,42,378,0.0731,0.0903,0.017200000000000007,True
p005,p005_neutral_front,right_cheek,f_blood,0.0025,10,90,0.096,0.1,0.0040000000000000036,True
p005,p005_neutral_front,right_cheek,f_blood,0.005,25,225,0.09125000000000001,0.1,0.008749999999999994,True
p005,p005_neutral_front,right_cheek,f_blood,0.01,42,378,0.084,0.1,0.016,False
p005,p005_neutral_front,right_cheek,s,0.0025,10,90,0.0,0.08,0.08,True
p005,p005_neutral_front,right_cheek,s,0.005,25,225,0.0,0.15625000000000003,0.15625000000000003,True
p005,p005_neutral_front,right_cheek,s,0.01,42,378,0.0,0.26,0.26,False
p006,p006_neutral_front,left_cheek,f_mel,0.0025,42,378,0.043000000000000003,0.0516,0.008599999999999997,True
p006,p006_neutral_front,left_cheek,f_mel,0.005,65,585,0.0403125,0.054825,0.014512499999999998,True
p006,p006_neutral_front,left_cheek,f_mel,0.01,95,855,0.0387,0.056692214290122535,0.017992214290122537,True
p006,p006_neutral_front,left_cheek,f_blood,0.0025,42,378,0.066,0.1,0.034,False
p006,p006_neutral_front,left_cheek,f_blood,0.005,65,585,0.05487500000000001,0.1,0.045125,False
p006,p006_neutral_front,left_cheek,f_blood,0.01,95,855,0.044000000000000004,0.1,0.056,False
p006,p006_neutral_front,left_cheek,s,0.0025,42,378,0.38,0.74,0.36,False
p006,p006_neutral_front,left_cheek,s,0.005,65,585,0.265,0.8150000000000001,0.55,False
p006,p006_neutral_front,left_cheek,s,0.01,95,855,0.08,0.88,0.8,False
p006,p006_neutral_front,right_cheek,f_mel,0.0025,10,90,0.08131133881918605,0.08605055141729258,0.004739212598106529,True
p006,p006_neutral_front,right_cheek,f_mel,0.005,23,207,0.0783778347047965,0.09191250000000001,0.013534665295203502,True
p006,p006_neutral_front,right_cheek,f_mel,0.01,40,360,0.0774,0.0946,0.017200000000000007,True
p006,p006_neutral_front,right_cheek,f_blood,0.0025,10,90,0.096,0.1,0.0040000000000000036,True
p006,p006_neutral_front,right_cheek,f_blood,0.005,23,207,0.091875,0.1,0.008125000000000007,True
p006,p006_neutral_front,right_cheek,f_blood,0.01,40,360,0.08600000000000001,0.1,0.013999999999999999,False
p006,p006_neutral_front,right_cheek,s,0.0025,10,90,0.0,0.06,0.06,True
p006,p006_neutral_front,right_cheek,s,0.005,23,207,0.0,0.12375,0.12375,True
p006,p006_neutral_front,right_cheek,s,0.01,40,360,0.0,0.22,0.22,False
p007,p007_neutral_front,left_cheek,f_mel,0.0025,33,297,0.04970794041686446,0.05457737381798997,0.004869433401125514,True
p007,p007_neutral_front,left_cheek,f_mel,0.005,59,531,0.04593576216865191,0.0585875,0.01265173783134809,True
p007,p007_neutral_front,left_cheek,f_mel,0.01,90,810,0.04495717477910128,0.0609124336061411,0.01595525882703982,True
p007,p007_neutral_front,left_cheek,f_blood,0.0025,33,297,0.07800000000000001,0.1,0.021999999999999992,False
p007,p007_neutral_front,left_cheek,f_blood,0.005,59,531,0.065375,0.1,0.034625,False
p007,p007_neutral_front,left_cheek,f_blood,0.01,90,810,0.05,0.1,0.05,False
p007,p007_neutral_front,left_cheek,s,0.0025,33,297,0.4,0.74,0.33999999999999997,False
p007,p007_neutral_front,left_cheek,s,0.005,59,531,0.28250000000000003,0.8125,0.53,False
p007,p007_neutral_front,left_cheek,s,0.01,90,810,0.1,0.88,0.78,False
p007,p007_neutral_front,right_cheek,f_mel,0.0025,8,72,0.10144594614518426,0.1032,0.0017540538548157375,True
p007,p007_neutral_front,right_cheek,f_mel,0.005,20,180,0.09352500000000001,0.10965,0.016124999999999987,True
p007,p007_neutral_front,right_cheek,f_mel,0.01,39,351,0.0903,0.1118,0.02149999999999999,True
p007,p007_neutral_front,right_cheek,f_blood,0.0025,8,72,0.096,0.1,0.0040000000000000036,True
p007,p007_neutral_front,right_cheek,f_blood,0.005,20,180,0.091875,0.1,0.008125000000000007,True
p007,p007_neutral_front,right_cheek,f_blood,0.01,39,351,0.08600000000000001,0.1,0.013999999999999999,False
p007,p007_neutral_front,right_cheek,s,0.0025,8,72,0.0,0.04,0.04,True
p007,p007_neutral_front,right_cheek,s,0.005,20,180,0.0,0.11124999999999999,0.11124999999999999,True
p007,p007_neutral_front,right_cheek,s,0.01,39,351,0.0,0.2,0.2,True
p008,p008_neutral_front,left_cheek,f_mel,0.0025,6,54,0.030387735010159296,0.03077193869278702,0.0003842036826277248,True
p008,p008_neutral_front,left_cheek,f_mel,0.005,19,171,0.025262499999999997,0.03547499999999999,0.010212499999999996,True
p008,p008_neutral_front,left_cheek,f_mel,0.01,33,297,0.02365,0.03655,0.012899999999999998,True
p008,p008_neutral_front,left_cheek,f_blood,0.0025,6,54,0.098,0.1,0.0020000000000000018,True
p008,p008_neutral_front,left_cheek,f_blood,0.005,19,171,0.09425000000000001,0.1,0.005749999999999991,True
p008,p008_neutral_front,left_cheek,f_blood,0.01,33,297,0.09000000000000001,0.1,0.009999999999999995,True
p008,p008_neutral_front,left_cheek,s,0.0025,6,54,0.0,0.04,0.04,True
p008,p008_neutral_front,left_cheek,s,0.005,19,171,0.0,0.09625,0.09625,True
p008,p008_neutral_front,left_cheek,s,0.01,33,297,0.0,0.18,0.18,True
p008,p008_neutral_front,right_cheek,f_mel,0.0025,7,63,0.03771952150414591,0.043000000000000003,0.005280478495854092,True
p008,p008_neutral_front,right_cheek,f_mel,0.005,17,153,0.03522988037603648,0.0473,0.012070119623963524,True
p008,p008_neutral_front,right_cheek,f_mel,0.01,31,279,0.0344,0.049449999999999994,0.015049999999999994,True
p008,p008_neutral_front,right_cheek,f_blood,0.0025,7,63,0.098,0.1,0.0020000000000000018,True
p008,p008_neutral_front,right_cheek,f_blood,0.005,17,153,0.09475,0.1,0.005250000000000005,True
p008,p008_neutral_front,right_cheek,f_blood,0.01,31,279,0.09000000000000001,0.1,0.009999999999999995,True
p008,p008_neutral_front,right_cheek,s,0.0025,7,63,0.0,0.02,0.02,True
p008,p008_neutral_front,right_cheek,s,0.005,17,153,0.0,0.0675,0.0675,True
p008,p008_neutral_front,right_cheek,s,0.01,31,279,0.0,0.12,0.12,True
p009,p009_neutral_front,left_cheek,f_mel,0.0025,17,153,0.060200000000000004,0.06591242583113338,0.0057124258311333775,True
p009,p009_neutral_front,left_cheek,f_mel,0.005,32,288,0.058050000000000004,0.06807810645778335,0.010028106457783348,True
p009,p009_neutral_front,left_cheek,f_mel,0.01,50,450,0.0559,0.0688,0.012900000000000002,True
p009,p009_neutral_front,left_cheek,f_blood,0.0025,17,153,0.096,0.1,0.0040000000000000036,True
p009,p009_neutral_front,left_cheek,f_blood,0.005,32,288,0.089875,0.1,0.010125000000000009,False
p009,p009_neutral_front,left_cheek,f_blood,0.01,50,450,0.08200000000000002,0.1,0.017999999999999988,False
p009,p009_neutral_front,left_cheek,s,0.0025,17,153,0.0,0.2,0.2,True
p009,p009_neutral_front,left_cheek,s,0.005,32,288,0.0,0.29874999999999996,0.29874999999999996,False
p009,p009_neutral_front,left_cheek,s,0.01,50,450,0.0,0.42,0.42,False
p009,p009_neutral_front,right_cheek,f_mel,0.0025,7,63,0.10291202836215646,0.10334620206171792,0.00043417369956146035,True
p009,p009_neutral_front,right_cheek,f_mel,0.005,17,153,0.0946,0.1118,0.017199999999999993,True
p009,p009_neutral_front,right_cheek,f_mel,0.01,35,315,0.09245,0.11395000000000001,0.021500000000000005,True
p009,p009_neutral_front,right_cheek,f_blood,0.0025,7,63,0.098,0.1,0.0020000000000000018,True
p009,p009_neutral_front,right_cheek,f_blood,0.005,17,153,0.09300000000000001,0.1,0.006999999999999992,True
p009,p009_neutral_front,right_cheek,f_blood,0.01,35,315,0.08800000000000001,0.1,0.011999999999999997,False
p009,p009_neutral_front,right_cheek,s,0.0025,7,63,0.0,0.04,0.04,True
