subject_id,capture_id,split,expression,direction,model_version,observation_quantity,source_spectrum,left_roi,right_roi,left_hsi_path,right_hsi_path,left_hsi_sha256,right_hsi_sha256,left_rgb_path,right_rgb_path,left_rgb_sha256,right_rgb_sha256,left_mask_path,right_mask_path,left_mask_sha256,right_mask_sha256,left_mask_pixel_count,right_mask_pixel_count,frozen_transform,main_observation_gain,per_spectrum_gain_fitted,side_gain_applied,normalization_applied,aggregation_domain,aggregation_epsilon,input_quality_status,fit_band_index_zero_based,edge_band_index_zero_based,observed_reflectance_400nm,observed_reflectance_410nm,observed_reflectance_420nm,observed_reflectance_430nm,observed_reflectance_440nm,observed_reflectance_450nm,observed_reflectance_460nm,observed_reflectance_470nm,observed_reflectance_480nm,observed_reflectance_490nm,observed_reflectance_500nm,observed_reflectance_510nm,observed_reflectance_520nm,observed_reflectance_530nm,observed_reflectance_540nm,observed_reflectance_550nm,observed_reflectance_560nm,observed_reflectance_570nm,observed_reflectance_580nm,observed_reflectance_590nm,observed_reflectance_600nm,observed_reflectance_610nm,observed_reflectance_620nm,observed_reflectance_630nm,observed_reflectance_640nm,observed_reflectance_650nm,observed_reflectance_660nm,observed_reflectance_670nm,observed_reflectance_680nm,observed_reflectance_690nm,observed_reflectance_700nm
p003,p003_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p003_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p003_neutral_front.mat",b2d48f1fce940623930d0be225aac912a88f322846b6c0b01649635bad0621c3,b2d48f1fce940623930d0be225aac912a88f322846b6c0b01649635bad0621c3,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p003_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p003_neutral_front.jpg",7d47b1441f6031740cc322521f9f151623446893ec10a74db155bc763ce412fe,7d47b1441f6031740cc322521f9f151623446893ec10a74db155bc763ce412fe,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p003_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p003_neutral_front\right_cheek.npy,1f01231cef24a772aa3fcc836edb2791d547d06a8dd5453915a127e8f5555bbb,6acd4ef1b185526c407e8a20a485c1fe3106d2207732d3a153f3c601bc72d587,11887,10663,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.4145544387659792,0.34770233181147786,0.2587743447734402,0.2248561828546152,0.21683278570349965,0.22599581576243732,0.24625836252678615,0.25343375641421684,0.2523368014541088,0.2572348802691344,0.26370684581208453,0.259779041088976,0.2631836253776048,0.2521705268178773,0.2460154502211113,0.27214134112400556,0.2628211876401458,0.27425035901330674,0.26864962469032344,0.2662583820425877,0.3323032072561581,0.4099243163587897,0.4208679588450459,0.4531829198898028,0.4601056198353063,0.5143465474836347,0.47697216490233446,0.5382901000044644,0.47755294839435664,0.5809503092810242,0.5234523181570804
p004,p004_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p004_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p004_neutral_front.mat",be0265c7f9e58019854a8930f2c3fc40967a2c0b7a0930d8806d6b57bc77ac34,be0265c7f9e58019854a8930f2c3fc40967a2c0b7a0930d8806d6b57bc77ac34,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p004_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p004_neutral_front.jpg",ff130f3f0674c328ede9b4910fa285eea35eab3d2a8cfe847ad2ad2d53b175ac,ff130f3f0674c328ede9b4910fa285eea35eab3d2a8cfe847ad2ad2d53b175ac,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p004_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p004_neutral_front\right_cheek.npy,d525f2d78bdfa78ab54c809ab8aac23e5e2f8269f895e260a796c1e17189cdd4,d2d9c4335192c41e37897258ef4e3b62df709729f6b1d4f96e91d8388d065f14,9630,10452,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.39412030999490727,0.3130399134036599,0.23242331670804905,0.20298670901849816,0.2001446345899013,0.20011923954664368,0.21517079315822113,0.21962252587361283,0.21667253355615007,0.22335814189667558,0.2255114908350141,0.22025576470927655,0.22341796097386765,0.21697674857455737,0.2163380695487277,0.25486836748103103,0.2385451834164721,0.25007619799041575,0.2507905814490189,0.25226810144396716,0.3019580787075078,0.36501575861441204,0.3759590673155159,0.3991663300478415,0.40395209036476887,0.452799994475301,0.4224247267163807,0.4739220327616521,0.4221353015961306,0.5087625490712767,0.45918256790207174
p005,p005_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p005_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p005_neutral_front.mat",a4b9e38122ac04cca8a5103547d6fac41b0a29bdbfe5d1d8b14a6a16cb596d9e,a4b9e38122ac04cca8a5103547d6fac41b0a29bdbfe5d1d8b14a6a16cb596d9e,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p005_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p005_neutral_front.jpg",7651c816e8abaf723bdc9c4fd67f2218280412cde83d02805fd97481b269882a,7651c816e8abaf723bdc9c4fd67f2218280412cde83d02805fd97481b269882a,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p005_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p005_neutral_front\right_cheek.npy,269aaed09eb5a4d85c0ca17a2ea93984c028c5b5c0cb435d2d6f3a1882df0f49,9bcf0f5c1d745a262cc12d198182de2c923def5018f1646b4e060b0d7b519948,10122,9312,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.3778520312426379,0.29404901233776876,0.21662805235593643,0.18644024578570048,0.17491010754043512,0.17731282137717172,0.19172720646001554,0.19530597672133743,0.19209220210926775,0.19569791540633813,0.19791592742775396,0.19498157511143277,0.19791231516467833,0.18920575160937236,0.18558280544865627,0.21168867317512424,0.2044224443417854,0.21494578262117742,0.2102461961773105,0.2126021649430508,0.2646560720253618,0.3255679639061256,0.33666310227313107,0.361581420749391,0.3681121955802237,0.41474063273578404,0.38805856058910376,0.43728506936443934,0.38971939344107853,0.4727869782439949,0.42758282188467056
p006,p006_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p006_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p006_neutral_front.mat",b564277926569ba9f914a51cd3ff56150cb26385db03c2fdb19d0a801d386033,b564277926569ba9f914a51cd3ff56150cb26385db03c2fdb19d0a801d386033,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p006_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p006_neutral_front.jpg",4ab15221d44c8a3dcef6cda427b84cd46d58356c8b372401c4d3100c948313be,4ab15221d44c8a3dcef6cda427b84cd46d58356c8b372401c4d3100c948313be,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p006_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p006_neutral_front\right_cheek.npy,9dcde1f0363b200c85fd723619aa5b7d88facf21903782f049e49999e18f63db,cb9a893646f0aab09a17c54b0f54acb8fe07367f9e3f5e5d8958531bae8eba2a,10448,9368,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.3778520312426379,0.29589962348183174,0.21919782190445586,0.189543852442629,0.17533137448621022,0.18019002806856982,0.1940948405613718,0.1977816720646905,0.19634611413200412,0.19703823058268885,0.20152425667000778,0.1991739960443454,0.20106427544636502,0.1955817779997233,0.19409262702611274,0.21580214179674384,0.20983331099208832,0.22110423696572892,0.22028545925182016,0.21625603079492595,0.2603717790261306,0.31335353417383544,0.31820042323087544,0.3445489685626541,0.3548318777531202,0.4029242817588147,0.380014209089546,0.43001488469311605,0.3848169864001283,0.46649033786423805,0.4229523288040229
p007,p007_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p007_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p007_neutral_front.mat",fd41f1ed6dd3405e055c75f349190890c006673c404cd0da41e749d5a0a42b18,fd41f1ed6dd3405e055c75f349190890c006673c404cd0da41e749d5a0a42b18,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p007_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p007_neutral_front.jpg",c991b1ca588593e648fc4189a0b30647040f5989cbfe666ae3069ab812261a38,c991b1ca588593e648fc4189a0b30647040f5989cbfe666ae3069ab812261a38,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p007_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p007_neutral_front\right_cheek.npy,a81995325d1fb570b74aeebcee601e0d113db325bdf9536c450b4c41949d00b9,e531a16bc06f153c224d9fc4f34ab64faddc0f17b63252e2879e268b3a0bca20,11276,10845,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.3778520312426379,0.2956553067500755,0.21741987259006054,0.18731491610656908,0.16723440182054986,0.17046138091776702,0.18064906261412136,0.18114424393169057,0.17595439362341134,0.17397339585101812,0.1751796262743141,0.17403956082304586,0.1767883371075436,0.17306070833192075,0.17385794221600848,0.18821433239169846,0.1932793088208705,0.20913393965797733,0.2131762077125527,0.20639163348929587,0.24016112967287004,0.2842923478630626,0.2838722636264467,0.3111684107010653,0.3218156733629433,0.36465183083599084,0.3447770638237278,0.39117482873003695,0.3499180398174426,0.4277351240368287,0.390203436563932
p008,p008_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p008_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p008_neutral_front.mat",5e8abe7a9b1e11e6d10dbd0130193e8f22ac3473637fd9cb8fe55bf1f50f7dcc,5e8abe7a9b1e11e6d10dbd0130193e8f22ac3473637fd9cb8fe55bf1f50f7dcc,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p008_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p008_neutral_front.jpg",52c614d8c89e4bbaf974b4a636729696b28776a8920d06b86a219c78fe4f1e90,52c614d8c89e4bbaf974b4a636729696b28776a8920d06b86a219c78fe4f1e90,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p008_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p008_neutral_front\right_cheek.npy,ae7c4f3aa7b92a81ea82b3aa295f7a6ef1249b7a7d94929f9a9c5cb71b8c5979,728cf4a12e5549ef4f69712d42aeb7c912861bab1d2d681da96df87048835eed,11066,9381,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.446153849363327,0.3950988228857034,0.364772004626094,0.380855759271315,0.34949838450970333,0.3110786170884368,0.30292924034802393,0.29808309020517026,0.288054423093134,0.27560477964417845,0.25677275821765,0.26781450167769905,0.2694629297240633,0.23103491001696574,0.22502732622009888,0.2631608680471404,0.22582034155589062,0.25068754422662654,0.23521436222550113,0.23494920521279974,0.26321996657694013,0.27768069680992563,0.3066185473473078,0.31911724118071444,0.32098696208751726,0.34210759784125183,0.36067795070597225,0.3922026709533151,0.3487173125153229,0.40432736222030813,0.39766818872133847
p009,p009_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p009_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p009_neutral_front.mat",9a03dfd7718600b67e93a85aebb92b039e45696f2cfeb29ace6a6bde20664673,9a03dfd7718600b67e93a85aebb92b039e45696f2cfeb29ace6a6bde20664673,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p009_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p009_neutral_front.jpg",fd4cef247879f82eda87948622db09eb8554806c64e12e2594be6c474774fa5a,fd4cef247879f82eda87948622db09eb8554806c64e12e2594be6c474774fa5a,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p009_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p009_neutral_front\right_cheek.npy,b41a7caf26450e0bc7e6ce90191938643744e2a5b72b1ceed1ab0a51a8acd5b0,8dad11ed419f81ae352455c0e0691dd2856f34b8bc191782818c1f1df8c2dcc0,9552,9766,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.38816187096040733,0.30657911707386737,0.22570990947505912,0.20062230508698062,0.16854730252191102,0.1728198732501167,0.1847923424512,0.17383378457568086,0.1739830329865872,0.17154715785073596,0.17218410826153216,0.17218234838936394,0.16871101413298845,0.15641834216481165,0.15578108788210424,0.16450337008802166,0.1626430326762266,0.16513410368848302,0.1734109219297925,0.17495840320464262,0.20736953786216175,0.2499491013953425,0.25705876163687097,0.2800140316992405,0.280423546071739,0.30627986031800186,0.2960316878874328,0.3223128599523887,0.29898292764858736,0.34493917231148485,0.3347259766992861
p010,p010_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p010_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p010_neutral_front.mat",a323d750e31737a19d6f5ecd3e03890696adb90de3aabe7f81faceeddbb078ed,a323d750e31737a19d6f5ecd3e03890696adb90de3aabe7f81faceeddbb078ed,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p010_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p010_neutral_front.jpg",7b352a3d501bd6bf99e0013b9f89235ce1b70a1d8a382ae4df7078c7a1c9cfe1,7b352a3d501bd6bf99e0013b9f89235ce1b70a1d8a382ae4df7078c7a1c9cfe1,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p010_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p010_neutral_front\right_cheek.npy,4beddadfd3542fe378739efefa1e734728e6907ca5c4e8a6d9d8766bae88eb93,55ad12517761cb99757bc778c0fdf01d632b3343cbba55ecaad03258828d374b,12947,12611,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.43282856102524886,0.35381293927024354,0.2640309102094078,0.23546264321098268,0.20847399861783455,0.21789912609829004,0.23799383551529715,0.23270872082685165,0.2352022824382737,0.23744099869158394,0.24232143428411274,0.24300004662845312,0.23849012430839234,0.22079867034156164,0.21610781354238914,0.2351207032758806,0.22913337486536325,0.23138810901126264,0.23802979566643997,0.24893867197661412,0.31175440421877976,0.3893438703906327,0.408796028682343,0.44793990363302005,0.44913719282870923,0.4879711680690023,0.4654221959051277,0.5110291447247269,0.4679378407301052,0.542839586586754,0.5229739964750906
p011,p011_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p011_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p011_neutral_front.mat",050b9586ba542b075364bd95d130c503745b6b0f42faa9582c516fb0c5dd9228,050b9586ba542b075364bd95d130c503745b6b0f42faa9582c516fb0c5dd9228,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p011_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p011_neutral_front.jpg",662a7dba246e535422ceba3f51548353335a5d24ef48eceaf84e5b73b8c0e37f,662a7dba246e535422ceba3f51548353335a5d24ef48eceaf84e5b73b8c0e37f,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p011_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p011_neutral_front\right_cheek.npy,91d98387e347c6f24c52bd10087ebe1dedf34c601bdf2037fd9e873e9d5f6787,0b7a8b92a66351fb7a2efb230c5457de9be124997729c4b0b57a93c94bebe9a6,11564,14615,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.4641998566228338,0.4167518941493064,0.32132507345756134,0.2910153705659118,0.2842802911619999,0.297441683082612,0.3287059029055654,0.3247686216374853,0.3297796895106666,0.3394567576511507,0.34663854560388785,0.34618005938542346,0.34409849300217793,0.327526959836505,0.32924104487894884,0.3630571728789449,0.34574105228023444,0.3487008433976722,0.3637296743902544,0.3712593784306828,0.43546985042665554,0.5282659689080993,0.5489750014367831,0.5974197583948088,0.5988713303234283,0.6448722848025303,0.612928828106331,0.6701298596359193,0.6069997664364661,0.6979648920080784,0.6654696749380842
p012,p012_neutral_front,train,neutral,front,KM2L-HF-v2R,white_reference_normalized_reflectance,bilateral_log_geometric_mean_from_v1_raw_float64_region_medians,left_cheek,right_cheek,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p012_neutral_front.mat","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\VIS\p012_neutral_front.mat",03c88ca8eb94e7454cf67f22c63a807ca6280bc8614d434641d5ed73b0937576,03c88ca8eb94e7454cf67f22c63a807ca6280bc8614d434641d5ed73b0937576,"E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p012_neutral_front.jpg","E:\projects\face2\data\raw\Hyper-Skin(RGB, VIS)\train\RGB\p012_neutral_front.jpg",59ddebc145dcc1797c0bddb3ce766620a6c9b7d66790d56010dd70e53f14be11,59ddebc145dcc1797c0bddb3ce766620a6c9b7d66790d56010dd70e53f14be11,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p012_neutral_front\left_cheek.npy,E:\projects\face2\data\processed\HyperSkin_Stage1_v1\masks\r2\train\p012_neutral_front\right_cheek.npy,7f40e643c36d29e409c51e5ad21846ffdeca38f2603f95ade422d2ca18a2d0b8,7926ca0fea40438eba0dc700b94cb1afbd838c0d2ae8d342fe4ddc5f401da567,13301,14208,transpose,1.0,False,False,none,natural_log_reflectance,0.0,PASS,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28","0,1,29,30",0.44194173613424975,0.3713181454011055,0.28149750610550694,0.25189116214898405,0.22622257767454254,0.24174600066218221,0.26668180981237644,0.26095004546535583,0.2649252226859228,0.26591442032550133,0.2719260075531116,0.2731194927290629,0.2697486125483756,0.25475856739465674,0.25369968490606193,0.26475016629951964,0.26601721352659347,0.2695651748970883,0.2810508646846893,0.2811635043779099,0.3298303531787927,0.39718802361573863,0.40666391622918086,0.4470152832621994,0.44969392426395205,0.4844253789647375,0.46430374268773594,0.5069074005675384,0.4639366714136026,0.5343731214234972,0.5147542213417127
