candidate,subject_id,outer_fold,start_index,selected,success,valid,logrmse,cost,nfev,status,optimality,initial_theta,final_theta
V2R-PS,p004,1,0,False,True,True,0.05475530015956082,0.04047492909010862,8,1,2.1148902818551985e-09,"[0.1912829272262752,0.07419130830094219]","[0.09849210763198744,0.05540229315670691]"
V2R-PS,p004,1,1,False,True,True,0.054755300159560885,0.040474929090108726,9,1,2.036691554953855e-09,"[0.21809229601174593,0.042451652325689794]","[0.09849210745447087,0.05540229399147191]"
V2R-PS,p004,1,2,False,True,True,0.05475530015956088,0.040474929090108705,9,2,1.5097719751335427e-08,"[0.37192475334741176,0.08658262416720391]","[0.0984921088220491,0.05540228789670886]"
V2R-PS,p004,1,3,False,True,True,0.05475530015956085,0.04047492909010866,9,2,1.4983766274781424e-08,"[0.07618172160349786,0.005038169119507075]","[0.09849210789101001,0.05540229177432107]"
V2R-PS,p004,1,4,False,True,True,0.05475530015956083,0.04047492909010863,8,1,5.396976634440426e-09,"[0.04052504876628518,0.08794409250840546]","[0.09849210758880864,0.05540229331968748]"
V2R-PS,p004,1,5,False,True,True,0.05475530015956079,0.040474929090108566,11,1,5.619846864448955e-09,"[0.38983440153300764,0.01889659892767668]","[0.0984921077893538,0.05540229249894977]"
V2R-PS,p004,1,6,True,True,True,0.05475530015956073,0.04047492909010848,10,1,5.626538035159003e-09,"[0.3034846465010196,0.050555084273219114]","[0.09849210803674126,0.05540229121055276]"
V2R-PS,p004,1,7,False,True,True,0.05475530015956104,0.04047492909010894,7,1,7.457829302788896e-09,"[0.11524162436835468,0.03131236331537366]","[0.09849210904143381,0.055402286486981006]"
V2R-PS,p004,1,8,False,True,True,0.054755300159560906,0.04047492909010875,7,1,6.689202963860332e-09,"[0.15009122821502388,0.0771727821789682]","[0.09849210748822891,0.05540229382728952]"
V2R-PS,p004,1,9,False,True,True,0.05475530015956076,0.040474929090108525,10,2,1.045674325255692e-08,"[0.28458431442268195,0.008125193230807782]","[0.09849210810130213,0.05540229120037741]"
V2R-PS,p004,1,10,False,True,True,0.05475530015956082,0.040474929090108615,10,1,2.0448624681094857e-09,"[0.41293273493647575,0.0647571187466383]","[0.0984921081372543,0.055402290689493094]"
V2R-PS,p004,1,11,False,True,True,0.054755300159560934,0.04047492909010879,7,2,9.475731899785968e-08,"[0.009873420614749193,0.04551411168649793]","[0.0984921069868403,0.05540229522798426]"
V2R-PS,p004,1,12,False,True,True,0.054755300159560816,0.04047492909010861,6,2,2.8609590756268885e-08,"[0.0816380116250366,0.05986782340332866]","[0.09849210783131301,0.05540229180890839]"
V2R-PS,p004,1,13,False,True,True,0.054755300159560906,0.04047492909010875,10,1,5.383777958397027e-09,"[0.32363108181394634,0.028127881325781347]","[0.09849210845665067,0.05540228934676472]"
V2R-PS,p004,1,14,False,True,True,0.054755300159560975,0.040474929090108844,8,2,2.383772916953624e-08,"[0.26218796622008084,0.09728121683001519]","[0.09849210863981787,0.05540228915859067]"
V2R-PS,p004,1,15,False,True,True,0.05475530015956093,0.040474929090108774,10,1,5.920419030068718e-09,"[0.18162866150960325,0.015736666414886715]","[0.09849210762043248,0.055402293221852264]"
V2R-PS,p004,1,16,False,True,True,0.05475530015956081,0.0404749290901086,7,1,2.170473461324276e-09,"[0.1709130131546408,0.09672015681862832]","[0.09849210790123543,0.055402291842334944]"
V2R-PS,p004,1,17,False,True,True,0.05475530015956075,0.04047492909010852,10,1,3.047627467456647e-09,"[0.25189235507510604,0.015175800118595362]","[0.09849210779202025,0.05540229237907005]"
