candidate,subject_id,outer_fold,wavelength_nm,signed_residual,log_residual,band_role
V2R-PS,p004,1,400,-0.18685820369639575,-0.642669724204632,edge_diagnostic
V2R-PS,p004,1,410,-0.10708243530787559,-0.4186593099162894,edge_diagnostic
V2R-PS,p004,1,420,-0.027438361341825396,-0.12562318611635592,fit
V2R-PS,p004,1,430,0.00141464682058276,0.006944953392785225,fit
V2R-PS,p004,1,440,0.004451460391053513,0.021997380379416454,fit
V2R-PS,p004,1,450,0.0075460915532754025,0.03701423059250031,fit
V2R-PS,p004,1,460,-0.002712170807847747,-0.012684789171024224,fit
V2R-PS,p004,1,470,-0.002658722321077084,-0.012179689694418405,fit
V2R-PS,p004,1,480,0.00522285869060643,0.023818804286581674,fit
V2R-PS,p004,1,490,0.0030572326455681753,0.013594691658615377,fit
V2R-PS,p004,1,500,0.005546199598085999,0.02429620025192869,fit
V2R-PS,p004,1,510,0.014660924857433394,0.06444121750571385,fit
V2R-PS,p004,1,520,0.012359694918627567,0.05384470858198798,fit
V2R-PS,p004,1,530,0.01405371359378707,0.06275909395871082,fit
V2R-PS,p004,1,540,0.011493890352341968,0.05176578511759189,fit
V2R-PS,p004,1,550,-0.02243292122902807,-0.09213429130094553,fit
V2R-PS,p004,1,560,0.0007946573310778915,0.003325715172544319,fit
V2R-PS,p004,1,570,-0.012868833901555077,-0.052830733898171944,fit
V2R-PS,p004,1,580,-0.013113673132968962,-0.05370581071008784,fit
V2R-PS,p004,1,590,0.02240188285950878,0.08507758004496901,fit
V2R-PS,p004,1,600,0.0184846591526433,0.05941520882752438,fit
V2R-PS,p004,1,610,-0.018183605135693393,-0.05109942793719813,fit
V2R-PS,p004,1,620,-0.007936830416485796,-0.021336853878947015,fit
V2R-PS,p004,1,630,-0.013852584067962526,-0.03532018020651084,fit
V2R-PS,p004,1,640,-0.0038559313285206898,-0.009591343057267054,fit
V2R-PS,p004,1,650,-0.039392055148025296,-0.09101545223509122,fit
V2R-PS,p004,1,660,0.003926265363256465,0.009251640992201549,fit
V2R-PS,p004,1,670,-0.03533693585748987,-0.07748879369389416,fit
V2R-PS,p004,1,680,0.028336687718736042,0.06496986667477811,fit
V2R-PS,p004,1,690,-0.046872776646328496,-0.09665492867659453,edge_diagnostic
V2R-PS,p004,1,700,0.012834191458093225,0.027566550461081918,edge_diagnostic
V2R-PS,p006,1,400,-0.18699850112416502,-0.6829937983298812,edge_diagnostic
V2R-PS,p006,1,410,-0.10651846279007249,-0.4462566786908502,edge_diagnostic
V2R-PS,p006,1,420,-0.031051633236398674,-0.15275460557966292,fit
V2R-PS,p006,1,430,-0.002359053189183835,-0.01252398239060204,fit
V2R-PS,p006,1,440,0.011431824138373153,0.06316339589621567,fit
V2R-PS,p006,1,450,0.00822960096746464,0.044659296900939394,fit
V2R-PS,p006,1,460,-0.0025459729251469387,-0.013203880453921624,fit
V2R-PS,p006,1,470,-0.003185064561115447,-0.016234936793682264,fit
V2R-PS,p006,1,480,0.001719459647139876,0.008719122043923333,fit
