candidate,outer_fold,subject_id,role
V2R-PS,1,p003,train_global_estimation
V2R-PS,1,p005,train_global_estimation
V2R-PS,1,p007,train_global_estimation
V2R-PS,1,p008,train_global_estimation
V2R-PS,1,p009,train_global_estimation
V2R-PS,1,p010,train_global_estimation
V2R-PS,1,p012,train_global_estimation
V2R-PS,1,p013,train_global_estimation
V2R-PS,1,p014,train_global_estimation
V2R-PS,1,p015,train_global_estimation
V2R-PS,1,p017,train_global_estimation
V2R-PS,1,p018,train_global_estimation
V2R-PS,1,p020,train_global_estimation
V2R-PS,1,p021,train_global_estimation
V2R-PS,1,p022,train_global_estimation
V2R-PS,1,p023,train_global_estimation
V2R-PS,1,p024,train_global_estimation
V2R-PS,1,p025,train_global_estimation
V2R-PS,1,p026,train_global_estimation
V2R-PS,1,p027,train_global_estimation
V2R-PS,1,p028,train_global_estimation
V2R-PS,1,p029,train_global_estimation
V2R-PS,1,p031,train_global_estimation
V2R-PS,1,p033,train_global_estimation
V2R-PS,1,p034,train_global_estimation
V2R-PS,1,p037,train_global_estimation
V2R-PS,1,p038,train_global_estimation
V2R-PS,1,p040,train_global_estimation
V2R-PS,1,p041,train_global_estimation
V2R-PS,1,p042,train_global_estimation
V2R-PS,1,p043,train_global_estimation
V2R-PS,1,p045,train_global_estimation
V2R-PS,1,p046,train_global_estimation
V2R-PS,1,p047,train_global_estimation
V2R-PS,1,p048,train_global_estimation
V2R-PS,1,p004,held_out_oof
V2R-PS,1,p006,held_out_oof
V2R-PS,1,p011,held_out_oof
V2R-PS,1,p019,held_out_oof
V2R-PS,1,p032,held_out_oof
V2R-PS,1,p044,held_out_oof
V2R-PS,1,p049,held_out_oof
V2R-PS,1,p050,held_out_oof
V2R-PS,1,p051,held_out_oof
V2R-PS,2,p004,train_global_estimation
V2R-PS,2,p005,train_global_estimation
V2R-PS,2,p006,train_global_estimation
V2R-PS,2,p007,train_global_estimation
V2R-PS,2,p008,train_global_estimation
V2R-PS,2,p009,train_global_estimation
V2R-PS,2,p011,train_global_estimation
V2R-PS,2,p012,train_global_estimation
V2R-PS,2,p014,train_global_estimation
V2R-PS,2,p015,train_global_estimation
V2R-PS,2,p017,train_global_estimation
V2R-PS,2,p019,train_global_estimation
V2R-PS,2,p021,train_global_estimation
V2R-PS,2,p022,train_global_estimation
V2R-PS,2,p024,train_global_estimation
V2R-PS,2,p025,train_global_estimation
V2R-PS,2,p026,train_global_estimation
V2R-PS,2,p027,train_global_estimation
V2R-PS,2,p028,train_global_estimation
V2R-PS,2,p029,train_global_estimation
V2R-PS,2,p031,train_global_estimation
V2R-PS,2,p032,train_global_estimation
V2R-PS,2,p033,train_global_estimation
V2R-PS,2,p034,train_global_estimation
V2R-PS,2,p040,train_global_estimation
V2R-PS,2,p042,train_global_estimation
