artifact,path,content_kind,window,content_reads
historical_r_c0_decision,E:\projects\face2\outputs\skin_optics_hsi_v2r\stage1_hsi_physics\km_bio_v2r_candidate_ladder\candidate_decision.json,registered_summary_artifact,stage1_decision_gate,1
optical_asset_10nm,E:\projects\face2\data\external\SO0_Spectral_Assets_v1\processed\SO0_Spectral_Standardized_v1\production_10nm\derived_optics_10nm.npz,coefficient_asset_hash_only,stage1_decision_gate,0
r_b_observation_audit,E:\projects\face2\outputs\skin_optics_hsi_v2r\stage1_hsi_physics\km_bio_v2r_observation_audit\audit_summary.json,registered_summary_artifact,stage1_decision_gate,1
r_b_side_pair_audit,E:\projects\face2\outputs\skin_optics_hsi_v2r\stage1_hsi_physics\km_bio_v2r_observation_audit\side_pair_audit.csv,registered_summary_artifact,stage1_decision_gate,1
r_c0r_audit,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_candidate_ladder_resume\audit_summary.json,registered_summary_artifact,stage1_decision_gate,1
r_c0r_decision,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_candidate_ladder_resume\r_c0r_decision.json,registered_summary_artifact,stage1_decision_gate,1
r_c0r_fold_manifest,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_candidate_ladder_resume\fold_manifest.csv,registered_summary_artifact,stage1_decision_gate,1
r_c0r_global_profile_summary,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_candidate_ladder_resume\global_profile_summary.csv,registered_summary_artifact,stage1_decision_gate,1
r_c1r_decision,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_c1r\r_c1r_decision.json,registered_summary_artifact,stage1_decision_gate,1
r_c1r_integrity_audit,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_c1r\r_c1r_integrity_audit.json,registered_summary_artifact,stage1_decision_gate,1
r_c1r_parameter_profile_summary,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_c1r\parameter_profile_summary.csv,registered_summary_artifact,stage1_decision_gate,1
r_c1r_side_pressure_linkage,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_c1r\side_pressure_linkage.csv,registered_summary_artifact,stage1_decision_gate,1
r_d_decision,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_rd\r_d_decision.json,registered_summary_artifact,stage1_decision_gate,1
r_d_direction_consistency_summary,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_rd\direction_consistency_summary.csv,registered_summary_artifact,stage1_decision_gate,1
r_d_edge_band_comparison,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_rd\edge_band_residual_comparison.csv,registered_summary_artifact,stage1_decision_gate,1
r_d_frozen_global_parameters,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_rd\frozen_global_parameters.json,registered_summary_artifact,stage1_decision_gate,1
r_d_integrity_audit,E:\projects\face2\outputs\skin_optics_hsi_v2r1\stage1_hsi_physics\km_bio_v2r1_stage_rd\r_d_integrity_audit.json,registered_summary_artifact,stage1_decision_gate,1
v1_stage_c_decision,E:\projects\face2\outputs\skin_optics_hsi_v1\stage1_hsi_physics\km_bio_v1_train_inversion\stage_c_decision.json,registered_summary_artifact,stage1_decision_gate,1
v2r_formula_audit,E:\projects\face2\outputs\skin_optics_hsi_v2r\stage1_hsi_physics\km_bio_v2r_formula_audit\audit_summary.json,registered_summary_artifact,stage1_decision_gate,1
raw_hsi,,forbidden_content,stage1_decision_gate,0
rgb,,forbidden_content,stage1_decision_gate,0
validation,,forbidden_content,stage1_decision_gate,0
test,,forbidden_content,stage1_decision_gate,0
clinical_500,,forbidden_content,stage1_decision_gate,0
