candidate,subject_id,outer_fold,f_mel,f_blood,logrmse,rmse,sam_deg,f_mel_boundary,f_blood_boundary,converged
V2R-PS,p003,2,0.0803294618900775,0.06500562944080561,0.057922125503376665,0.02151527044316175,3.5032867766122355,False,False,True
V2R-PS,p004,1,0.09849210815777225,0.055402290706945925,0.054755300159560816,0.016683258687614395,3.1695802307314476,False,False,True
V2R-PS,p005,4,0.1127669139308706,0.08503554456255626,0.060194150953089234,0.017074355544139892,3.5239710086226763,False,False,True
V2R-PS,p006,1,0.11109510912669222,0.0846861026954201,0.05478535833554418,0.01443000360514126,3.1276928780054267,False,False,True
V2R-PS,p007,5,0.12662226203013655,0.09273104042313207,0.06925428454349887,0.015537070727019781,3.69443333977136,False,False,True
V2R-PS,p008,3,0.07605818791524804,0.09999999999999999,0.2340761645959272,0.0772112096789359,13.700815923019151,False,True,True
V2R-PS,p009,5,0.14106051809414064,0.09999999999999999,0.10180930418799193,0.021504206985872937,5.5129232846749865,False,True,True
V2R-PS,p010,2,0.083794507835069,0.09999999999999966,0.0690430256226355,0.023983883107272987,3.9686727541001567,False,True,True
V2R-PS,p011,1,0.05288854565291633,0.03875959382729656,0.06952233906578591,0.03608437146182735,4.2634753820348,False,False,True
V2R-PS,p012,4,0.0736915464569517,0.09062941757984315,0.048073836563156724,0.0152920869644802,2.624228993589511,False,False,True
V2R-PS,p013,2,0.08010023824883519,0.09999999999999999,0.053085075834672577,0.015789594404407078,2.8601111730062367,False,True,True
V2R-PS,p014,3,0.13925407692230435,0.09999999999999999,0.11880098159726898,0.024177202853876437,6.298576064399133,False,True,True
V2R-PS,p015,3,0.07169148732486984,0.09719281470144411,0.046498859639466664,0.014781044510427069,2.5483440520398797,False,False,True
V2R-PS,p017,5,0.07370158390727456,0.035292567408858846,0.07925577178020995,0.035170311041045135,4.685784799659054,False,False,True
V2R-PS,p018,2,0.13599722214757679,0.09999999999999999,0.09568013638873035,0.018982547348680892,4.835493893241811,False,True,True
V2R-PS,p019,1,0.10270063238747941,0.09999999999999999,0.07199964434433495,0.017693029296299102,3.6743821416685045,False,True,True
V2R-PS,p020,2,0.059542961033863195,0.09999999999999999,0.18114392407814967,0.06693620849208412,10.360925014813231,False,True,True
V2R-PS,p021,3,0.05064709361767059,0.09999999999999999,0.13530037331303388,0.051416187807271085,7.454298526152501,False,True,True
V2R-PS,p022,3,0.05424656746198291,0.09999999999999999,0.16897772136720862,0.06450373282438608,9.59189896390905,False,True,True
V2R-PS,p023,2,0.10292087404930311,0.09999999999999999,0.05103417825702529,0.013650328755871768,2.8627931026736055,False,True,True
V2R-PS,p024,5,0.1088930059667102,0.09999999999999991,0.06321482064176347,0.019129295347455794,3.7374742443904014,False,True,True
V2R-PS,p025,4,0.09386785486356874,0.04326636718102286,0.06276243219654778,0.022112195160762346,3.6960936192176113,False,False,True
V2R-PS,p026,4,0.11045496270047218,0.09999999999999999,0.05910624139900964,0.01644417072688724,3.3671375069880565,False,True,True
V2R-PS,p027,4,0.11084789270847299,0.06332227087303204,0.05502575727598976,0.015752211439231698,3.2109934088160834,False,False,True
V2R-PS,p028,3,0.08624712176291373,0.07482432453980009,0.051841279884560894,0.016707881482639863,3.0384997932656224,False,False,True
V2R-PS,p029,4,0.1068950623991599,0.07456082539994746,0.05602507240402133,0.014468071629982726,3.0238526829736583,False,False,True
V2R-PS,p031,4,0.08064010420740611,0.07746394438889946,0.04927597815709913,0.01701676451636982,2.7476666581130096,False,False,True
V2R-PS,p032,1,0.09006866225400717,0.09999999999999999,0.046836692832416926,0.012062167838932368,2.3395493974664108,False,True,True
V2R-PS,p033,3,0.07522859880293559,0.05211796009714342,0.037042224477245034,0.011996099672714481,1.975421376528179,False,False,True
V2R-PS,p034,4,0.06155313737465299,0.04404723854313418,0.0537054770079992,0.024003792619859875,3.1422624103566217,False,False,True
V2R-PS,p037,2,0.08332945073868604,0.042972452324245035,0.04137671606252326,0.012811589643717038,2.1558524509432866,False,False,True
V2R-PS,p038,2,0.11447466708877713,0.0971735423591348,0.06363654304561163,0.013300571945682486,2.983335808023039,False,False,True
V2R-PS,p040,5,0.07173597614115584,0.06843760047250079,0.058252583677651106,0.02440923336417366,3.465541340683569,False,False,True
V2R-PS,p041,2,0.09826476439292609,0.039870683127510076,0.06446331309180896,0.022389153556072267,3.7768852671492086,False,False,True
V2R-PS,p042,5,0.07380604851803485,0.04212114264686448,0.054246132055616764,0.022771484912693308,3.3604760762328514,False,False,True
V2R-PS,p043,3,0.07956023740705946,0.027765440584358737,0.06512761345208641,0.028292913977369025,4.0197532016297375,False,False,True
V2R-PS,p044,1,0.13792463010771563,0.09999999999999999,0.05983637833546101,0.013071216715537244,3.3608932644580167,False,True,True
V2R-PS,p045,5,0.10450866737618766,0.060403006735673476,0.06492892250257153,0.020465496802077605,3.72148938455441,False,False,True
V2R-PS,p046,3,0.13765052928239693,0.09999999999999999,0.11238811255401264,0.023813199616501222,6.0696882319216705,False,True,True
V2R-PS,p047,5,0.11891577956292376,0.09999999999999999,0.07668061211131452,0.018525861740673884,4.142029923869704,False,True,True
V2R-PS,p048,4,0.09976142030783758,0.09999999999999999,0.08915272416537738,0.025284781891019056,4.92855097741799,False,True,True
V2R-PS,p049,1,0.11946425194520804,0.09999999999999999,0.06531188699334148,0.0136515617012693,3.1516668595683566,False,True,True
V2R-PS,p050,1,0.09031702768167994,0.09999999999999999,0.052025330539360294,0.013670701803986642,2.607445109751574,False,True,True
V2R-PS,p051,1,0.09516380255878436,0.09999999999999999,0.05151889200676628,0.013023966534082387,2.5757229260181234,False,True,True
V2R-PSG,p003,2,0.08830536222104075,0.06989795324466895,0.05495560247359162,0.019996550083490546,3.310900066797774,False,False,True
V2R-PSG,p004,1,0.105693157254528,0.057367852673777024,0.05319776412006478,0.01623760875240196,3.1072950532950614,False,False,True
V2R-PSG,p005,4,0.12174243075291631,0.08676579306803063,0.05868276588057618,0.016623405362585615,3.4579122477879354,False,False,True
V2R-PSG,p006,1,0.11889633123815159,0.08783227502286109,0.05378307563524602,0.014238876371390988,3.0893168081168954,False,False,True
V2R-PSG,p007,5,0.13898130391143504,0.09316646731112893,0.06717394591399786,0.01528499889246287,3.63404226408666,False,False,True
V2R-PSG,p008,3,0.10556625401476714,0.09999999999999999,0.24890374385277353,0.0820123414513206,14.650566178074767,False,True,True
V2R-PSG,p009,5,0.15448647803215165,0.09999999999999999,0.10063111773940547,0.021411365613952134,5.506318696985399,False,True,True
V2R-PSG,p010,2,0.09310122661603792,0.09999999999999999,0.06627798121174949,0.022498222319715572,3.7812411725327806,False,True,True
V2R-PSG,p011,1,0.058035743995924,0.04172450871543662,0.062450186783735435,0.032028236858130506,3.828904058835734,False,False,True
V2R-PSG,p012,4,0.08027400052483204,0.09999683802302003,0.04783598178634061,0.015461299179398333,2.641479712553426,False,True,True
V2R-PSG,p013,2,0.08933566908087806,0.09999999999999999,0.05297350120963458,0.016060843828187763,2.897817904893675,False,True,True
V2R-PSG,p014,3,0.17510714946573946,0.09999999999999999,0.11189958142586509,0.023096103135151577,6.060917554111232,False,True,True
V2R-PSG,p015,3,0.09804984939552214,0.09999999999999995,0.04956330061702112,0.017222531824934405,2.8751134305504644,False,True,True
V2R-PSG,p017,5,0.08229582398402463,0.03739617545392812,0.07113899384450578,0.03112381371035579,4.1950695255336745,False,False,True
V2R-PSG,p018,2,0.14764907782365377,0.09999999999999999,0.09389089842742801,0.018767823713592462,4.780914277038579,False,True,True
V2R-PSG,p019,1,0.11083327912614749,0.09999999999999999,0.07135234374361618,0.01755871011364976,3.655279303249526,False,True,True
V2R-PSG,p020,2,0.06839407402906306,0.09999999999999999,0.18904670070611385,0.07013898819696635,10.837952140312643,False,True,True
V2R-PSG,p021,3,0.07583565260698569,0.09999999999999999,0.156668073088254,0.06116321839391464,8.7377440574097,False,True,True
V2R-PSG,p022,3,0.0802675389888039,0.09999999999999999,0.19257582218444327,0.07433168491121661,11.018036041122588,False,True,True
V2R-PSG,p023,2,0.1131070922601815,0.09999999999999999,0.052522496997963554,0.014115523113503127,2.9473488819435105,False,True,True
V2R-PSG,p024,5,0.12045974390548353,0.09999999999999999,0.061521180322651046,0.018344468639320693,3.625296747598763,False,True,True
V2R-PSG,p025,4,0.10162757688366084,0.04479463348910682,0.0593856619344468,0.020524166861167835,3.4786707102330863,False,False,True
V2R-PSG,p026,4,0.11972228485174216,0.09999999999999998,0.057652769754141485,0.015899039025534502,3.2837157049036967,False,True,True
V2R-PSG,p027,4,0.11956042671259645,0.06485869474692323,0.05310009469983493,0.01509989166579716,3.1004792346155163,False,False,True
V2R-PSG,p028,3,0.11124582456513488,0.09338758601388873,0.05239383148652077,0.01618075185140819,2.972437371981189,False,False,True
V2R-PSG,p029,4,0.11531238217619662,0.0781829167677886,0.05502633218028707,0.014454330756270634,3.0102070528410185,False,False,True
V2R-PSG,p031,4,0.08782599557218086,0.08255191910394016,0.04608392363193486,0.01561527738706352,2.5723120560530757,False,False,True
V2R-PSG,p032,1,0.09776094022294017,0.09999999999999999,0.0461700103048546,0.012295618359781775,2.366713570121042,False,True,True
V2R-PSG,p033,3,0.0981961260778893,0.06639475781256186,0.03872986155797589,0.013448858068967586,2.152907843553036,False,False,True
V2R-PSG,p034,4,0.06768497638488896,0.04766111547901934,0.04804242158684069,0.020825748443476823,2.7890280358464516,False,False,True
V2R-PSG,p037,2,0.09140168727766955,0.04585530531586332,0.039281564298109785,0.011976153647720448,2.0441861022919996,False,False,True
V2R-PSG,p038,2,0.1247087252924846,0.09999999999999999,0.061492141563767005,0.013053132848220291,2.923007558356869,False,True,True
V2R-PSG,p040,5,0.08026299365586988,0.07431707164515595,0.0523585012559214,0.021449288230254653,3.102263766308558,False,False,True
