candidate,setting,setting_count,median_logrmse,median_abs_delta_f_mel,median_abs_delta_f_blood,max_abs_delta_f_mel,max_abs_delta_f_blood,boundary_fraction,all_converged
V2R-PS,bandwidth_430_670,1,0.05402449430467147,0.0015598990648164474,0.003945751242116404,0.005231911196739089,0.027227869134926017,0.38636363636363635,True
V2R-PS,bandwidth_440_660,1,0.04891672346441093,0.0027789925886165592,0.003949969396754988,0.008943664055531986,0.04105147436510584,0.36363636363636365,True
V2R-PS,delta_bs_shift,2,0.061466238891761095,0.0004401018346616263,2.0816681711721685e-16,0.0029468926810876928,0.012546091917340976,0.5227272727272727,True
V2R-PS,diameter_um,4,0.061661910100518566,0.000308278376619793,3.4896280795559953e-09,0.001670591277234089,0.009397668819214416,0.4772727272727273,True
V2R-PS,epidermis_thickness_mm,3,0.06390398398760756,0.004321829871487826,4.949520307495625e-09,0.012080818964244427,0.03481860389047961,0.4772727272727273,True
V2R-PS,s0,3,0.0629886264191554,0.0005304258735754977,3.982721909212561e-09,0.0033253859603291636,0.02142011746418092,0.4621212121212121,True
V2R-PS,scattering_amplitude_multiplier,3,0.06167674310707237,0.003392890544447122,5.112464340761846e-10,0.009931399787305478,0.007980014708840591,0.48484848484848486,True
V2R-PS,whole_blood_hb_g_l,3,0.06297620332550954,0.000129459434532464,4.27196948996067e-09,0.005289553464888991,0.0315623995274992,0.5075757575757576,True
V2R-PSG,bandwidth_430_670,1,0.051670385432070365,0.0012044590880827405,0.0026082682153938143,0.005183394840682309,0.02819028076966361,0.4318181818181818,True
V2R-PSG,bandwidth_440_660,1,0.04815935537134118,0.0023878324292985545,0.0022089836636708833,0.008777050627996483,0.04237366126815049,0.4090909090909091,True
V2R-PSG,delta_bs_shift,2,0.05874162741706005,0.000491765272100958,5.551115123125783e-17,0.003132367348380613,0.013243452652599241,0.5795454545454546,True
V2R-PSG,diameter_um,4,0.0588190698153855,0.000283360583453407,8.766251613501197e-13,0.0014958196959400233,0.009854645129916378,0.5284090909090909,True
V2R-PSG,epidermis_thickness_mm,3,0.06248932303612452,0.004959322027287577,3.879980225995894e-10,0.015181772071429511,0.03939670108211404,0.5378787878787878,True
V2R-PSG,s0,3,0.061050579609768674,0.0006233732152491206,2.4675859272571543e-10,0.0036574883084309617,0.0194524345832517,0.5075757575757576,True
V2R-PSG,scattering_amplitude_multiplier,3,0.05887013843442768,0.003715595475336092,8.326672684688674e-17,0.011684514268413965,0.010183164304548464,0.5378787878787878,True
V2R-PSG,whole_blood_hb_g_l,3,0.05952817502502519,0.00010585302404904351,3.879980225995894e-10,0.005272065549452878,0.030102046755331027,0.553030303030303,True
