candidate,subject_id,parameter,value
V2R-PSG,p003,f_mel,0.0803294618900775
V2R-PSG,p003,f_blood,0.06500562944080561
V2R-PSG,p004,f_mel,0.09849210815777225
V2R-PSG,p004,f_blood,0.055402290706945925
V2R-PSG,p005,f_mel,0.1127669139308706
V2R-PSG,p005,f_blood,0.08503554456255626
V2R-PSG,p006,f_mel,0.11109510912669222
V2R-PSG,p006,f_blood,0.0846861026954201
V2R-PSG,p007,f_mel,0.12662226203013655
V2R-PSG,p007,f_blood,0.09273104042313207
V2R-PSG,p008,f_mel,0.07605818791524804
V2R-PSG,p008,f_blood,0.09999999999999999
V2R-PSG,p009,f_mel,0.14106051809414064
V2R-PSG,p009,f_blood,0.09999999999999999
V2R-PSG,p010,f_mel,0.083794507835069
V2R-PSG,p010,f_blood,0.09999999999999966
V2R-PSG,p011,f_mel,0.05288854565291633
V2R-PSG,p011,f_blood,0.03875959382729656
V2R-PSG,p012,f_mel,0.0736915464569517
V2R-PSG,p012,f_blood,0.09062941757984315
V2R-PSG,p013,f_mel,0.08010023824883519
V2R-PSG,p013,f_blood,0.09999999999999999
V2R-PSG,p014,f_mel,0.13925407692230435
V2R-PSG,p014,f_blood,0.09999999999999999
V2R-PSG,p015,f_mel,0.07169148732486984
V2R-PSG,p015,f_blood,0.09719281470144411
V2R-PSG,p017,f_mel,0.07370158390727456
V2R-PSG,p017,f_blood,0.035292567408858846
V2R-PSG,p018,f_mel,0.13599722214757679
V2R-PSG,p018,f_blood,0.09999999999999999
V2R-PSG,p019,f_mel,0.10270063238747941
V2R-PSG,p019,f_blood,0.09999999999999999
V2R-PSG,p020,f_mel,0.059542961033863195
V2R-PSG,p020,f_blood,0.09999999999999999
V2R-PSG,p021,f_mel,0.05064709361767059
V2R-PSG,p021,f_blood,0.09999999999999999
V2R-PSG,p022,f_mel,0.05424656746198291
V2R-PSG,p022,f_blood,0.09999999999999999
V2R-PSG,p023,f_mel,0.10292087404930311
V2R-PSG,p023,f_blood,0.09999999999999999
V2R-PSG,p024,f_mel,0.1088930059667102
V2R-PSG,p024,f_blood,0.09999999999999991
V2R-PSG,p025,f_mel,0.09386785486356874
V2R-PSG,p025,f_blood,0.04326636718102286
V2R-PSG,p026,f_mel,0.11045496270047218
V2R-PSG,p026,f_blood,0.09999999999999999
V2R-PSG,p027,f_mel,0.11084789270847299
V2R-PSG,p027,f_blood,0.06332227087303204
V2R-PSG,p028,f_mel,0.08624712176291373
V2R-PSG,p028,f_blood,0.07482432453980009
V2R-PSG,p029,f_mel,0.1068950623991599
V2R-PSG,p029,f_blood,0.07456082539994746
V2R-PSG,p031,f_mel,0.08064010420740611
V2R-PSG,p031,f_blood,0.07746394438889946
V2R-PSG,p032,f_mel,0.09006866225400717
V2R-PSG,p032,f_blood,0.09999999999999999
V2R-PSG,p033,f_mel,0.07522859880293559
V2R-PSG,p033,f_blood,0.05211796009714342
V2R-PSG,p034,f_mel,0.06155313737465299
V2R-PSG,p034,f_blood,0.04404723854313418
V2R-PSG,p037,f_mel,0.08332945073868604
V2R-PSG,p037,f_blood,0.042972452324245035
V2R-PSG,p038,f_mel,0.11447466708877713
V2R-PSG,p038,f_blood,0.0971735423591348
V2R-PSG,p040,f_mel,0.07173597614115584
V2R-PSG,p040,f_blood,0.06843760047250079
V2R-PSG,p041,f_mel,0.09826476439292609
V2R-PSG,p041,f_blood,0.039870683127510076
V2R-PSG,p042,f_mel,0.07380604851803485
V2R-PSG,p042,f_blood,0.04212114264686448
V2R-PSG,p043,f_mel,0.07956023740705946
V2R-PSG,p043,f_blood,0.027765440584358737
V2R-PSG,p044,f_mel,0.13792463010771563
V2R-PSG,p044,f_blood,0.09999999999999999
V2R-PSG,p045,f_mel,0.10450866737618766
V2R-PSG,p045,f_blood,0.060403006735673476
V2R-PSG,p046,f_mel,0.13765052928239693
V2R-PSG,p046,f_blood,0.09999999999999999
V2R-PSG,p047,f_mel,0.11891577956292376
V2R-PSG,p047,f_blood,0.09999999999999999
V2R-PSG,p048,f_mel,0.09976142030783758
V2R-PSG,p048,f_blood,0.09999999999999999
V2R-PSG,p049,f_mel,0.11946425194520804
V2R-PSG,p049,f_blood,0.09999999999999999
V2R-PSG,p050,f_mel,0.09031702768167994
V2R-PSG,p050,f_blood,0.09999999999999999
V2R-PSG,p051,f_mel,0.09516380255878436
V2R-PSG,p051,f_blood,0.09999999999999999
V2R-PSG,p003,f_mel,0.08830536222104075
V2R-PSG,p003,f_blood,0.06989795324466895
V2R-PSG,p004,f_mel,0.105693157254528
V2R-PSG,p004,f_blood,0.057367852673777024
V2R-PSG,p005,f_mel,0.12174243075291631
V2R-PSG,p005,f_blood,0.08676579306803063
V2R-PSG,p006,f_mel,0.11889633123815159
V2R-PSG,p006,f_blood,0.08783227502286109
V2R-PSG,p007,f_mel,0.13898130391143504
V2R-PSG,p007,f_blood,0.09316646731112893
V2R-PSG,p008,f_mel,0.10556625401476714
V2R-PSG,p008,f_blood,0.09999999999999999
V2R-PSG,p009,f_mel,0.15448647803215165
V2R-PSG,p009,f_blood,0.09999999999999999
V2R-PSG,p010,f_mel,0.09310122661603792
V2R-PSG,p010,f_blood,0.09999999999999999
V2R-PSG,p011,f_mel,0.058035743995924
V2R-PSG,p011,f_blood,0.04172450871543662
V2R-PSG,p012,f_mel,0.08027400052483204
V2R-PSG,p012,f_blood,0.09999683802302003
V2R-PSG,p013,f_mel,0.08933566908087806
V2R-PSG,p013,f_blood,0.09999999999999999
V2R-PSG,p014,f_mel,0.17510714946573946
V2R-PSG,p014,f_blood,0.09999999999999999
V2R-PSG,p015,f_mel,0.09804984939552214
V2R-PSG,p015,f_blood,0.09999999999999995
V2R-PSG,p017,f_mel,0.08229582398402463
V2R-PSG,p017,f_blood,0.03739617545392812
V2R-PSG,p018,f_mel,0.14764907782365377
V2R-PSG,p018,f_blood,0.09999999999999999
V2R-PSG,p019,f_mel,0.11083327912614749
V2R-PSG,p019,f_blood,0.09999999999999999
V2R-PSG,p020,f_mel,0.06839407402906306
V2R-PSG,p020,f_blood,0.09999999999999999
V2R-PSG,p021,f_mel,0.07583565260698569
V2R-PSG,p021,f_blood,0.09999999999999999
V2R-PSG,p022,f_mel,0.0802675389888039
V2R-PSG,p022,f_blood,0.09999999999999999
V2R-PSG,p023,f_mel,0.1131070922601815
V2R-PSG,p023,f_blood,0.09999999999999999
V2R-PSG,p024,f_mel,0.12045974390548353
V2R-PSG,p024,f_blood,0.09999999999999999
V2R-PSG,p025,f_mel,0.10162757688366084
V2R-PSG,p025,f_blood,0.04479463348910682
V2R-PSG,p026,f_mel,0.11972228485174216
V2R-PSG,p026,f_blood,0.09999999999999998
V2R-PSG,p027,f_mel,0.11956042671259645
V2R-PSG,p027,f_blood,0.06485869474692323
V2R-PSG,p028,f_mel,0.11124582456513488
V2R-PSG,p028,f_blood,0.09338758601388873
V2R-PSG,p029,f_mel,0.11531238217619662
V2R-PSG,p029,f_blood,0.0781829167677886
V2R-PSG,p031,f_mel,0.08782599557218086
V2R-PSG,p031,f_blood,0.08255191910394016
V2R-PSG,p032,f_mel,0.09776094022294017
V2R-PSG,p032,f_blood,0.09999999999999999
V2R-PSG,p033,f_mel,0.0981961260778893
V2R-PSG,p033,f_blood,0.06639475781256186
V2R-PSG,p034,f_mel,0.06768497638488896
V2R-PSG,p034,f_blood,0.04766111547901934
V2R-PSG,p037,f_mel,0.09140168727766955
V2R-PSG,p037,f_blood,0.04585530531586332
V2R-PSG,p038,f_mel,0.1247087252924846
V2R-PSG,p038,f_blood,0.09999999999999999
V2R-PSG,p040,f_mel,0.08026299365586988
V2R-PSG,p040,f_blood,0.07431707164515595
V2R-PSG,p041,f_mel,0.10725576055479066
V2R-PSG,p041,f_blood,0.04085825993443704
V2R-PSG,p042,f_mel,0.08229668043047357
V2R-PSG,p042,f_blood,0.0456252564363104
V2R-PSG,p043,f_mel,0.10346710041897504
V2R-PSG,p043,f_blood,0.031158139001504034
V2R-PSG,p044,f_mel,0.1471959986956921
V2R-PSG,p044,f_blood,0.09999999999999998
V2R-PSG,p045,f_mel,0.1152216268191756
V2R-PSG,p045,f_blood,0.06165708325604189
V2R-PSG,p046,f_mel,0.17349256898720708
V2R-PSG,p046,f_blood,0.09999999999999999
V2R-PSG,p047,f_mel,0.1312354422187017
V2R-PSG,p047,f_blood,0.09999999999999999
V2R-PSG,p048,f_mel,0.10889241480766816
V2R-PSG,p048,f_blood,0.09999999999999999
