base_candidate,setting,value_count,median_logrmse,median_abs_delta_s,max_abs_delta_s,median_abs_delta_f_mel,median_abs_delta_f_blood,boundary_fraction,all_converged
V2R-PS,diameter_um,4,0.05664470286515673,0.02044943704603598,0.10648457434343633,0.00026217450651188495,1.3877787807814457e-17,0.6363636363636364,True
V2R-PS,epidermis_thickness_mm,3,0.058028654238818686,0.04825038356866368,0.44544253720556076,0.0039495246699874295,6.938893903907228e-18,0.6666666666666666,True
V2R-PS,whole_blood_hb_g_l,3,0.062024544542902904,0.014181866150860478,0.23385836527104342,8.278546671509901e-05,6.938893903907228e-18,0.6893939393939394,True
V2R-PS,scattering_amplitude_multiplier,3,0.056326283467902895,0.028800111960437413,0.16935187549407593,0.0036006708227479117,0.0,0.6212121212121212,True
V2R-PS,delta_bs_shift,2,0.05654200544499629,1.4503380163510826e-08,0.08730609243077064,0.00039831987810047195,0.0,0.6477272727272727,True
V2R-PS,bandwidth_420_680,1,0.056142829141463194,3.766398859461617e-10,1.9447112364900931e-07,6.578868699813611e-11,0.0,0.6590909090909091,True
V2R-PS,bandwidth_430_670,1,0.04699572317294265,0.037840254933331374,0.1957173706613555,0.001879029024335989,0.002557297736046505,0.6136363636363636,True
V2R-PS,bandwidth_440_660,1,0.04439276402594864,0.02349622968925913,0.26989357573764444,0.003176129503180535,0.003668981592788008,0.5909090909090909,True
V2R-PSG,diameter_um,4,0.05429848319995095,0.022654059792776127,0.11176272799100306,0.00028562676158314787,0.0,0.5795454545454546,True
V2R-PSG,epidermis_thickness_mm,3,0.05642400896715741,0.0793841384687568,0.5248750343767185,0.004314407859564683,0.0,0.6666666666666666,True
V2R-PSG,whole_blood_hb_g_l,3,0.06029782745883451,0.017465775450044685,0.22197818618148732,8.375752091612648e-05,0.0,0.6363636363636364,True
V2R-PSG,scattering_amplitude_multiplier,3,0.05433568257706571,0.047922908537991304,0.19450222317948418,0.004126445730955053,0.0,0.6060606060606061,True
V2R-PSG,delta_bs_shift,2,0.054183974023262874,3.147782682948186e-08,0.09587440653925883,0.00047858836362515284,0.0,0.5909090909090909,True
V2R-PSG,bandwidth_420_680,1,0.0539424632341972,6.691925957813538e-09,1.644920503141023e-07,1.2568299179172016e-10,0.0,0.5909090909090909,True
V2R-PSG,bandwidth_430_670,1,0.04583185301035087,0.04795095159814089,0.21447321269924244,0.0016074996211593653,0.00036015855422807247,0.6136363636363636,True
V2R-PSG,bandwidth_440_660,1,0.043683436953113955,0.028875496673742396,0.2979405312055699,0.002913125176221172,0.002069580867456282,0.5227272727272727,True
