candidate,parameter,subject_count,pearson_r_vs_side_log_difference,pearson_p,spearman_r_vs_side_log_difference,spearman_p
V2R-PS,f_mel,44,0.253617979869936,0.09668033479791084,0.25130373502466524,0.0998671563117471
V2R-PS,f_blood,44,0.47760938659756413,0.0010436345478077355,0.3222400564798258,0.03290576699065757
V2R-PSG,f_mel,44,0.20274883778738792,0.1868604647041378,0.17237491190979562,0.26318732379868237
V2R-PSG,f_blood,44,0.47737198022890326,0.0010505345393951873,0.3073617935721628,0.0424037755634706
V2R-BEST-O(V2R-PS),f_mel,44,0.25697336223483347,0.0921997525847828,0.26046511627906976,0.08770948924392358
V2R-BEST-O(V2R-PS),f_blood,44,0.45475860181933164,0.0019268691598682594,0.3603552062570185,0.016267508935554297
V2R-BEST-O(V2R-PS),s,44,-0.12189938183557958,0.430546227236395,-0.17560804756771375,0.25420073877752214
V2R-BEST-O(V2R-PSG),f_mel,44,0.2045968248865662,0.18278965987130014,0.16039464411557433,0.2983113846061164
V2R-BEST-O(V2R-PSG),f_blood,44,0.4584644879448009,0.0017494223578576004,0.3728813718016909,0.01267253729602784
V2R-BEST-O(V2R-PSG),s,44,-0.11440903768691553,0.45960983968393593,-0.13391598667023957,0.38614010535474474
