candidate,parameter,value,centered_logrmse,solver_success,nfev,grid_kind,normalized_value
V2R-PS,A_s,0.6,0.10010861934937161,True,24,uniform_or_exact_optimum,0.0
V2R-PS,A_s,0.62,0.09866011998749412,True,95,uniform_or_exact_optimum,0.020000000000000018
V2R-PS,A_s,0.64,0.09720089595227967,True,41,uniform_or_exact_optimum,0.040000000000000036
V2R-PS,A_s,0.6599999999999999,0.0957567748618567,True,49,uniform_or_exact_optimum,0.05999999999999994
V2R-PS,A_s,0.6799999999999999,0.09435969128563113,True,26,uniform_or_exact_optimum,0.07999999999999996
V2R-PS,A_s,0.7,0.09301935832614161,True,20,uniform_or_exact_optimum,0.09999999999999998
V2R-PS,A_s,0.72,0.09101718196362317,True,18,uniform_or_exact_optimum,0.12
V2R-PS,A_s,0.74,0.0897930799589823,True,17,uniform_or_exact_optimum,0.14
V2R-PS,A_s,0.76,0.0886106018715775,True,19,uniform_or_exact_optimum,0.16000000000000003
V2R-PS,A_s,0.78,0.08746409713648401,True,20,uniform_or_exact_optimum,0.18000000000000005
V2R-PS,A_s,0.8,0.08634454667558078,True,20,uniform_or_exact_optimum,0.20000000000000007
V2R-PS,A_s,0.82,0.08524036759135252,True,21,uniform_or_exact_optimum,0.21999999999999997
V2R-PS,A_s,0.84,0.08415087738061976,True,26,uniform_or_exact_optimum,0.24
V2R-PS,A_s,0.86,0.08307536786770743,True,26,uniform_or_exact_optimum,0.26
V2R-PS,A_s,0.88,0.08201288408744288,True,32,uniform_or_exact_optimum,0.28
V2R-PS,A_s,0.8999999999999999,0.0805797801949089,True,18,uniform_or_exact_optimum,0.29999999999999993
V2R-PS,A_s,0.9199999999999999,0.0795670664932571,True,17,uniform_or_exact_optimum,0.31999999999999995
V2R-PS,A_s,0.94,0.07857639517615018,True,16,uniform_or_exact_optimum,0.33999999999999997
V2R-PS,A_s,0.96,0.07761011576915033,True,17,uniform_or_exact_optimum,0.36
V2R-PS,A_s,0.98,0.0766698597473488,True,17,uniform_or_exact_optimum,0.38
V2R-PS,A_s,1.0,0.07575525119201129,True,16,uniform_or_exact_optimum,0.4
V2R-PS,A_s,1.02,0.0748658223160777,True,17,uniform_or_exact_optimum,0.42000000000000004
V2R-PS,A_s,1.04,0.07400162530979024,True,17,uniform_or_exact_optimum,0.44000000000000006
V2R-PS,A_s,1.06,0.07316318367890867,True,17,uniform_or_exact_optimum,0.4600000000000001
V2R-PS,A_s,1.08,0.07235145837897582,True,18,uniform_or_exact_optimum,0.4800000000000001
V2R-PS,A_s,1.1,0.07156780891215761,True,19,uniform_or_exact_optimum,0.5000000000000001
V2R-PS,A_s,1.12,0.07081389812870302,True,18,uniform_or_exact_optimum,0.5200000000000001
