cohort,subject_id,wavelength_nm,band_role,signed_residual,log_residual
train,p003,400,edge_diagnostic,-0.1774979403151234,-0.5589039929550341
train,p003,410,edge_diagnostic,-0.11209929647717737,-0.3891970418642827
train,p003,420,fit,-0.024266305676205024,-0.09846615719762597
train,p003,430,fit,0.008977230581696888,0.03914777217689869
train,p003,440,fit,0.017339449672646057,0.07693006803497071
train,p003,450,fit,0.01275824515184798,0.05491726705662958
train,p003,460,fit,-0.0007172540069134425,-0.0029168457504582523
train,p003,470,fit,-0.002132573193326992,-0.008450286539237739
train,p003,480,fit,0.004861483691597113,0.019082541159995525
train,p003,490,fit,0.004795534071298402,0.018470912623150815
train,p003,500,fit,0.002977723449973435,0.011228475508532343
train,p003,510,fit,0.010170177935237168,0.038402290867523226
train,p003,520,fit,0.00576781308435248,0.021678771751572734
train,p003,530,fit,0.008463428956613783,0.033011273496005744
train,p003,540,fit,0.008704112452901175,0.034768707129756216
train,p003,550,fit,-0.01337144861302142,-0.050382157047666576
train,p003,560,fit,0.002720345565657978,0.010297317348726631
train,p003,570,fit,-0.013133715957872827,-0.04907400907823534
train,p003,580,fit,-0.008684503251215725,-0.03286042209827711
train,p003,590,fit,0.036461876577582986,0.12834148943748214
train,p003,600,fit,0.024383688946905735,0.07081032278311183
train,p003,610,fit,-0.023313521772811763,-0.05855391307507185
train,p003,620,fit,-0.011010125538427062,-0.026508732177546235
train,p003,630,fit,-0.02511596379962222,-0.05701608836751937
train,p003,640,fit,-0.01707301083497892,-0.037812610891161724
train,p003,650,fit,-0.05823686918275056,-0.12016370374403185
train,p003,660,fit,-0.008254571687572876,-0.017457657341310218
train,p003,670,fit,-0.05783749604385513,-0.11366882599301753
train,p003,680,fit,0.014234415500713415,0.02937133479491505
train,p003,690,edge_diagnostic,-0.07836498333165565,-0.14489953020343793
train,p003,700,edge_diagnostic,-0.011611289161283511,-0.022431813445104143
train,p004,400,edge_diagnostic,-0.1866695703621109,-0.6417600227596791
train,p004,410,edge_diagnostic,-0.10689748965248774,-0.41776173741310263
train,p004,420,fit,-0.0272580563736482,-0.12474397604316878
train,p004,430,fit,0.0015891695681238271,0.007798408744274843
train,p004,440,fit,0.0046146533320288174,0.022794693223578744
train,p004,450,fit,0.007667616605253419,0.0375992532456495
train,p004,460,fit,-0.0026441193752457515,-0.012364537559727884
train,p004,470,fit,-0.0026292709530692793,-0.01204395629985977
train,p004,480,fit,0.005219218682975091,0.023802400065448204
train,p004,490,fit,0.003034571136518005,0.013494598883781572
train,p004,500,fit,0.0055111851739731155,0.024144649676867802
train,p004,510,fit,0.014627639783771934,0.06429951922834132
train,p004,520,fit,0.012358259307942349,0.05383861975664295
train,p004,530,fit,0.014125873957033158,0.06307138517494426
train,p004,540,fit,0.011620560368463484,0.05232160819243892
train,p004,550,fit,-0.02230272274306777,-0.09157430152072488
train,p004,560,fit,0.0009185706798695292,0.0038433087549603062
train,p004,570,fit,-0.012698584972026083,-0.05211327242095365
train,p004,580,fit,-0.012912779712049571,-0.05286093383789692
