wavelength_nm,band_role,reference_reflectance,reference_source
400,edge_diagnostic,0.41088645566304915,full_train_44_subject_per_band_log_geometric_mean
410,edge_diagnostic,0.3344034601413892,full_train_44_subject_per_band_log_geometric_mean
420,fit,0.2554722014705891,full_train_44_subject_per_band_log_geometric_mean
430,fit,0.22965738543583558,full_train_44_subject_per_band_log_geometric_mean
440,fit,0.21323686611568735,full_train_44_subject_per_band_log_geometric_mean
450,fit,0.21285520356642865,full_train_44_subject_per_band_log_geometric_mean
460,fit,0.23058050275301806,full_train_44_subject_per_band_log_geometric_mean
470,fit,0.22617104798573248,full_train_44_subject_per_band_log_geometric_mean
480,fit,0.22188991036245304,full_train_44_subject_per_band_log_geometric_mean
490,fit,0.22554093141304882,full_train_44_subject_per_band_log_geometric_mean
500,fit,0.2318163359809309,full_train_44_subject_per_band_log_geometric_mean
510,fit,0.23503326597873894,full_train_44_subject_per_band_log_geometric_mean
520,fit,0.2344286511189241,full_train_44_subject_per_band_log_geometric_mean
530,fit,0.22408946682769856,full_train_44_subject_per_band_log_geometric_mean
540,fit,0.21881647073160965,full_train_44_subject_per_band_log_geometric_mean
550,fit,0.2354795550677684,full_train_44_subject_per_band_log_geometric_mean
560,fit,0.23379939288987858,full_train_44_subject_per_band_log_geometric_mean
570,fit,0.23827762870473626,full_train_44_subject_per_band_log_geometric_mean
580,fit,0.23532658369625054,full_train_44_subject_per_band_log_geometric_mean
590,fit,0.24231763397387962,full_train_44_subject_per_band_log_geometric_mean
600,fit,0.2949472894399032,full_train_44_subject_per_band_log_geometric_mean
610,fit,0.3400976473278956,full_train_44_subject_per_band_log_geometric_mean
620,fit,0.36143430617960265,full_train_44_subject_per_band_log_geometric_mean
630,fit,0.390081302331128,full_train_44_subject_per_band_log_geometric_mean
640,fit,0.4014110435949236,full_train_44_subject_per_band_log_geometric_mean
650,fit,0.4256932269823407,full_train_44_subject_per_band_log_geometric_mean
660,fit,0.42263365070631437,full_train_44_subject_per_band_log_geometric_mean
670,fit,0.4584831486647121,full_train_44_subject_per_band_log_geometric_mean
680,fit,0.4182617110872447,full_train_44_subject_per_band_log_geometric_mean
690,edge_diagnostic,0.4838610291237197,full_train_44_subject_per_band_log_geometric_mean
700,edge_diagnostic,0.4585406051915845,full_train_44_subject_per_band_log_geometric_mean
