cohort,level,variable,camera_id,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,ExposureTime,HONOR/BVL-AN00,1.0,mild,175,175,0,23,0.0035714285714285713,0.0037747252747252747,0.005467836257309942,0.01,0.02,0.02,0.030303030303030304,0.04,0.04,0.016861666857017957,0.00869314099613481,0.01,0.01,0.01,0.36
all_exif_522,image,FNumber,HONOR/BVL-AN00,1.0,mild,175,175,0,2,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0,1.9062857142857144,0.02434022665929684,0.0,0.0,1.9,0.9371428571428572
all_exif_522,image,ISOSpeedRatings,HONOR/BVL-AN00,1.0,mild,175,175,0,15,50.0,50.0,80.0,200.0,320.0,500.0,1000.0,1250.0,1250.0,389.95428571428573,282.2220699179433,300.0,120.0,400.0,0.15428571428571428
all_exif_522,image,BrightnessValue,HONOR/BVL-AN00,1.0,mild,175,175,0,152,-2.67,-2.4898000000000002,-1.722,-0.62,0.35,1.55,3.170999999999999,4.205799999999997,5.43,0.49057142857142855,1.5590399028630453,2.17,1.1400000000000001,1.28,0.022857142857142857
all_exif_522,image,log2_exposure_time,HONOR/BVL-AN00,1.0,mild,175,175,0,23,-8.129283016944967,-8.050165766046748,-7.5152538499300565,-6.643856189774724,-5.643856189774724,-5.643856189774724,-5.044394119358453,-4.643856189774724,-4.643856189774724,-6.091537190310762,0.7903323181768717,1.0,0.599462070416271,-6.643856189774724,0.36
all_exif_522,image,log2_iso_gain,HONOR/BVL-AN00,1.0,mild,175,175,0,15,-1.0,-1.0,-0.3219280948873623,1.0,1.6780719051126378,2.321928094887362,3.321928094887362,3.643856189774725,3.643856189774725,1.6001955183733598,1.068992253685271,1.3219280948873622,0.6780719051126378,2.0,0.15428571428571428
all_exif_522,image,log2_fnumber,HONOR/BVL-AN00,1.0,mild,175,175,0,2,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,1.0,0.930650883675546,0.018011909252612878,0.0,0.0,0.925999418556223,0.9371428571428572
all_exif_522,image,aperture_value_from_f,HONOR/BVL-AN00,1.0,mild,175,175,0,2,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,2.0,1.861301767351092,0.036023818505225756,0.0,0.0,1.851998837112446,0.9371428571428572
all_exif_522,image,time_value_from_t,HONOR/BVL-AN00,1.0,mild,175,175,0,23,4.643856189774724,4.643856189774724,5.044394119358453,5.643856189774724,5.643856189774724,6.643856189774724,7.515253849930056,8.050165766046748,8.129283016944967,6.091537190310762,0.7903323181768717,1.0,0.599462070416271,6.643856189774724,0.36
all_exif_522,image,EV100,HONOR/BVL-AN00,1.0,mild,175,175,0,25,6.643856189774724,6.643856189774724,6.8963929564708994,7.49585502688717,7.49585502688717,8.49585502688717,9.367252687042502,9.902164603159193,9.981281854057414,7.952838957661854,0.7766977666754581,1.0,0.599462070416271,8.49585502688717,0.36
