feature,analysis,camera_a,camera_b,hedges_g_b_minus_a,mutual_information,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_roc_auc
ExposureTime,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,1.0068981259444794,0.65568549335374,0.666,0.6517416534053463,0.642965566487508,0.7764221761424829
FNumber,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-0.9540132631352753,0.6918344016667571,1.0,1.0,1.0,1.0
ISOSpeedRatings,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-0.7259786925942833,0.5458352504280564,0.668,0.6757486618122197,0.6664577004066805,0.6993297005352751
BrightnessValue,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,4.765134922201685,0.6685616877323536,0.988,0.9882175178023179,0.9879506458453827,0.9996463647907927
log2_exposure_time,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,1.0395145651745554,0.6557210496116415,0.696,0.7093440066869203,0.6891920629467864,0.7739467296780312
log2_iso_gain,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-0.6754984131820122,0.5436136479848204,0.672,0.6729356544662519,0.6716637837145236,0.698525984150713
log2_fnumber,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-0.9729696664661172,0.6918344016667571,1.0,1.0,1.0,1.0
aperture_value_from_f,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-0.9729696664661172,0.6918344016667571,1.0,1.0,1.0,1.0
time_value_from_t,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-1.0395145651745554,0.6557210496116415,0.696,0.7093440066869203,0.6891920629467864,0.7739467296780312
EV100,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-1.0821001300256117,0.6698240005735104,0.7,0.7130893250389803,0.6936474740213059,0.8479368600408288
relative_optical_exposure,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,1.0821001300256117,0.6698240005735104,0.7,0.7130893250389803,0.6936474740213059,0.8479368600408288
combined_exposure_gain,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,0.04201746486502094,0.34266131469121497,0.51,0.5097731912362766,0.5092914168058678,0.4882577036215461
sensitivity_value,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-0.6754984131820131,0.5436136479848204,0.672,0.6729356544662519,0.6716637837145236,0.698525984150713
brightness_apex_pred,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,-0.0420174648650222,0.34266131469121497,0.51,0.5097731912362766,0.5092914168058678,0.4882577036215461
brightness_residual,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,17.572441745807325,0.6887320207143761,0.998,0.99812734082397,0.9979912498844968,1.0
device_centered_brightness,single_field,HONOR/BVL-AN00,Xiaomi/M2006J10C,0.05424063403630152,0.2905798021812753,0.506,0.5052080821719631,0.5049524794465088,0.516653003488129
ExposureTime+FNumber+ISOSpeedRatings+BrightnessValue+log2_exposure_time+log2_iso_gain+log2_fnumber+aperture_value_from_f+time_value_from_t+EV100+relative_optical_exposure+combined_exposure_gain+sensitivity_value+brightness_apex_pred+brightness_residual,combined_core_and_derived_logistic,HONOR/BVL-AN00,Xiaomi/M2006J10C,,,1.0,1.0,1.0,1.0
