cohort,level,variable,scale,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion,missing_n,invalid_n
all_exif_522,image,ExposureTime,raw_or_derived,522,522,0,37,0.0022222222222222222,0.004073043478260869,0.008341466666666667,0.01,0.02,0.030006,0.04,0.040008,0.050009,0.020060928314277478,0.009169744650975413,0.020006000000000003,0.01,0.01,0.20881226053639848,0,0
all_exif_522,image,FNumber,raw_or_derived,522,522,0,3,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.8977203065134098,0.01646185404738671,0.010000000000000009,0.0,1.9,0.5191570881226054,0,0
all_exif_522,image,ISOSpeedRatings,raw_or_derived,522,522,0,179,50.0,50.0,75.05,160.0,241.5,400.0,800.0,1250.0,1600.0,313.51149425287355,241.5160546756533,240.0,105.5,320.0,0.07471264367816093,0,0
all_exif_522,image,BrightnessValue,raw_or_derived,522,522,0,277,-2.67,-2.1053,-1.43,0.3525,3.0549999999999997,7.2,9.089999999999998,10.178999999999995,10.9,3.7104406130268197,3.712935679511568,6.8475,3.4749999999999996,7.2,0.02490421455938697,0,0
all_exif_522,image,log2_exposure_time,log2,522,522,0,37,-8.813781191217037,-7.940522495581368,-6.9054960917540935,-6.643856189774724,-5.643856189774724,-5.058605178895445,-4.643856189774724,-4.643567679616601,-4.321668433148858,-5.814657106443563,0.7566795231218599,1.5852510108792792,0.5852510108792792,-6.643856189774724,0.20881226053639848,0,0
all_exif_522,image,log2_iso_gain,log2,522,522,0,179,-1.0,-1.0,-0.4140820581314586,0.6780719051126377,1.2720200969775535,2.0,3.0,3.643856189774725,4.0,1.288822176932798,1.022794943854288,1.3219280948873622,0.6799479725431914,1.6780719051126378,0.07471264367816093,0,0
all_exif_522,image,log2_fnumber,log2,522,522,0,3,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.9242148514586469,0.012228095038492183,0.007613184109875104,0.0,0.925999418556223,0.5191570881226054,0,0
all_exif_522,image,aperture_value_from_f,raw_or_derived,522,522,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.8484297029172938,0.024456190076984366,0.015226368219750208,0.0,1.851998837112446,0.5191570881226054,0,0
all_exif_522,image,time_value_from_t,raw_or_derived,522,522,0,37,4.321668433148858,4.643567679616601,4.643856189774724,5.058605178895445,5.643856189774724,6.643856189774724,6.9054960917540935,7.940522495581363,8.813781191217037,5.814657106443563,0.7566795231218599,1.5852510108792792,0.5852510108792792,5.643567679616601,0.20881226053639848,0,0
all_exif_522,image,EV100,raw_or_derived,522,522,0,39,6.158440902041554,6.480340148509297,6.643856189774724,6.8963929564708994,7.49585502688717,8.49585502688717,8.756733610455552,9.79252133269381,10.665780028329483,7.663086809360856,0.7567171129496963,1.599462070416271,0.6004773790990292,7.480340148509297,0.20881226053639848,0,0
