cohort,scope,variable,vif,reason,n_complete
all_exif_522,overall,ExposureTime,23.40077460781082,estimated,522
all_exif_522,overall,FNumber,9523290.136411915,estimated,522
all_exif_522,overall,ISOSpeedRatings,7.1096214703466645,estimated,522
all_exif_522,overall,BrightnessValue,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,log2_exposure_time,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,log2_iso_gain,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,log2_fnumber,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,aperture_value_from_f,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,time_value_from_t,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,EV100,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,relative_optical_exposure,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,combined_exposure_gain,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,sensitivity_value,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,brightness_apex_pred,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,brightness_residual,inf,exact_or_near_exact_dependency,522
all_exif_522,overall,device_centered_brightness,116.65722928441889,estimated,522
all_exif_522,HONOR/BVL-AN00,ExposureTime,16.96244668747756,estimated,283
all_exif_522,HONOR/BVL-AN00,FNumber,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,ISOSpeedRatings,5.986241187177528,estimated,283
all_exif_522,HONOR/BVL-AN00,BrightnessValue,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,log2_exposure_time,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,log2_iso_gain,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,log2_fnumber,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,aperture_value_from_f,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,time_value_from_t,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,EV100,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,relative_optical_exposure,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,combined_exposure_gain,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,sensitivity_value,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,brightness_apex_pred,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,brightness_residual,inf,exact_or_near_exact_dependency,283
all_exif_522,HONOR/BVL-AN00,device_centered_brightness,inf,exact_or_near_exact_dependency,283
all_exif_522,Xiaomi/M2006J10C,ExposureTime,32.468496153351296,estimated,239
all_exif_522,Xiaomi/M2006J10C,FNumber,,zero_variance_or_insufficient,239
all_exif_522,Xiaomi/M2006J10C,ISOSpeedRatings,9.751087389386678,estimated,239
all_exif_522,Xiaomi/M2006J10C,BrightnessValue,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,log2_exposure_time,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,log2_iso_gain,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,log2_fnumber,,zero_variance_or_insufficient,239
all_exif_522,Xiaomi/M2006J10C,aperture_value_from_f,,zero_variance_or_insufficient,239
all_exif_522,Xiaomi/M2006J10C,time_value_from_t,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,EV100,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,relative_optical_exposure,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,combined_exposure_gain,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,sensitivity_value,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,brightness_apex_pred,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,brightness_residual,inf,exact_or_near_exact_dependency,239
all_exif_522,Xiaomi/M2006J10C,device_centered_brightness,inf,exact_or_near_exact_dependency,239
formal_global_meanbg_500,overall,ExposureTime,23.224018068955424,estimated,500
formal_global_meanbg_500,overall,FNumber,9942160.714452911,estimated,500
formal_global_meanbg_500,overall,ISOSpeedRatings,7.298821285489494,estimated,500
formal_global_meanbg_500,overall,BrightnessValue,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,log2_exposure_time,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,log2_iso_gain,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,log2_fnumber,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,aperture_value_from_f,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,time_value_from_t,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,EV100,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,relative_optical_exposure,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,combined_exposure_gain,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,sensitivity_value,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,brightness_apex_pred,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,brightness_residual,inf,exact_or_near_exact_dependency,500
formal_global_meanbg_500,overall,device_centered_brightness,116.05994263116953,estimated,500
formal_global_meanbg_500,HONOR/BVL-AN00,ExposureTime,17.27358085928197,estimated,267
formal_global_meanbg_500,HONOR/BVL-AN00,FNumber,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,ISOSpeedRatings,6.111533877878315,estimated,267
formal_global_meanbg_500,HONOR/BVL-AN00,BrightnessValue,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,log2_exposure_time,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,log2_iso_gain,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,log2_fnumber,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,aperture_value_from_f,inf,exact_or_near_exact_dependency,267
formal_global_meanbg_500,HONOR/BVL-AN00,time_value_from_t,inf,exact_or_near_exact_dependency,267
