model_type,feature_group,true_label,true_name,predicted_label,predicted_name,count
multinomial_logistic,E0_log2_exposure_time,0,normal,0,normal,104
multinomial_logistic,E0_log2_exposure_time,0,normal,1,mild,0
multinomial_logistic,E0_log2_exposure_time,0,normal,2,severe,11
multinomial_logistic,E0_log2_exposure_time,1,mild,0,normal,151
multinomial_logistic,E0_log2_exposure_time,1,mild,1,mild,2
multinomial_logistic,E0_log2_exposure_time,1,mild,2,severe,84
multinomial_logistic,E0_log2_exposure_time,2,severe,0,normal,86
multinomial_logistic,E0_log2_exposure_time,2,severe,1,mild,1
multinomial_logistic,E0_log2_exposure_time,2,severe,2,severe,61
multinomial_logistic,E0_log2_iso_gain,0,normal,0,normal,79
multinomial_logistic,E0_log2_iso_gain,0,normal,1,mild,20
multinomial_logistic,E0_log2_iso_gain,0,normal,2,severe,16
multinomial_logistic,E0_log2_iso_gain,1,mild,0,normal,93
multinomial_logistic,E0_log2_iso_gain,1,mild,1,mild,78
multinomial_logistic,E0_log2_iso_gain,1,mild,2,severe,66
multinomial_logistic,E0_log2_iso_gain,2,severe,0,normal,60
multinomial_logistic,E0_log2_iso_gain,2,severe,1,mild,53
multinomial_logistic,E0_log2_iso_gain,2,severe,2,severe,35
multinomial_logistic,E0_log2_fnumber,0,normal,0,normal,115
multinomial_logistic,E0_log2_fnumber,0,normal,1,mild,0
multinomial_logistic,E0_log2_fnumber,0,normal,2,severe,0
multinomial_logistic,E0_log2_fnumber,1,mild,0,normal,78
multinomial_logistic,E0_log2_fnumber,1,mild,1,mild,159
multinomial_logistic,E0_log2_fnumber,1,mild,2,severe,0
multinomial_logistic,E0_log2_fnumber,2,severe,0,normal,40
multinomial_logistic,E0_log2_fnumber,2,severe,1,mild,108
multinomial_logistic,E0_log2_fnumber,2,severe,2,severe,0
multinomial_logistic,E0_BrightnessValue,0,normal,0,normal,108
multinomial_logistic,E0_BrightnessValue,0,normal,1,mild,7
multinomial_logistic,E0_BrightnessValue,0,normal,2,severe,0
multinomial_logistic,E0_BrightnessValue,1,mild,0,normal,71
multinomial_logistic,E0_BrightnessValue,1,mild,1,mild,23
multinomial_logistic,E0_BrightnessValue,1,mild,2,severe,143
multinomial_logistic,E0_BrightnessValue,2,severe,0,normal,38
multinomial_logistic,E0_BrightnessValue,2,severe,1,mild,15
multinomial_logistic,E0_BrightnessValue,2,severe,2,severe,95
multinomial_logistic,E1_four_core_transformed,0,normal,0,normal,113
multinomial_logistic,E1_four_core_transformed,0,normal,1,mild,1
multinomial_logistic,E1_four_core_transformed,0,normal,2,severe,1
multinomial_logistic,E1_four_core_transformed,1,mild,0,normal,78
multinomial_logistic,E1_four_core_transformed,1,mild,1,mild,25
multinomial_logistic,E1_four_core_transformed,1,mild,2,severe,134
multinomial_logistic,E1_four_core_transformed,2,severe,0,normal,39
multinomial_logistic,E1_four_core_transformed,2,severe,1,mild,13
multinomial_logistic,E1_four_core_transformed,2,severe,2,severe,96
multinomial_logistic,E2_compact_physical,0,normal,0,normal,113
multinomial_logistic,E2_compact_physical,0,normal,1,mild,1
multinomial_logistic,E2_compact_physical,0,normal,2,severe,1
multinomial_logistic,E2_compact_physical,1,mild,0,normal,78
multinomial_logistic,E2_compact_physical,1,mild,1,mild,55
multinomial_logistic,E2_compact_physical,1,mild,2,severe,104
multinomial_logistic,E2_compact_physical,2,severe,0,normal,39
multinomial_logistic,E2_compact_physical,2,severe,1,mild,41
multinomial_logistic,E2_compact_physical,2,severe,2,severe,68
multinomial_logistic,E3_device_centered_physical,0,normal,0,normal,92
multinomial_logistic,E3_device_centered_physical,0,normal,1,mild,15
multinomial_logistic,E3_device_centered_physical,0,normal,2,severe,8
multinomial_logistic,E3_device_centered_physical,1,mild,0,normal,83
multinomial_logistic,E3_device_centered_physical,1,mild,1,mild,71
multinomial_logistic,E3_device_centered_physical,1,mild,2,severe,83
multinomial_logistic,E3_device_centered_physical,2,severe,0,normal,43
multinomial_logistic,E3_device_centered_physical,2,severe,1,mild,48
multinomial_logistic,E3_device_centered_physical,2,severe,2,severe,57
