model_type,feature_group,fold,metric,value,train_n,validation_n,train_patient_group_n,validation_patient_group_n
multinomial_logistic,E0_log2_exposure_time,0,accuracy,0.33,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,0,balanced_accuracy,0.4331792437114776,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,0,macro_precision,0.5587606837606838,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,0,macro_recall,0.4331792437114776,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,0,macro_f1,0.2952472089314195,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,0,normal_auc,0.6513269339356296,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,0,mild_auc,0.5132211538461537,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,0,severe_auc,0.6204468188440991,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,0,macro_auc,0.5949983022086275,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,accuracy,0.34,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,balanced_accuracy,0.45077461269365315,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,macro_precision,0.24091662897633048,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,macro_recall,0.45077461269365315,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,macro_f1,0.2986857825567503,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,normal_auc,0.6773009599096556,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,mild_auc,0.5056089743589745,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,severe_auc,0.6510441962117534,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,1,macro_auc,0.6113180434934611,400,100,385,98
multinomial_logistic,E0_log2_exposure_time,2,accuracy,0.32,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,2,balanced_accuracy,0.4265700483091787,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,2,macro_precision,0.21717171717171715,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,2,macro_recall,0.4265700483091787,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,2,macro_f1,0.27370548718863325,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,2,normal_auc,0.7552230378317335,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,2,mild_auc,0.5670413488558811,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,2,severe_auc,0.5866666666666667,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,2,macro_auc,0.6363103511180938,400,100,387,96
multinomial_logistic,E0_log2_exposure_time,3,accuracy,0.38,400,100,386,97
multinomial_logistic,E0_log2_exposure_time,3,balanced_accuracy,0.49323671497584537,400,100,386,97
multinomial_logistic,E0_log2_exposure_time,3,macro_precision,0.26426426426426425,400,100,386,97
multinomial_logistic,E0_log2_exposure_time,3,macro_recall,0.49323671497584537,400,100,386,97
multinomial_logistic,E0_log2_exposure_time,3,macro_f1,0.33194492653014,400,100,386,97
multinomial_logistic,E0_log2_exposure_time,3,normal_auc,0.7922077922077921,400,100,386,97
