variable,camera_a,camera_b,median_a,median_b,median_difference_b_minus_a,hedges_g_b_minus_a,distribution_overlap,mann_whitney_u,mann_whitney_p_descriptive
ExposureTime,HONOR/BVL-AN00,Xiaomi/M2006J10C,0.0166666666666666,0.020004,0.0033373333333334004,1.04620925018566,0.5973505625619114,10405.0,1.3353335188643232e-43
FNumber,HONOR/BVL-AN00,Xiaomi/M2006J10C,1.9,1.89,-0.010000000000000009,-0.956557522879631,0.0,67637.0,1.958352325001918e-112
ISOSpeedRatings,HONOR/BVL-AN00,Xiaomi/M2006J10C,320.0,192.0,-128.0,-0.6748650668103214,0.5923237281369664,46469.0,1.6559062091172476e-13
BrightnessValue,HONOR/BVL-AN00,Xiaomi/M2006J10C,0.56,7.4,6.84,4.705431213635885,0.02185194494137824,28.0,3.1184157215105133e-86
log2_exposure_time,HONOR/BVL-AN00,Xiaomi/M2006J10C,-5.906890595608524,-5.643567679616601,0.2633229159919228,1.0635075990509855,0.5796827180389432,10405.0,1.3353335188643232e-43
log2_iso_gain,HONOR/BVL-AN00,Xiaomi/M2006J10C,1.6780719051126378,0.9411063109464314,-0.7369655941662064,-0.63027408999906,0.6644735869420584,46469.0,1.6559062091172476e-13
aperture_value_from_f,HONOR/BVL-AN00,Xiaomi/M2006J10C,1.851998837112446,1.8367724688926959,-0.015226368219750208,-0.9759036355441564,0.0,67637.0,1.958352325001918e-112
time_value_from_t,HONOR/BVL-AN00,Xiaomi/M2006J10C,5.906890595608524,5.643567679616601,-0.2633229159919228,-1.0635075990509855,0.5796827180389431,57232.0,1.3353335188643232e-43
EV100,HONOR/BVL-AN00,Xiaomi/M2006J10C,7.75888943272097,7.480340148509297,-0.2785492842116728,-1.1051559117156236,0.5655484424205686,59669.0,9.791211345192405e-53
relative_optical_exposure,HONOR/BVL-AN00,Xiaomi/M2006J10C,-7.75888943272097,-7.480340148509297,0.2785492842116728,1.1051559117156236,0.5655484424205686,7968.0,9.791211345192405e-53
combined_exposure_gain,HONOR/BVL-AN00,Xiaomi/M2006J10C,-6.49585502688717,-6.336293778892591,0.1595612479945796,0.08292753029563911,0.8005825214010083,32543.0,0.4576221947646404
sensitivity_value,HONOR/BVL-AN00,Xiaomi/M2006J10C,6.678071905112637,5.941106310946432,-0.7369655941662057,-0.6302740899990599,0.6644735869420584,46469.0,1.6559062091172476e-13
brightness_apex_pred,HONOR/BVL-AN00,Xiaomi/M2006J10C,1.4958550268871704,1.3362937788925908,-0.1595612479945796,-0.0829275302956399,0.8005825214010083,35094.0,0.45762187208356364
brightness_residual,HONOR/BVL-AN00,Xiaomi/M2006J10C,-0.8958550268871703,6.1623041888991965,7.058159215786366,17.909263494233645,0.0035335689045936395,0.0,2.291815096866302e-86
device_centered_brightness,HONOR/BVL-AN00,Xiaomi/M2006J10C,0.0,0.0,0.0,0.011599889618280373,0.8486479293877611,33212.5,0.724328741073909
