ID,Make,Model,camera_id,variable,value,iqr_lower,iqr_upper,iqr_outlier,robust_z,mad_outlier_abs_z_gt_3_5,historical_high_iso_outlier
100643124,HONOR,BVL-AN00,HONOR/BVL-AN00,ExposureTime,0.04,-0.004999999999999999,0.035,True,2.3607141256863162,False,False
202247956,HONOR,BVL-AN00,HONOR/BVL-AN00,ExposureTime,0.04,-0.004999999999999999,0.035,True,2.3607141256863162,False,False
9300938876-1,HONOR,BVL-AN00,HONOR/BVL-AN00,ExposureTime,0.04,-0.004999999999999999,0.035,True,2.3607141256863162,False,False
A001870250,HONOR,BVL-AN00,HONOR/BVL-AN00,ExposureTime,0.04,-0.004999999999999999,0.035,True,2.3607141256863162,False,False
A001902512,HONOR,BVL-AN00,HONOR/BVL-AN00,ExposureTime,0.04,-0.004999999999999999,0.035,True,2.3607141256863162,False,False
A001906652,HONOR,BVL-AN00,HONOR/BVL-AN00,ExposureTime,0.04,-0.004999999999999999,0.035,True,2.3607141256863162,False,False
100643124,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
20134065,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
202247956,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
9300938876-1,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
A001506620,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
A001870250,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
A001879182-1,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
A001902512,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
A001904186,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
A001904708-1,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
A001906652,HONOR,BVL-AN00,HONOR/BVL-AN00,FNumber,2.0,1.9,1.9,True,,False,False
